dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 16384
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: ema_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
path: bc
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Refinement/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Refinement/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Refinement/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Refinement/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Refinement/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/model.ckpt
checkpoint_name: checkpoint-ema_vq_transplant_False_ImageNet_model_16384_8_1_loss_1.0_1.0_0.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_16384_8_1
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: ema_vq_refinement_False
saver_name_pre: ema_vq_refinement_False_ImageNet_model_16384_8_1_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
VQ Model Parameters: 69609635
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss -0.3434, rec_loss 0.0227, lpips_loss 0.2098, g_loss -0.1963, disc_weight 0.4000, disc_adaptive_weight 2.9271, d_loss 2.4128, logits_real 0.1960, logits_fake 0.1949,
Train Epoch: [1/5] Iters:[20/20018] gen_loss -0.2538, rec_loss 0.0241, lpips_loss 0.2119, g_loss -0.1957, disc_weight 0.4000, disc_adaptive_weight 2.5002, d_loss 2.1574, logits_real 0.1945, logits_fake 0.1954,
Train Epoch: [1/5] Iters:[30/20018] gen_loss -0.2241, rec_loss 0.0237, lpips_loss 0.2127, g_loss -0.1942, disc_weight 0.4000, disc_adaptive_weight 2.3704, d_loss 1.9601, logits_real 0.1928, logits_fake 0.1939,
Train Epoch: [1/5] Iters:[40/20018] gen_loss -0.2777, rec_loss 0.0243, lpips_loss 0.2142, g_loss -0.1926, disc_weight 0.4000, disc_adaptive_weight 2.6892, d_loss 1.8121, logits_real 0.1920, logits_fake 0.1923,
Train Epoch: [1/5] Iters:[50/20018] gen_loss -0.2737, rec_loss 0.0246, lpips_loss 0.2157, g_loss -0.1926, disc_weight 0.4000, disc_adaptive_weight 2.6758, d_loss 1.6910, logits_real 0.1908, logits_fake 0.1925,
Train Epoch: [1/5] Iters:[60/20018] gen_loss -0.2566, rec_loss 0.0247, lpips_loss 0.2149, g_loss -0.1907, disc_weight 0.4000, disc_adaptive_weight 2.6115, d_loss 1.4272, logits_real 0.1888, logits_fake 0.1911,
Train Epoch: [1/5] Iters:[70/20018] gen_loss -0.2502, rec_loss 0.0242, lpips_loss 0.2141, g_loss -0.1881, disc_weight 0.4000, disc_adaptive_weight 2.5986, d_loss 1.2468, logits_real 0.1864, logits_fake 0.1885,
Train Epoch: [1/5] Iters:[80/20018] gen_loss -0.2436, rec_loss 0.0247, lpips_loss 0.2142, g_loss -0.1856, disc_weight 0.4000, disc_adaptive_weight 2.5920, d_loss 1.1223, logits_real 0.1844, logits_fake 0.1859,
Train Epoch: [1/5] Iters:[90/20018] gen_loss -0.1692, rec_loss 0.0247, lpips_loss 0.2130, g_loss -0.1834, disc_weight 0.4000, disc_adaptive_weight 2.2075, d_loss 1.0277, logits_real 0.1819, logits_fake 0.1837,
Train Epoch: [1/5] Iters:[100/20018] gen_loss -0.1549, rec_loss 0.0243, lpips_loss 0.2115, g_loss -0.1799, disc_weight 0.4000, disc_adaptive_weight 2.1688, d_loss 0.9553, logits_real 0.1796, logits_fake 0.1801,
Train Epoch: [1/5] Iters:[110/20018] gen_loss -0.1556, rec_loss 0.0248, lpips_loss 0.2135, g_loss -0.1773, disc_weight 0.4000, disc_adaptive_weight 2.2236, d_loss 0.8996, logits_real 0.1770, logits_fake 0.1773,
Train Epoch: [1/5] Iters:[120/20018] gen_loss -0.1869, rec_loss 0.0252, lpips_loss 0.2131, g_loss -0.1755, disc_weight 0.4000, disc_adaptive_weight 2.4279, d_loss 0.8546, logits_real 0.1752, logits_fake 0.1750,
