dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 16384
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: mmd_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
path: bc
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Refinement/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Refinement/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Refinement/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Refinement/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Refinement/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/model.ckpt
checkpoint_name: checkpoint-mmd_vq_transplant_False_ImageNet_model_16384_8_1_loss_1.0_1.0_1.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_16384_8_1
loss_pre: loss_1.0_0.2_1.0_0.4
training_pre: mmd_vq_refinement_False
saver_name_pre: mmd_vq_refinement_False_ImageNet_model_16384_8_1_loss_1.0_0.2_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
VQ Model Parameters: 69609635
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss -0.4428, rec_loss 0.0222, lpips_loss 0.2101, g_loss -0.1153, disc_weight 0.4000, disc_adaptive_weight 5.8324, d_loss 2.3490, logits_real 0.1243, logits_fake 0.1125,
Train Epoch: [1/5] Iters:[20/20018] gen_loss -0.7934, rec_loss 0.0236, lpips_loss 0.2142, g_loss -0.1036, disc_weight 0.4000, disc_adaptive_weight 10.4692, d_loss 2.1167, logits_real 0.1282, logits_fake 0.1015,
Train Epoch: [1/5] Iters:[30/20018] gen_loss -0.8233, rec_loss 0.0232, lpips_loss 0.2159, g_loss -0.0982, disc_weight 0.4000, disc_adaptive_weight 11.3019, d_loss 1.9337, logits_real 0.1260, logits_fake 0.0963,
Train Epoch: [1/5] Iters:[40/20018] gen_loss -0.6959, rec_loss 0.0239, lpips_loss 0.2172, g_loss -0.1026, disc_weight 0.4000, disc_adaptive_weight 9.6943, d_loss 1.7978, logits_real 0.1258, logits_fake 0.1015,
Train Epoch: [1/5] Iters:[50/20018] gen_loss -0.5797, rec_loss 0.0243, lpips_loss 0.2186, g_loss -0.1047, disc_weight 0.4000, disc_adaptive_weight 8.4112, d_loss 1.6845, logits_real 0.1252, logits_fake 0.1037,
Train Epoch: [1/5] Iters:[60/20018] gen_loss -0.5583, rec_loss 0.0246, lpips_loss 0.2187, g_loss -0.1022, disc_weight 0.4000, disc_adaptive_weight 8.3623, d_loss 1.4371, logits_real 0.1249, logits_fake 0.1021,
Train Epoch: [1/5] Iters:[70/20018] gen_loss -0.3686, rec_loss 0.0242, lpips_loss 0.2173, g_loss -0.1068, disc_weight 0.4000, disc_adaptive_weight 6.0919, d_loss 1.2637, logits_real 0.1224, logits_fake 0.1069,
Train Epoch: [1/5] Iters:[80/20018] gen_loss -0.2116, rec_loss 0.0248, lpips_loss 0.2166, g_loss -0.1132, disc_weight 0.4000, disc_adaptive_weight 4.0716, d_loss 1.1429, logits_real 0.1216, logits_fake 0.1139,
Train Epoch: [1/5] Iters:[90/20018] gen_loss -0.1703, rec_loss 0.0248, lpips_loss 0.2151, g_loss -0.1136, disc_weight 0.4000, disc_adaptive_weight 3.6912, d_loss 1.0470, logits_real 0.1198, logits_fake 0.1138,
Train Epoch: [1/5] Iters:[100/20018] gen_loss -0.1499, rec_loss 0.0245, lpips_loss 0.2132, g_loss -0.1134, disc_weight 0.4000, disc_adaptive_weight 3.4866, d_loss 0.9716, logits_real 0.1175, logits_fake 0.1139,
Train Epoch: [1/5] Iters:[110/20018] gen_loss -0.0908, rec_loss 0.0249, lpips_loss 0.2143, g_loss -0.1149, disc_weight 0.4000, disc_adaptive_weight 2.8810, d_loss 0.9131, logits_real 0.1155, logits_fake 0.1152,
Train Epoch: [1/5] Iters:[120/20018] gen_loss -0.0501, rec_loss 0.0253, lpips_loss 0.2141, g_loss -0.1139, disc_weight 0.4000, disc_adaptive_weight 2.5425, d_loss 0.8653, logits_real 0.1137, logits_fake 0.1142,
Train Epoch: [1/5] Iters:[130/20018] gen_loss -0.0297, rec_loss 0.0255, lpips_loss 0.2139, g_loss -0.1115, disc_weight 0.4000, disc_adaptive_weight 2.4120, d_loss 0.8238, logits_real 0.1117, logits_fake 0.1112,
Train Epoch: [1/5] Iters:[140/20018] gen_loss -0.0080, rec_loss 0.0248, lpips_loss 0.2127, g_loss -0.1091, disc_weight 0.4000, disc_adaptive_weight 2.2510, d_loss 0.7860, logits_real 0.1099, logits_fake 0.1090,
Train Epoch: [1/5] Iters:[150/20018] gen_loss -0.0072, rec_loss 0.0250, lpips_loss 0.2127, g_loss -0.1080, disc_weight 0.4000, disc_adaptive_weight 2.2666, d_loss 0.7565, logits_real 0.1087, logits_fake 0.1076,
Train Epoch: [1/5] Iters:[160/20018] gen_loss 0.0017, rec_loss 0.0248, lpips_loss 0.2116, g_loss -0.1066, disc_weight 0.4000, disc_adaptive_weight 2.2024, d_loss 0.7296, logits_real 0.1071, logits_fake 0.1060,
Train Epoch: [1/5] Iters:[170/20018] gen_loss -0.0047, rec_loss 0.0247, lpips_loss 0.2119, g_loss -0.1052, disc_weight 0.4000, disc_adaptive_weight 2.2935, d_loss 0.7085, logits_real 0.1057, logits_fake 0.1046,
Train Epoch: [1/5] Iters:[180/20018] gen_loss -0.0023, rec_loss 0.0243, lpips_loss 0.2100, g_loss -0.1040, disc_weight 0.4000, disc_adaptive_weight 2.2748, d_loss 0.6888, logits_real 0.1045, logits_fake 0.1036,
Train Epoch: [1/5] Iters:[190/20018] gen_loss -0.0027, rec_loss 0.0244, lpips_loss 0.2100, g_loss -0.1027, disc_weight 0.4000, disc_adaptive_weight 2.3080, d_loss 0.6730, logits_real 0.1035, logits_fake 0.1025,
Train Epoch: [1/5] Iters:[200/20018] gen_loss -0.0099, rec_loss 0.0243, lpips_loss 0.2097, g_loss -0.1012, disc_weight 0.4000, disc_adaptive_weight 2.4135, d_loss 0.6584, logits_real 0.1024, logits_fake 0.1011,
