| distributed init (rank 1): env://
dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 16384
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: online_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
path: bc
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Refinement/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Refinement/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Refinement/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Refinement/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Refinement/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/model.ckpt
checkpoint_name: checkpoint-online_vq_transplant_False_ImageNet_model_16384_8_1_loss_1.0_1.0_0.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_16384_8_1
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: online_vq_refinement_False
saver_name_pre: online_vq_refinement_False_ImageNet_model_16384_8_1_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
VQ Model Parameters: 69609635
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss -1.9611, rec_loss 0.0274, lpips_loss 0.2688, g_loss -0.1617, disc_weight 0.4000, disc_adaptive_weight 13.6120, d_loss 2.3744, logits_real 0.1243, logits_fake 0.1583,
Train Epoch: [1/5] Iters:[20/20018] gen_loss -3.3771, rec_loss 0.0300, lpips_loss 0.2782, g_loss -0.1852, disc_weight 0.4000, disc_adaptive_weight 19.1248, d_loss 2.1559, logits_real 0.1282, logits_fake 0.1866,
Train Epoch: [1/5] Iters:[30/20018] gen_loss -3.5482, rec_loss 0.0299, lpips_loss 0.2824, g_loss -0.1889, disc_weight 0.4000, disc_adaptive_weight 19.8400, d_loss 1.9774, logits_real 0.1261, logits_fake 0.1895,
Train Epoch: [1/5] Iters:[40/20018] gen_loss -3.0815, rec_loss 0.0307, lpips_loss 0.2838, g_loss -0.1827, disc_weight 0.4000, disc_adaptive_weight 17.8885, d_loss 1.8384, logits_real 0.1258, logits_fake 0.1831,
Train Epoch: [1/5] Iters:[50/20018] gen_loss -2.6238, rec_loss 0.0310, lpips_loss 0.2847, g_loss -0.1724, disc_weight 0.4000, disc_adaptive_weight 16.0068, d_loss 1.7198, logits_real 0.1252, logits_fake 0.1724,
Train Epoch: [1/5] Iters:[60/20018] gen_loss -2.3234, rec_loss 0.0315, lpips_loss 0.2855, g_loss -0.1613, disc_weight 0.4000, disc_adaptive_weight 14.7188, d_loss 1.4695, logits_real 0.1248, logits_fake 0.1621,
Train Epoch: [1/5] Iters:[70/20018] gen_loss -1.4785, rec_loss 0.0307, lpips_loss 0.2826, g_loss -0.1399, disc_weight 0.4000, disc_adaptive_weight 11.5076, d_loss 1.2867, logits_real 0.1223, logits_fake 0.1395,
Train Epoch: [1/5] Iters:[80/20018] gen_loss -0.7551, rec_loss 0.0309, lpips_loss 0.2797, g_loss -0.1231, disc_weight 0.4000, disc_adaptive_weight 8.2952, d_loss 1.1562, logits_real 0.1214, logits_fake 0.1231,
Train Epoch: [1/5] Iters:[90/20018] gen_loss -0.4591, rec_loss 0.0304, lpips_loss 0.2766, g_loss -0.1130, disc_weight 0.4000, disc_adaptive_weight 6.7767, d_loss 1.0545, logits_real 0.1195, logits_fake 0.1131,
Train Epoch: [1/5] Iters:[100/20018] gen_loss -0.3162, rec_loss 0.0299, lpips_loss 0.2734, g_loss -0.1093, disc_weight 0.4000, disc_adaptive_weight 5.7565, d_loss 0.9760, logits_real 0.1172, logits_fake 0.1098,
Train Epoch: [1/5] Iters:[110/20018] gen_loss -0.2305, rec_loss 0.0302, lpips_loss 0.2738, g_loss -0.1100, disc_weight 0.4000, disc_adaptive_weight 4.9333, d_loss 0.9155, logits_real 0.1152, logits_fake 0.1107,
Train Epoch: [1/5] Iters:[120/20018] gen_loss -0.1114, rec_loss 0.0305, lpips_loss 0.2719, g_loss -0.1118, disc_weight 0.4000, disc_adaptive_weight 3.7023, d_loss 0.8664, logits_real 0.1134, logits_fake 0.1123,
