dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 16384
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
path: bc
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Refinement/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Refinement/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Refinement/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Refinement/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Refinement/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/model.ckpt
checkpoint_name: checkpoint-wasserstein_vq_transplant_False_ImageNet_model_16384_8_1_loss_1.0_0.2_1.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_16384_8_1
loss_pre: loss_1.0_0.2_1.0_0.4
training_pre: wasserstein_vq_refinement_False
saver_name_pre: wasserstein_vq_refinement_False_ImageNet_model_16384_8_1_loss_1.0_0.2_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
VQ Model Parameters: 69609635
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss 0.7751, rec_loss 0.0235, lpips_loss 0.2106, g_loss 0.2084, disc_weight 0.4000, disc_adaptive_weight 2.5924, d_loss 2.5974, logits_real -0.2038, logits_fake -0.2154,
Train Epoch: [1/5] Iters:[20/20018] gen_loss 0.9027, rec_loss 0.0253, lpips_loss 0.2128, g_loss 0.2011, disc_weight 0.4000, disc_adaptive_weight 3.3418, d_loss 2.3189, logits_real -0.2026, logits_fake -0.2060,
Train Epoch: [1/5] Iters:[30/20018] gen_loss 1.0175, rec_loss 0.0253, lpips_loss 0.2144, g_loss 0.1917, disc_weight 0.4000, disc_adaptive_weight 4.1624, d_loss 2.1108, logits_real -0.2014, logits_fake -0.1941,
Train Epoch: [1/5] Iters:[40/20018] gen_loss 1.0602, rec_loss 0.0264, lpips_loss 0.2173, g_loss 0.1859, disc_weight 0.4000, disc_adaptive_weight 4.5040, d_loss 1.9556, logits_real -0.2015, logits_fake -0.1878,
Train Epoch: [1/5] Iters:[50/20018] gen_loss 1.0424, rec_loss 0.0274, lpips_loss 0.2199, g_loss 0.1840, disc_weight 0.4000, disc_adaptive_weight 4.4095, d_loss 1.8270, logits_real -0.2012, logits_fake -0.1857,
Train Epoch: [1/5] Iters:[60/20018] gen_loss 1.0783, rec_loss 0.0291, lpips_loss 0.2211, g_loss 0.1805, disc_weight 0.4000, disc_adaptive_weight 4.6334, d_loss 1.5463, logits_real -0.2003, logits_fake -0.1813,
Train Epoch: [1/5] Iters:[70/20018] gen_loss 1.0387, rec_loss 0.0308, lpips_loss 0.2225, g_loss 0.1806, disc_weight 0.4000, disc_adaptive_weight 4.4072, d_loss 1.3593, logits_real -0.1992, logits_fake -0.1812,
Train Epoch: [1/5] Iters:[80/20018] gen_loss 0.9284, rec_loss 0.0344, lpips_loss 0.2247, g_loss 0.1836, disc_weight 0.4000, disc_adaptive_weight 3.6958, d_loss 1.2341, logits_real -0.1981, logits_fake -0.1848,
Train Epoch: [1/5] Iters:[90/20018] gen_loss 0.8176, rec_loss 0.0377, lpips_loss 0.2252, g_loss 0.1873, disc_weight 0.4000, disc_adaptive_weight 2.9740, d_loss 1.1381, logits_real -0.1955, logits_fake -0.1881,
Train Epoch: [1/5] Iters:[100/20018] gen_loss 0.7321, rec_loss 0.0402, lpips_loss 0.2249, g_loss 0.1887, disc_weight 0.4000, disc_adaptive_weight 2.4614, d_loss 1.0641, logits_real -0.1933, logits_fake -0.1898,
Train Epoch: [1/5] Iters:[110/20018] gen_loss 0.6487, rec_loss 0.0444, lpips_loss 0.2284, g_loss 0.1856, disc_weight 0.4000, disc_adaptive_weight 2.0057, d_loss 1.0127, logits_real -0.1908, logits_fake -0.1862,
Train Epoch: [1/5] Iters:[120/20018] gen_loss 0.5850, rec_loss 0.0480, lpips_loss 0.2293, g_loss 0.1802, disc_weight 0.4000, disc_adaptive_weight 1.6899, d_loss 0.9681, logits_real -0.1877, logits_fake -0.1812,
