dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 16384
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
path: bc
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Transplant/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Transplant/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Transplant/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Transplant/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Transplant/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/model.ckpt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_16384_8_1
loss_pre: loss_1.0_0.2_1.0_0.4
training_pre: wasserstein_vq_transplant_False
saver_name_pre: wasserstein_vq_transplant_False_ImageNet_model_16384_8_1_loss_1.0_0.2_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
VQ Model Parameters: 69609635
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 22.2730, rec_loss 0.2470, p_loss 0.7285, quant_error 3.7043, utilization 0.0350, perplexity 157.7836,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 26.6965, rec_loss 0.2128, p_loss 0.7113, quant_error 3.3606, utilization 0.0270, perplexity 107.0788,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 24.0387, rec_loss 0.1825, p_loss 0.6927, quant_error 3.0281, utilization 0.0237, perplexity 106.5109,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 21.6588, rec_loss 0.1631, p_loss 0.6779, quant_error 2.7583, utilization 0.0221, perplexity 107.9789,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 19.7788, rec_loss 0.1477, p_loss 0.6638, quant_error 2.5318, utilization 0.0229, perplexity 111.7979,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 17.4381, rec_loss 0.1132, p_loss 0.6339, quant_error 2.0822, utilization 0.0262, perplexity 113.5777,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 13.1965, rec_loss 0.0910, p_loss 0.6031, quant_error 1.7342, utilization 0.0411, perplexity 151.2687,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 11.3463, rec_loss 0.0799, p_loss 0.5741, quant_error 1.4973, utilization 0.0651, perplexity 203.9093,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 10.2404, rec_loss 0.0719, p_loss 0.5463, quant_error 1.3341, utilization 0.0933, perplexity 272.2067,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 9.4994, rec_loss 0.0672, p_loss 0.5216, quant_error 1.2271, utilization 0.1214, perplexity 356.5271,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 9.2038, rec_loss 0.0649, p_loss 0.5009, quant_error 1.1518, utilization 0.1435, perplexity 444.3134,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 9.0337, rec_loss 0.0631, p_loss 0.4839, quant_error 1.1045, utilization 0.1553, perplexity 517.1974,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 9.0490, rec_loss 0.0620, p_loss 0.4723, quant_error 1.0697, utilization 0.1575, perplexity 574.4077,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 9.1131, rec_loss 0.0591, p_loss 0.4600, quant_error 1.0317, utilization 0.1554, perplexity 629.1016,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 9.3160, rec_loss 0.0581, p_loss 0.4506, quant_error 1.0034, utilization 0.1535, perplexity 684.7061,
Train Epoch: [1/2] Iters:[160/20018] transplant_loss 9.3460, rec_loss 0.0561, p_loss 0.4403, quant_error 0.9710, utilization 0.1550, perplexity 745.9335,
