dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 16384
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: ema_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Transplant/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Transplant/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Transplant/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Transplant/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Transplant/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/model.ckpt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_16384_8_1
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: ema_vq_transplant_False
saver_name_pre: ema_vq_transplant_False_ImageNet_model_16384_8_1_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
VQ Model Parameters: 69609635
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 3.6642, rec_loss 0.1305, p_loss 0.4328, quant_error 1.7095, utilization 0.3031, perplexity 3208.0618,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 2.5059, rec_loss 0.0837, p_loss 0.3706, quant_error 1.0862, utilization 0.3992, perplexity 4675.9600,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 2.0645, rec_loss 0.0663, p_loss 0.3437, quant_error 0.8471, utilization 0.4369, perplexity 5321.5432,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 1.8381, rec_loss 0.0584, p_loss 0.3295, quant_error 0.7225, utilization 0.4570, perplexity 5672.4811,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 1.6984, rec_loss 0.0535, p_loss 0.3204, quant_error 0.6466, utilization 0.4705, perplexity 5946.3667,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 1.1881, rec_loss 0.0338, p_loss 0.2884, quant_error 0.3720, utilization 0.5148, perplexity 6702.1680,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 1.1363, rec_loss 0.0325, p_loss 0.2809, quant_error 0.3444, utilization 0.5209, perplexity 6885.9207,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 1.1205, rec_loss 0.0329, p_loss 0.2776, quant_error 0.3355, utilization 0.5240, perplexity 6976.7663,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 1.1075, rec_loss 0.0325, p_loss 0.2742, quant_error 0.3291, utilization 0.5265, perplexity 7058.8724,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 1.0968, rec_loss 0.0318, p_loss 0.2715, quant_error 0.3235, utilization 0.5283, perplexity 7096.6526,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 1.0945, rec_loss 0.0320, p_loss 0.2710, quant_error 0.3186, utilization 0.5306, perplexity 7151.1107,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 1.0956, rec_loss 0.0321, p_loss 0.2689, quant_error 0.3160, utilization 0.5323, perplexity 7175.8447,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 1.0965, rec_loss 0.0321, p_loss 0.2675, quant_error 0.3124, utilization 0.5341, perplexity 7208.8530,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 1.0918, rec_loss 0.0313, p_loss 0.2654, quant_error 0.3086, utilization 0.5352, perplexity 7233.6901,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 1.0965, rec_loss 0.0316, p_loss 0.2641, quant_error 0.3058, utilization 0.5362, perplexity 7260.2206,
Train Epoch: [1/2] Iters:[160/20018] transplant_loss 1.0962, rec_loss 0.0311, p_loss 0.2625, quant_error 0.3033, utilization 0.5363, perplexity 7260.8678,
Train Epoch: [1/2] Iters:[170/20018] transplant_loss 1.0972, rec_loss 0.0310, p_loss 0.2626, quant_error 0.2997, utilization 0.5369, perplexity 7283.6423,
Train Epoch: [1/2] Iters:[180/20018] transplant_loss 1.0993, rec_loss 0.0306, p_loss 0.2607, quant_error 0.2994, utilization 0.5375, perplexity 7304.6513,
Train Epoch: [1/2] Iters:[190/20018] transplant_loss 1.1063, rec_loss 0.0308, p_loss 0.2604, quant_error 0.2998, utilization 0.5380, perplexity 7322.1919,
Train Epoch: [1/2] Iters:[200/20018] transplant_loss 1.1056, rec_loss 0.0306, p_loss 0.2592, quant_error 0.2977, utilization 0.5383, perplexity 7327.0702,
Train Epoch: [1/2] Iters:[210/20018] transplant_loss 1.1041, rec_loss 0.0303, p_loss 0.2561, quant_error 0.2960, utilization 0.5387, perplexity 7330.0062,
Train Epoch: [1/2] Iters:[220/20018] transplant_loss 1.1057, rec_loss 0.0302, p_loss 0.2551, quant_error 0.2954, utilization 0.5391, perplexity 7343.9269,
Train Epoch: [1/2] Iters:[230/20018] transplant_loss 1.1021, rec_loss 0.0300, p_loss 0.2551, quant_error 0.2920, utilization 0.5387, perplexity 7335.8108,
Train Epoch: [1/2] Iters:[240/20018] transplant_loss 1.1044, rec_loss 0.0305, p_loss 0.2553, quant_error 0.2894, utilization 0.5386, perplexity 7337.1933,
