dataset_dir: /projects/yuanai/data/
dataset_name: CelebAHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 16384
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: mmd_vq
use_multiscale: False
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
path: bc
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Transplant/CelebAHQ
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Transplant/CelebAHQ
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Transplant/CelebAHQ
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Transplant/CelebAHQ
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Transplant/CelebAHQ
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/model.ckpt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: CelebAHQ
model_pre: model_16384_8_1
loss_pre: loss_1.0_1.0_1.0_0.4
training_pre: mmd_vq_transplant_False
saver_name_pre: mmd_vq_transplant_False_CelebAHQ_model_16384_8_1_loss_1.0_1.0_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
VQ Model Parameters: 69609635
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/468] transplant_loss 27.8368, rec_loss 0.2388, p_loss 0.6929, quant_error 3.4575, utilization 0.0214, perplexity 78.9881,
Train Epoch: [1/30] Iters:[20/468] transplant_loss 24.9777, rec_loss 0.1780, p_loss 0.6728, quant_error 2.9650, utilization 0.0166, perplexity 64.3877,
Train Epoch: [1/30] Iters:[30/468] transplant_loss 20.0291, rec_loss 0.1462, p_loss 0.6588, quant_error 2.6275, utilization 0.0147, perplexity 76.8663,
Train Epoch: [1/30] Iters:[40/468] transplant_loss 17.2311, rec_loss 0.1240, p_loss 0.6419, quant_error 2.3513, utilization 0.0137, perplexity 84.4188,
Train Epoch: [1/30] Iters:[50/468] transplant_loss 15.2457, rec_loss 0.1088, p_loss 0.6111, quant_error 2.1230, utilization 0.0131, perplexity 90.4359,
Train Epoch: [1/30] Iters:[60/468] transplant_loss 10.9565, rec_loss 0.0695, p_loss 0.5547, quant_error 1.6416, utilization 0.0110, perplexity 98.2848,
Train Epoch: [1/30] Iters:[70/468] transplant_loss 7.7219, rec_loss 0.0540, p_loss 0.5015, quant_error 1.3434, utilization 0.0111, perplexity 112.6027,
Train Epoch: [1/30] Iters:[80/468] transplant_loss 6.7923, rec_loss 0.0448, p_loss 0.4489, quant_error 1.1371, utilization 0.0122, perplexity 117.6931,
Train Epoch: [1/30] Iters:[90/468] transplant_loss 6.0478, rec_loss 0.0405, p_loss 0.4027, quant_error 1.0113, utilization 0.0151, perplexity 124.1901,
Train Epoch: [1/30] Iters:[100/468] transplant_loss 5.5543, rec_loss 0.0383, p_loss 0.3759, quant_error 0.9443, utilization 0.0207, perplexity 134.0457,
Train Epoch: [1/30] Iters:[110/468] transplant_loss 5.1968, rec_loss 0.0366, p_loss 0.3621, quant_error 0.9021, utilization 0.0283, perplexity 150.0509,
Train Epoch: [1/30] Iters:[120/468] transplant_loss 4.8674, rec_loss 0.0353, p_loss 0.3520, quant_error 0.8667, utilization 0.0374, perplexity 176.7427,
Train Epoch: [1/30] Iters:[130/468] transplant_loss 4.5908, rec_loss 0.0345, p_loss 0.3440, quant_error 0.8369, utilization 0.0468, perplexity 216.7999,
Train Epoch: [1/30] Iters:[140/468] transplant_loss 4.3291, rec_loss 0.0332, p_loss 0.3347, quant_error 0.8019, utilization 0.0552, perplexity 271.5767,
Train Epoch: [1/30] Iters:[150/468] transplant_loss 4.0811, rec_loss 0.0316, p_loss 0.3246, quant_error 0.7645, utilization 0.0618, perplexity 343.9415,
Train Epoch: [1/30] Iters:[160/468] transplant_loss 3.8319, rec_loss 0.0301, p_loss 0.3153, quant_error 0.7269, utilization 0.0675, perplexity 430.4418,
Train Epoch: [1/30] Iters:[170/468] transplant_loss 3.5842, rec_loss 0.0287, p_loss 0.3057, quant_error 0.6879, utilization 0.0735, perplexity 529.0266,
