dataset_dir: /projects/yuanai/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 16384
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: mmd_vq
use_multiscale: False
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
path: bc
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Transplant/FFHQ
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Transplant/FFHQ
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Transplant/FFHQ
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Transplant/FFHQ
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Transplant/FFHQ
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/model.ckpt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: FFHQ
model_pre: model_16384_8_1
loss_pre: loss_1.0_1.0_1.0_0.4
training_pre: mmd_vq_transplant_False
saver_name_pre: mmd_vq_transplant_False_FFHQ_model_16384_8_1_loss_1.0_1.0_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
VQ Model Parameters: 69609635
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/1093] transplant_loss 24.8832, rec_loss 0.2303, p_loss 0.7036, quant_error 3.4799, utilization 0.0231, perplexity 103.8084,
Train Epoch: [1/30] Iters:[20/1093] transplant_loss 27.3958, rec_loss 0.1868, p_loss 0.6891, quant_error 3.1277, utilization 0.0180, perplexity 78.3837,
Train Epoch: [1/30] Iters:[30/1093] transplant_loss 22.4274, rec_loss 0.1543, p_loss 0.6762, quant_error 2.8102, utilization 0.0160, perplexity 88.2202,
Train Epoch: [1/30] Iters:[40/1093] transplant_loss 19.0766, rec_loss 0.1311, p_loss 0.6586, quant_error 2.5182, utilization 0.0148, perplexity 94.3683,
Train Epoch: [1/30] Iters:[50/1093] transplant_loss 16.7935, rec_loss 0.1154, p_loss 0.6307, quant_error 2.2790, utilization 0.0141, perplexity 99.7326,
Train Epoch: [1/30] Iters:[60/1093] transplant_loss 13.1748, rec_loss 0.0787, p_loss 0.5778, quant_error 1.8142, utilization 0.0117, perplexity 104.3051,
Train Epoch: [1/30] Iters:[70/1093] transplant_loss 8.4508, rec_loss 0.0584, p_loss 0.5243, quant_error 1.4703, utilization 0.0115, perplexity 119.5537,
Train Epoch: [1/30] Iters:[80/1093] transplant_loss 7.1192, rec_loss 0.0489, p_loss 0.4725, quant_error 1.2377, utilization 0.0124, perplexity 125.1045,
Train Epoch: [1/30] Iters:[90/1093] transplant_loss 6.4170, rec_loss 0.0447, p_loss 0.4277, quant_error 1.1055, utilization 0.0149, perplexity 131.7444,
Train Epoch: [1/30] Iters:[100/1093] transplant_loss 5.8948, rec_loss 0.0419, p_loss 0.3983, quant_error 1.0275, utilization 0.0199, perplexity 141.3464,
Train Epoch: [1/30] Iters:[110/1093] transplant_loss 5.5080, rec_loss 0.0401, p_loss 0.3830, quant_error 0.9789, utilization 0.0275, perplexity 157.0091,
Train Epoch: [1/30] Iters:[120/1093] transplant_loss 5.1596, rec_loss 0.0389, p_loss 0.3723, quant_error 0.9429, utilization 0.0367, perplexity 183.5403,
Train Epoch: [1/30] Iters:[130/1093] transplant_loss 4.8609, rec_loss 0.0376, p_loss 0.3632, quant_error 0.9091, utilization 0.0463, perplexity 222.0612,
Train Epoch: [1/30] Iters:[140/1093] transplant_loss 4.5600, rec_loss 0.0358, p_loss 0.3528, quant_error 0.8700, utilization 0.0554, perplexity 278.2525,
Train Epoch: [1/30] Iters:[150/1093] transplant_loss 4.3116, rec_loss 0.0344, p_loss 0.3430, quant_error 0.8347, utilization 0.0628, perplexity 350.7102,
Train Epoch: [1/30] Iters:[160/1093] transplant_loss 4.0747, rec_loss 0.0334, p_loss 0.3337, quant_error 0.8001, utilization 0.0686, perplexity 435.1667,
