dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 65536
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: mmd_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Transplant/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Transplant/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Transplant/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Transplant/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Transplant/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/model.ckpt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_65536_8_1
loss_pre: loss_1.0_1.0_1.0_0.4
training_pre: mmd_vq_transplant_False
saver_name_pre: mmd_vq_transplant_False_ImageNet_model_65536_8_1_loss_1.0_1.0_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
VQ Model Parameters: 69609635
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 25.0047, rec_loss 0.2567, p_loss 0.7151, quant_error 3.6640, utilization 0.0072, perplexity 155.1545,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 27.8479, rec_loss 0.2181, p_loss 0.6983, quant_error 3.2851, utilization 0.0053, perplexity 108.0291,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 23.5652, rec_loss 0.1887, p_loss 0.6819, quant_error 2.9477, utilization 0.0045, perplexity 107.0926,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 20.5824, rec_loss 0.1675, p_loss 0.6678, quant_error 2.6711, utilization 0.0041, perplexity 109.0822,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 18.3723, rec_loss 0.1515, p_loss 0.6540, quant_error 2.4363, utilization 0.0038, perplexity 111.7297,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 15.0851, rec_loss 0.1149, p_loss 0.6215, quant_error 1.9622, utilization 0.0030, perplexity 105.7278,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 10.5256, rec_loss 0.0930, p_loss 0.5863, quant_error 1.6155, utilization 0.0029, perplexity 119.3234,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 8.9748, rec_loss 0.0809, p_loss 0.5532, quant_error 1.3766, utilization 0.0033, perplexity 126.1846,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 8.0198, rec_loss 0.0737, p_loss 0.5222, quant_error 1.2175, utilization 0.0046, perplexity 135.4870,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 7.3908, rec_loss 0.0691, p_loss 0.4947, quant_error 1.1204, utilization 0.0068, perplexity 151.9321,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 6.8787, rec_loss 0.0672, p_loss 0.4750, quant_error 1.0540, utilization 0.0098, perplexity 181.7864,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 6.4462, rec_loss 0.0653, p_loss 0.4605, quant_error 1.0064, utilization 0.0134, perplexity 226.4184,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 6.0553, rec_loss 0.0635, p_loss 0.4490, quant_error 0.9661, utilization 0.0170, perplexity 292.9685,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 5.6417, rec_loss 0.0605, p_loss 0.4373, quant_error 0.9208, utilization 0.0202, perplexity 384.3328,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 5.2646, rec_loss 0.0589, p_loss 0.4274, quant_error 0.8776, utilization 0.0230, perplexity 500.3397,
Train Epoch: [1/2] Iters:[160/20018] transplant_loss 4.8935, rec_loss 0.0567, p_loss 0.4159, quant_error 0.8385, utilization 0.0257, perplexity 633.6151,
Train Epoch: [1/2] Iters:[170/20018] transplant_loss 4.5089, rec_loss 0.0548, p_loss 0.4074, quant_error 0.7971, utilization 0.0287, perplexity 781.5373,
Train Epoch: [1/2] Iters:[180/20018] transplant_loss 4.1571, rec_loss 0.0527, p_loss 0.3972, quant_error 0.7593, utilization 0.0324, perplexity 947.9832,
Train Epoch: [1/2] Iters:[190/20018] transplant_loss 3.8375, rec_loss 0.0515, p_loss 0.3887, quant_error 0.7260, utilization 0.0368, perplexity 1126.7907,
Train Epoch: [1/2] Iters:[200/20018] transplant_loss 3.5297, rec_loss 0.0500, p_loss 0.3795, quant_error 0.6908, utilization 0.0421, perplexity 1323.7658,
Train Epoch: [1/2] Iters:[210/20018] transplant_loss 3.2653, rec_loss 0.0482, p_loss 0.3698, quant_error 0.6584, utilization 0.0476, perplexity 1521.3061,
Train Epoch: [1/2] Iters:[220/20018] transplant_loss 3.0270, rec_loss 0.0470, p_loss 0.3612, quant_error 0.6281, utilization 0.0538, perplexity 1754.6671,
Train Epoch: [1/2] Iters:[230/20018] transplant_loss 2.8192, rec_loss 0.0459, p_loss 0.3548, quant_error 0.6010, utilization 0.0601, perplexity 1992.5413,
Train Epoch: [1/2] Iters:[240/20018] transplant_loss 2.6548, rec_loss 0.0457, p_loss 0.3490, quant_error 0.5763, utilization 0.0664, perplexity 2251.2030,
Train Epoch: [1/2] Iters:[250/20018] transplant_loss 2.5123, rec_loss 0.0440, p_loss 0.3413, quant_error 0.5546, utilization 0.0727, perplexity 2521.8119,
Train Epoch: [1/2] Iters:[260/20018] transplant_loss 2.3797, rec_loss 0.0434, p_loss 0.3367, quant_error 0.5337, utilization 0.0790, perplexity 2805.9336,
Train Epoch: [1/2] Iters:[270/20018] transplant_loss 2.2816, rec_loss 0.0425, p_loss 0.3306, quant_error 0.5165, utilization 0.0848, perplexity 3086.5905,
Train Epoch: [1/2] Iters:[280/20018] transplant_loss 2.1910, rec_loss 0.0416, p_loss 0.3253, quant_error 0.5007, utilization 0.0903, perplexity 3366.5609,
Train Epoch: [1/2] Iters:[290/20018] transplant_loss 2.1143, rec_loss 0.0403, p_loss 0.3186, quant_error 0.4879, utilization 0.0953, perplexity 3630.4157,
Train Epoch: [1/2] Iters:[300/20018] transplant_loss 2.0520, rec_loss 0.0405, p_loss 0.3147, quant_error 0.4748, utilization 0.1002, perplexity 3921.4579,
