dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 16384
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: online_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Transplant/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Transplant/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Transplant/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Transplant/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Transplant/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/model.ckpt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_16384_8_1
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: online_vq_transplant_False
saver_name_pre: online_vq_transplant_False_ImageNet_model_16384_8_1_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
VQ Model Parameters: 69609635
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 12.6055, rec_loss 0.1880, p_loss 0.6881, quant_error 3.3934, utilization 0.0363, perplexity 183.4206,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 12.0615, rec_loss 0.1616, p_loss 0.6744, quant_error 3.0766, utilization 0.0291, perplexity 162.4049,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 11.6334, rec_loss 0.1453, p_loss 0.6654, quant_error 2.8923, utilization 0.0257, perplexity 154.0715,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 11.2681, rec_loss 0.1353, p_loss 0.6580, quant_error 2.7597, utilization 0.0238, perplexity 148.1850,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 11.0059, rec_loss 0.1273, p_loss 0.6518, quant_error 2.6651, utilization 0.0226, perplexity 145.3293,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 10.3529, rec_loss 0.1068, p_loss 0.6368, quant_error 2.4263, utilization 0.0187, perplexity 133.9988,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 9.8017, rec_loss 0.0956, p_loss 0.6236, quant_error 2.2869, utilization 0.0177, perplexity 129.0070,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 9.2963, rec_loss 0.0894, p_loss 0.6096, quant_error 2.1691, utilization 0.0171, perplexity 120.7717,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 8.8073, rec_loss 0.0842, p_loss 0.5968, quant_error 2.0666, utilization 0.0168, perplexity 110.1685,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 8.2900, rec_loss 0.0799, p_loss 0.5844, quant_error 1.9628, utilization 0.0162, perplexity 95.6571,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 7.8421, rec_loss 0.0780, p_loss 0.5731, quant_error 1.8630, utilization 0.0156, perplexity 82.1332,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 7.4740, rec_loss 0.0763, p_loss 0.5628, quant_error 1.7795, utilization 0.0150, perplexity 70.3177,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 7.1630, rec_loss 0.0740, p_loss 0.5562, quant_error 1.7104, utilization 0.0145, perplexity 62.0634,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 6.9095, rec_loss 0.0704, p_loss 0.5485, quant_error 1.6447, utilization 0.0139, perplexity 55.9550,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 6.7262, rec_loss 0.0690, p_loss 0.5433, quant_error 1.5939, utilization 0.0133, perplexity 52.6036,
Train Epoch: [1/2] Iters:[160/20018] transplant_loss 6.5873, rec_loss 0.0665, p_loss 0.5390, quant_error 1.5548, utilization 0.0128, perplexity 49.8730,
