dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 32768
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: vanilla_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Transplant/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Transplant/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Transplant/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Transplant/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Transplant/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/model.ckpt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_32768_8_1
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: vanilla_vq_transplant_False
saver_name_pre: vanilla_vq_transplant_False_ImageNet_model_32768_8_1_loss_1.0_1.0_0.0_0.4
| distributed init (rank 1): env://
| distributed init (rank 0): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
VQ Model Parameters: 69609635
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 19.4223, rec_loss 0.3124, p_loss 0.7320, quant_error 4.0503, utilization 0.0166, perplexity 204.6729,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 22.3556, rec_loss 0.3181, p_loss 0.7188, quant_error 3.9180, utilization 0.0127, perplexity 148.3026,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 23.2441, rec_loss 0.3144, p_loss 0.7134, quant_error 3.8284, utilization 0.0109, perplexity 122.3626,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 23.6556, rec_loss 0.3127, p_loss 0.7087, quant_error 3.7768, utilization 0.0098, perplexity 105.8149,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 24.8828, rec_loss 0.3112, p_loss 0.7055, quant_error 3.7391, utilization 0.0090, perplexity 92.7328,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 32.0169, rec_loss 0.3106, p_loss 0.6976, quant_error 3.6636, utilization 0.0067, perplexity 55.5257,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 52.4561, rec_loss 0.3059, p_loss 0.6962, quant_error 3.6409, utilization 0.0059, perplexity 39.2023,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 102.0509, rec_loss 0.2962, p_loss 0.6932, quant_error 3.6085, utilization 0.0053, perplexity 26.5397,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 194.5834, rec_loss 0.2765, p_loss 0.6936, quant_error 3.5314, utilization 0.0050, perplexity 16.8939,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 239.5411, rec_loss 0.2521, p_loss 0.6942, quant_error 3.4250, utilization 0.0048, perplexity 12.3289,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 293.4569, rec_loss 0.2256, p_loss 0.6939, quant_error 3.2950, utilization 0.0047, perplexity 10.6188,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 319.4862, rec_loss 0.1983, p_loss 0.6928, quant_error 3.1634, utilization 0.0047, perplexity 11.0871,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 307.4632, rec_loss 0.1784, p_loss 0.6931, quant_error 3.0424, utilization 0.0047, perplexity 12.5406,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 244.9920, rec_loss 0.1663, p_loss 0.6919, quant_error 2.9706, utilization 0.0047, perplexity 13.4756,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 275.5982, rec_loss 0.1597, p_loss 0.6912, quant_error 2.9320, utilization 0.0045, perplexity 11.8066,
Train Epoch: [1/2] Iters:[160/20018] transplant_loss 309.6632, rec_loss 0.1537, p_loss 0.6900, quant_error 2.8956, utilization 0.0043, perplexity 11.5679,
Train Epoch: [1/2] Iters:[170/20018] transplant_loss 321.3357, rec_loss 0.1488, p_loss 0.6889, quant_error 2.8460, utilization 0.0042, perplexity 11.0608,
Train Epoch: [1/2] Iters:[180/20018] transplant_loss 387.4896, rec_loss 0.1463, p_loss 0.6894, quant_error 2.8483, utilization 0.0039, perplexity 9.7505,
Train Epoch: [1/2] Iters:[190/20018] transplant_loss 436.4294, rec_loss 0.1460, p_loss 0.6883, quant_error 2.8427, utilization 0.0036, perplexity 8.6484,
Train Epoch: [1/2] Iters:[200/20018] transplant_loss 451.2126, rec_loss 0.1459, p_loss 0.6866, quant_error 2.8310, utilization 0.0033, perplexity 8.6169,
Train Epoch: [1/2] Iters:[210/20018] transplant_loss 439.9819, rec_loss 0.1480, p_loss 0.6889, quant_error 2.8584, utilization 0.0030, perplexity 8.5254,
Train Epoch: [1/2] Iters:[220/20018] transplant_loss 490.6251, rec_loss 0.1484, p_loss 0.6885, quant_error 2.8694, utilization 0.0027, perplexity 8.0693,
Train Epoch: [1/2] Iters:[230/20018] transplant_loss 512.3211, rec_loss 0.1486, p_loss 0.6866, quant_error 2.8465, utilization 0.0025, perplexity 7.9961,
Train Epoch: [1/2] Iters:[240/20018] transplant_loss 559.5127, rec_loss 0.1492, p_loss 0.6868, quant_error 2.8409, utilization 0.0023, perplexity 7.8619,
