dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 16384
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
path: bc
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Transplant/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Transplant/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Transplant/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Transplant/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Transplant/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/model.ckpt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_16384_8_1
loss_pre: loss_1.0_1.0_1.0_0.4
training_pre: wasserstein_vq_transplant_False
saver_name_pre: wasserstein_vq_transplant_False_ImageNet_model_16384_8_1_loss_1.0_1.0_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
VQ Model Parameters: 69609635
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 30.0062, rec_loss 0.2462, p_loss 0.7253, quant_error 3.6980, utilization 0.0367, perplexity 172.2749,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 31.1926, rec_loss 0.2182, p_loss 0.7094, quant_error 3.3683, utilization 0.0285, perplexity 126.3326,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 25.2873, rec_loss 0.1885, p_loss 0.6896, quant_error 2.9939, utilization 0.0253, perplexity 135.5887,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 21.8467, rec_loss 0.1668, p_loss 0.6721, quant_error 2.6882, utilization 0.0251, perplexity 146.4254,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 19.4599, rec_loss 0.1501, p_loss 0.6563, quant_error 2.4365, utilization 0.0315, perplexity 164.5321,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 15.2106, rec_loss 0.1150, p_loss 0.6185, quant_error 1.9371, utilization 0.0456, perplexity 200.7607,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 10.3143, rec_loss 0.0902, p_loss 0.5771, quant_error 1.5427, utilization 0.0722, perplexity 293.6239,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 9.0509, rec_loss 0.0772, p_loss 0.5387, quant_error 1.2863, utilization 0.1086, perplexity 441.5636,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 8.0570, rec_loss 0.0694, p_loss 0.5033, quant_error 1.1134, utilization 0.1521, perplexity 679.4491,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 7.2531, rec_loss 0.0649, p_loss 0.4709, quant_error 1.0002, utilization 0.1972, perplexity 1045.5776,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 6.5812, rec_loss 0.0626, p_loss 0.4477, quant_error 0.9246, utilization 0.2382, perplexity 1530.4358,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 5.9975, rec_loss 0.0608, p_loss 0.4300, quant_error 0.8680, utilization 0.2723, perplexity 2057.4999,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 5.4746, rec_loss 0.0591, p_loss 0.4170, quant_error 0.8228, utilization 0.2988, perplexity 2568.8142,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 4.9754, rec_loss 0.0560, p_loss 0.4037, quant_error 0.7784, utilization 0.3191, perplexity 3036.5928,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 4.5613, rec_loss 0.0541, p_loss 0.3922, quant_error 0.7381, utilization 0.3329, perplexity 3405.6394,
Train Epoch: [1/2] Iters:[160/20018] transplant_loss 4.1899, rec_loss 0.0517, p_loss 0.3810, quant_error 0.6997, utilization 0.3415, perplexity 3644.5018,
