dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 32
z_channels: 256
factor: 16
sigma: 0.5
gamma_1: 0.2
gamma_2: 0.02
lambd: 0.2
VQ: adversarial_vq
resume: False
use_multiscale: True
use_pq: False
epochs: 1
eval_epochs: 1
lr: 0.0001
dropout: 0.0
seed: 3407
iterations: 1000
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
data_pre: ImageNet_256
model_pre: model_4096_32_16
loss_pre: loss_0.02
training_pre: adversarial_vq_substitution_1_True
saver_name_pre: adversarial_vq_substitution_1_True_ImageNet_256_model_4096_32_16_loss_0.02
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/1] Iters:[10/20018] vq_loss 0.5741, rec_loss 0.2367, codebook_g_loss 0.0976, quant_error 0.5528, codebook_utilization 0.9196, codebook_perplexity 1769.3997, codebook_d_loss 0.0202,
Train Epoch: [1/1] Iters:[20/20018] vq_loss 0.5705, rec_loss 0.1859, codebook_g_loss 0.2224, quant_error 0.5332, codebook_utilization 0.8830, codebook_perplexity 1493.4284, codebook_d_loss 0.0201,
Train Epoch: [1/1] Iters:[30/20018] vq_loss 0.5602, rec_loss 0.1585, codebook_g_loss 0.3369, quant_error 0.5115, codebook_utilization 0.8623, codebook_perplexity 1444.7319, codebook_d_loss 0.0201,
Train Epoch: [1/1] Iters:[40/20018] vq_loss 0.5496, rec_loss 0.1424, codebook_g_loss 0.3929, quant_error 0.4928, codebook_utilization 0.8594, codebook_perplexity 1502.4846, codebook_d_loss 0.0201,
Train Epoch: [1/1] Iters:[50/20018] vq_loss 0.5466, rec_loss 0.1317, codebook_g_loss 0.4044, quant_error 0.4834, codebook_utilization 0.8614, codebook_perplexity 1604.0403, codebook_d_loss 0.0201,
Train Epoch: [1/1] Iters:[60/20018] vq_loss 0.5348, rec_loss 0.1006, codebook_g_loss 0.4489, quant_error 0.4574, codebook_utilization 0.8572, codebook_perplexity 1732.8448, codebook_d_loss 0.0202,
Train Epoch: [1/1] Iters:[70/20018] vq_loss 0.5230, rec_loss 0.0894, codebook_g_loss 0.4125, quant_error 0.4376, codebook_utilization 0.8724, codebook_perplexity 2047.1021, codebook_d_loss 0.0203,
Train Epoch: [1/1] Iters:[80/20018] vq_loss 0.5165, rec_loss 0.0841, codebook_g_loss 0.3079, quant_error 0.4262, codebook_utilization 0.8961, codebook_perplexity 2395.8056, codebook_d_loss 0.0204,
Train Epoch: [1/1] Iters:[90/20018] vq_loss 0.5124, rec_loss 0.0800, codebook_g_loss 0.1917, quant_error 0.4187, codebook_utilization 0.9176, codebook_perplexity 2723.7917, codebook_d_loss 0.0204,
Train Epoch: [1/1] Iters:[100/20018] vq_loss 0.5063, rec_loss 0.0766, codebook_g_loss 0.0910, quant_error 0.4101, codebook_utilization 0.9393, codebook_perplexity 3016.7971, codebook_d_loss 0.0203,
Train Epoch: [1/1] Iters:[110/20018] vq_loss 0.5049, rec_loss 0.0738, codebook_g_loss 0.0118, quant_error 0.4061, codebook_utilization 0.9581, codebook_perplexity 3239.9129, codebook_d_loss 0.0202,
Train Epoch: [1/1] Iters:[120/20018] vq_loss 0.4996, rec_loss 0.0705, codebook_g_loss -0.0392, quant_error 0.3989, codebook_utilization 0.9733, codebook_perplexity 3362.5136, codebook_d_loss 0.0201,
Train Epoch: [1/1] Iters:[130/20018] vq_loss 0.4999, rec_loss 0.0679, codebook_g_loss -0.0642, quant_error 0.3963, codebook_utilization 0.9847, codebook_perplexity 3359.0033, codebook_d_loss 0.0200,
Train Epoch: [1/1] Iters:[140/20018] vq_loss 0.4913, rec_loss 0.0640, codebook_g_loss -0.0659, quant_error 0.3860, codebook_utilization 0.9921, codebook_perplexity 3206.1444, codebook_d_loss 0.0200,
Train Epoch: [1/1] Iters:[150/20018] vq_loss 0.4890, rec_loss 0.0608, codebook_g_loss -0.0445, quant_error 0.3808, codebook_utilization 0.9953, codebook_perplexity 2956.7204, codebook_d_loss 0.0201,
Train Epoch: [1/1] Iters:[160/20018] vq_loss 0.4845, rec_loss 0.0581, codebook_g_loss 0.0025, quant_error 0.3736, codebook_utilization 0.9953, codebook_perplexity 2599.7378, codebook_d_loss 0.0200,
Train Epoch: [1/1] Iters:[170/20018] vq_loss 0.4852, rec_loss 0.0565, codebook_g_loss 0.0749, quant_error 0.3707, codebook_utilization 0.9938, codebook_perplexity 2162.6848, codebook_d_loss 0.0199,
Train Epoch: [1/1] Iters:[180/20018] vq_loss 0.4835, rec_loss 0.0556, codebook_g_loss 0.1667, quant_error 0.3658, codebook_utilization 0.9923, codebook_perplexity 1721.0215, codebook_d_loss 0.0197,
Train Epoch: [1/1] Iters:[190/20018] vq_loss 0.4924, rec_loss 0.0564, codebook_g_loss 0.2632, quant_error 0.3703, codebook_utilization 0.9903, codebook_perplexity 1330.8650, codebook_d_loss 0.0195,
Train Epoch: [1/1] Iters:[200/20018] vq_loss 0.4968, rec_loss 0.0579, codebook_g_loss 0.3474, quant_error 0.3714, codebook_utilization 0.9875, codebook_perplexity 981.0469, codebook_d_loss 0.0193,
Train Epoch: [1/1] Iters:[210/20018] vq_loss 0.4991, rec_loss 0.0597, codebook_g_loss 0.4086, quant_error 0.3717, codebook_utilization 0.9827, codebook_perplexity 705.2297, codebook_d_loss 0.0192,
Train Epoch: [1/1] Iters:[220/20018] vq_loss 0.5046, rec_loss 0.0615, codebook_g_loss 0.4487, quant_error 0.3748, codebook_utilization 0.9757, codebook_perplexity 529.0746, codebook_d_loss 0.0191,
Train Epoch: [1/1] Iters:[230/20018] vq_loss 0.5105, rec_loss 0.0628, codebook_g_loss 0.4695, quant_error 0.3787, codebook_utilization 0.9666, codebook_perplexity 416.9643, codebook_d_loss 0.0192,
Train Epoch: [1/1] Iters:[240/20018] vq_loss 0.5127, rec_loss 0.0645, codebook_g_loss 0.4748, quant_error 0.3800, codebook_utilization 0.9515, codebook_perplexity 349.6392, codebook_d_loss 0.0194,
