dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 8192
codebook_dim: 32
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.5
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: ema_vq
use_multiscale: True
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-ema_vq_transplant_True_ImageNet_model_8192_32_1_loss_1.0_1.0_0.0_0.2.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/checkpoint/
data_pre: ImageNet
model_pre: model_8192_32_1
loss_pre: loss_1.0_1.0_0.0_0.5
training_pre: ema_vq_refinement_True
saver_name_pre: ema_vq_refinement_True_ImageNet_model_8192_32_1_loss_1.0_1.0_0.0_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant3/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss -1.2434, rec_loss 0.1234, lpips_loss 0.4535, g_loss -0.1836, disc_weight 0.5000, disc_adaptive_weight 9.9266, d_loss 2.6861, logits_real 0.1971, logits_fake 0.1869,
Train Epoch: [1/5] Iters:[20/20018] gen_loss -1.4623, rec_loss 0.1200, lpips_loss 0.4462, g_loss -0.2014, disc_weight 0.5000, disc_adaptive_weight 10.0537, d_loss 2.4360, logits_real 0.1935, logits_fake 0.2025,
Train Epoch: [1/5] Iters:[30/20018] gen_loss -1.5728, rec_loss 0.1134, lpips_loss 0.4411, g_loss -0.2151, disc_weight 0.5000, disc_adaptive_weight 9.9097, d_loss 2.2278, logits_real 0.1920, logits_fake 0.2172,
Train Epoch: [1/5] Iters:[40/20018] gen_loss -1.5030, rec_loss 0.1067, lpips_loss 0.4380, g_loss -0.2227, disc_weight 0.5000, disc_adaptive_weight 9.2730, d_loss 2.0625, logits_real 0.1910, logits_fake 0.2244,
Train Epoch: [1/5] Iters:[50/20018] gen_loss -1.4372, rec_loss 0.0998, lpips_loss 0.4322, g_loss -0.2242, disc_weight 0.5000, disc_adaptive_weight 8.8576, d_loss 1.9229, logits_real 0.1896, logits_fake 0.2251,
Train Epoch: [1/5] Iters:[60/20018] gen_loss -1.3975, rec_loss 0.0877, lpips_loss 0.4174, g_loss -0.2323, disc_weight 0.5000, disc_adaptive_weight 8.1971, d_loss 1.6346, logits_real 0.1872, logits_fake 0.2324,
Train Epoch: [1/5] Iters:[70/20018] gen_loss -1.1623, rec_loss 0.0766, lpips_loss 0.4021, g_loss -0.2319, disc_weight 0.5000, disc_adaptive_weight 7.0170, d_loss 1.4276, logits_real 0.1866, logits_fake 0.2320,
Train Epoch: [1/5] Iters:[80/20018] gen_loss -0.8662, rec_loss 0.0692, lpips_loss 0.3835, g_loss -0.2238, disc_weight 0.5000, disc_adaptive_weight 5.7975, d_loss 1.2855, logits_real 0.1861, logits_fake 0.2232,
Train Epoch: [1/5] Iters:[90/20018] gen_loss -0.6423, rec_loss 0.0635, lpips_loss 0.3586, g_loss -0.2138, disc_weight 0.5000, disc_adaptive_weight 4.8724, d_loss 1.1815, logits_real 0.1853, logits_fake 0.2133,
Train Epoch: [1/5] Iters:[100/20018] gen_loss -0.4332, rec_loss 0.0590, lpips_loss 0.3338, g_loss -0.2064, disc_weight 0.5000, disc_adaptive_weight 3.9139, d_loss 1.1061, logits_real 0.1855, logits_fake 0.2061,
Train Epoch: [1/5] Iters:[110/20018] gen_loss -0.2344, rec_loss 0.0561, lpips_loss 0.3125, g_loss -0.1995, disc_weight 0.5000, disc_adaptive_weight 2.9815, d_loss 1.0491, logits_real 0.1851, logits_fake 0.1996,
Train Epoch: [1/5] Iters:[120/20018] gen_loss -0.1536, rec_loss 0.0529, lpips_loss 0.2900, g_loss -0.1936, disc_weight 0.5000, disc_adaptive_weight 2.5463, d_loss 1.0011, logits_real 0.1847, logits_fake 0.1943,
Train Epoch: [1/5] Iters:[130/20018] gen_loss -0.1002, rec_loss 0.0488, lpips_loss 0.2719, g_loss -0.1910, disc_weight 0.5000, disc_adaptive_weight 2.1992, d_loss 0.9567, logits_real 0.1846, logits_fake 0.1917,
Train Epoch: [1/5] Iters:[140/20018] gen_loss -0.0901, rec_loss 0.0446, lpips_loss 0.2575, g_loss -0.1896, disc_weight 0.5000, disc_adaptive_weight 2.0685, d_loss 0.9168, logits_real 0.1850, logits_fake 0.1903,
Train Epoch: [1/5] Iters:[150/20018] gen_loss -0.0947, rec_loss 0.0431, lpips_loss 0.2478, g_loss -0.1892, disc_weight 0.5000, disc_adaptive_weight 2.0377, d_loss 0.8854, logits_real 0.1855, logits_fake 0.1900,
Train Epoch: [1/5] Iters:[160/20018] gen_loss -0.1173, rec_loss 0.0412, lpips_loss 0.2396, g_loss -0.1901, disc_weight 0.5000, disc_adaptive_weight 2.0940, d_loss 0.8558, logits_real 0.1867, logits_fake 0.1903,
Train Epoch: [1/5] Iters:[170/20018] gen_loss -0.1246, rec_loss 0.0401, lpips_loss 0.2359, g_loss -0.1912, disc_weight 0.5000, disc_adaptive_weight 2.0944, d_loss 0.8314, logits_real 0.1879, logits_fake 0.1912,
Train Epoch: [1/5] Iters:[180/20018] gen_loss -0.1498, rec_loss 0.0392, lpips_loss 0.2319, g_loss -0.1924, disc_weight 0.5000, disc_adaptive_weight 2.1871, d_loss 0.8109, logits_real 0.1891, logits_fake 0.1924,
Train Epoch: [1/5] Iters:[190/20018] gen_loss -0.1718, rec_loss 0.0392, lpips_loss 0.2305, g_loss -0.1938, disc_weight 0.5000, disc_adaptive_weight 2.2761, d_loss 0.7935, logits_real 0.1905, logits_fake 0.1939,
