dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 32
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 1.0
disc_weight: 0.5
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: mmd_vq
use_multiscale: True
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-mmd_vq_transplant_True_ImageNet_model_4096_32_1_loss_1.0_1.0_0.5_0.2-1.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/checkpoint/
data_pre: ImageNet
model_pre: model_4096_32_1
loss_pre: loss_1.0_1.0_1.0_0.5
training_pre: mmd_vq_refinement_True
saver_name_pre: mmd_vq_refinement_True_ImageNet_model_4096_32_1_loss_1.0_1.0_1.0_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant3/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss -0.7537, rec_loss 0.0681, lpips_loss 0.3201, g_loss -0.1855, disc_weight 0.5000, disc_adaptive_weight 6.1776, d_loss 2.6007, logits_real 0.1968, logits_fake 0.1885,
Train Epoch: [1/5] Iters:[20/20018] gen_loss -0.8569, rec_loss 0.0669, lpips_loss 0.3157, g_loss -0.1934, disc_weight 0.5000, disc_adaptive_weight 6.4207, d_loss 2.3535, logits_real 0.1936, logits_fake 0.1958,
Train Epoch: [1/5] Iters:[30/20018] gen_loss -1.0551, rec_loss 0.0635, lpips_loss 0.3175, g_loss -0.2028, disc_weight 0.5000, disc_adaptive_weight 7.0307, d_loss 2.1478, logits_real 0.1921, logits_fake 0.2057,
Train Epoch: [1/5] Iters:[40/20018] gen_loss -1.2966, rec_loss 0.0611, lpips_loss 0.3267, g_loss -0.2119, disc_weight 0.5000, disc_adaptive_weight 7.8141, d_loss 1.9873, logits_real 0.1912, logits_fake 0.2142,
Train Epoch: [1/5] Iters:[50/20018] gen_loss -1.6002, rec_loss 0.0602, lpips_loss 0.3396, g_loss -0.2188, disc_weight 0.5000, disc_adaptive_weight 8.8939, d_loss 1.8527, logits_real 0.1898, logits_fake 0.2204,
Train Epoch: [1/5] Iters:[60/20018] gen_loss -2.0335, rec_loss 0.0581, lpips_loss 0.3571, g_loss -0.2308, disc_weight 0.5000, disc_adaptive_weight 10.4187, d_loss 1.5712, logits_real 0.1875, logits_fake 0.2317,
Train Epoch: [1/5] Iters:[70/20018] gen_loss -2.1560, rec_loss 0.0564, lpips_loss 0.3747, g_loss -0.2389, disc_weight 0.5000, disc_adaptive_weight 10.7582, d_loss 1.3697, logits_real 0.1867, logits_fake 0.2390,
Train Epoch: [1/5] Iters:[80/20018] gen_loss -2.0100, rec_loss 0.0567, lpips_loss 0.3858, g_loss -0.2387, disc_weight 0.5000, disc_adaptive_weight 10.1544, d_loss 1.2289, logits_real 0.1861, logits_fake 0.2381,
Train Epoch: [1/5] Iters:[90/20018] gen_loss -1.6900, rec_loss 0.0561, lpips_loss 0.3805, g_loss -0.2318, disc_weight 0.5000, disc_adaptive_weight 8.9008, d_loss 1.1253, logits_real 0.1853, logits_fake 0.2314,
Train Epoch: [1/5] Iters:[100/20018] gen_loss -1.1766, rec_loss 0.0528, lpips_loss 0.3591, g_loss -0.2223, disc_weight 0.5000, disc_adaptive_weight 6.8320, d_loss 1.0517, logits_real 0.1854, logits_fake 0.2218,
Train Epoch: [1/5] Iters:[110/20018] gen_loss -0.6291, rec_loss 0.0489, lpips_loss 0.3301, g_loss -0.2120, disc_weight 0.5000, disc_adaptive_weight 4.5723, d_loss 0.9988, logits_real 0.1849, logits_fake 0.2119,
Train Epoch: [1/5] Iters:[120/20018] gen_loss -0.3821, rec_loss 0.0442, lpips_loss 0.2975, g_loss -0.2023, disc_weight 0.5000, disc_adaptive_weight 3.5304, d_loss 0.9562, logits_real 0.1846, logits_fake 0.2027,
Train Epoch: [1/5] Iters:[130/20018] gen_loss -0.2617, rec_loss 0.0390, lpips_loss 0.2671, g_loss -0.1965, disc_weight 0.5000, disc_adaptive_weight 2.8772, d_loss 0.9209, logits_real 0.1845, logits_fake 0.1967,
Train Epoch: [1/5] Iters:[140/20018] gen_loss -0.2075, rec_loss 0.0342, lpips_loss 0.2429, g_loss -0.1935, disc_weight 0.5000, disc_adaptive_weight 2.5013, d_loss 0.8893, logits_real 0.1850, logits_fake 0.1938,
Train Epoch: [1/5] Iters:[150/20018] gen_loss -0.1745, rec_loss 0.0323, lpips_loss 0.2267, g_loss -0.1920, disc_weight 0.5000, disc_adaptive_weight 2.2578, d_loss 0.8626, logits_real 0.1855, logits_fake 0.1924,
Train Epoch: [1/5] Iters:[160/20018] gen_loss -0.1632, rec_loss 0.0301, lpips_loss 0.2126, g_loss -0.1918, disc_weight 0.5000, disc_adaptive_weight 2.1168, d_loss 0.8363, logits_real 0.1867, logits_fake 0.1917,
Train Epoch: [1/5] Iters:[170/20018] gen_loss -0.1024, rec_loss 0.0290, lpips_loss 0.2031, g_loss -0.1917, disc_weight 0.5000, disc_adaptive_weight 1.7467, d_loss 0.8151, logits_real 0.1878, logits_fake 0.1913,
