dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 8192
codebook_dim: 32
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.5
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: online_vq
use_multiscale: True
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-online_vq_transplant_True_ImageNet_model_8192_32_1_loss_1.0_1.0_0.0_0.2.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/checkpoint/
data_pre: ImageNet
model_pre: model_8192_32_1
loss_pre: loss_1.0_1.0_0.0_0.5
training_pre: online_vq_refinement_True
saver_name_pre: online_vq_refinement_True_ImageNet_model_8192_32_1_loss_1.0_1.0_0.0_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant3/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss 0.1783, rec_loss 0.0990, lpips_loss 0.4579, g_loss -0.0373, disc_weight 0.5000, disc_adaptive_weight 9.3488, d_loss 2.6517, logits_real 0.0720, logits_fake 0.0356,
Train Epoch: [1/5] Iters:[20/20018] gen_loss 0.3848, rec_loss 0.0805, lpips_loss 0.4069, g_loss -0.0105, disc_weight 0.5000, disc_adaptive_weight 9.4524, d_loss 2.3736, logits_real 0.0695, logits_fake 0.0105,
Train Epoch: [1/5] Iters:[30/20018] gen_loss 0.3502, rec_loss 0.0678, lpips_loss 0.3661, g_loss -0.0094, disc_weight 0.5000, disc_adaptive_weight 9.9093, d_loss 2.1790, logits_real 0.0683, logits_fake 0.0088,
Train Epoch: [1/5] Iters:[40/20018] gen_loss 0.2732, rec_loss 0.0596, lpips_loss 0.3321, g_loss -0.0202, disc_weight 0.5000, disc_adaptive_weight 8.5389, d_loss 2.0322, logits_real 0.0682, logits_fake 0.0202,
Train Epoch: [1/5] Iters:[50/20018] gen_loss 0.2334, rec_loss 0.0544, lpips_loss 0.3124, g_loss -0.0252, disc_weight 0.5000, disc_adaptive_weight 7.6984, d_loss 1.8997, logits_real 0.0673, logits_fake 0.0252,
Train Epoch: [1/5] Iters:[60/20018] gen_loss 0.1869, rec_loss 0.0407, lpips_loss 0.2657, g_loss -0.0259, disc_weight 0.5000, disc_adaptive_weight 7.3526, d_loss 1.6190, logits_real 0.0653, logits_fake 0.0260,
Train Epoch: [1/5] Iters:[70/20018] gen_loss 0.0632, rec_loss 0.0343, lpips_loss 0.2373, g_loss -0.0394, disc_weight 0.5000, disc_adaptive_weight 6.5236, d_loss 1.4343, logits_real 0.0641, logits_fake 0.0393,
Train Epoch: [1/5] Iters:[80/20018] gen_loss 0.0127, rec_loss 0.0324, lpips_loss 0.2226, g_loss -0.0497, disc_weight 0.5000, disc_adaptive_weight 5.0991, d_loss 1.2952, logits_real 0.0631, logits_fake 0.0498,
Train Epoch: [1/5] Iters:[90/20018] gen_loss 0.0150, rec_loss 0.0319, lpips_loss 0.2179, g_loss -0.0510, disc_weight 0.5000, disc_adaptive_weight 4.8357, d_loss 1.1849, logits_real 0.0618, logits_fake 0.0506,
Train Epoch: [1/5] Iters:[100/20018] gen_loss 0.0180, rec_loss 0.0313, lpips_loss 0.2118, g_loss -0.0536, disc_weight 0.5000, disc_adaptive_weight 4.4693, d_loss 1.1061, logits_real 0.0609, logits_fake 0.0534,
Train Epoch: [1/5] Iters:[110/20018] gen_loss 0.0515, rec_loss 0.0319, lpips_loss 0.2086, g_loss -0.0570, disc_weight 0.5000, disc_adaptive_weight 3.3921, d_loss 1.0446, logits_real 0.0601, logits_fake 0.0568,
