dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 8192
codebook_dim: 32
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.5
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: vanilla_vq
use_multiscale: True
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-vanilla_vq_transplant_True_ImageNet_model_8192_32_1_loss_1.0_1.0_0.0_0.2.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/checkpoint/
data_pre: ImageNet
model_pre: model_8192_32_1
loss_pre: loss_1.0_1.0_0.0_0.5
training_pre: vanilla_vq_refinement_True
saver_name_pre: vanilla_vq_refinement_True_ImageNet_model_8192_32_1_loss_1.0_1.0_0.0_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant3/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss 0.1113, rec_loss 0.0325, lpips_loss 0.2073, g_loss -0.0632, disc_weight 0.5000, disc_adaptive_weight 2.0471, d_loss 2.5515, logits_real 0.0722, logits_fake 0.0633,
Train Epoch: [1/5] Iters:[20/20018] gen_loss 0.1171, rec_loss 0.0344, lpips_loss 0.2103, g_loss -0.0615, disc_weight 0.5000, disc_adaptive_weight 2.0724, d_loss 2.2980, logits_real 0.0696, logits_fake 0.0618,
Train Epoch: [1/5] Iters:[30/20018] gen_loss 0.1135, rec_loss 0.0343, lpips_loss 0.2121, g_loss -0.0622, disc_weight 0.5000, disc_adaptive_weight 2.1252, d_loss 2.1118, logits_real 0.0684, logits_fake 0.0617,
Train Epoch: [1/5] Iters:[40/20018] gen_loss 0.1187, rec_loss 0.0348, lpips_loss 0.2126, g_loss -0.0628, disc_weight 0.5000, disc_adaptive_weight 2.0409, d_loss 1.9706, logits_real 0.0681, logits_fake 0.0623,
Train Epoch: [1/5] Iters:[50/20018] gen_loss 0.1229, rec_loss 0.0352, lpips_loss 0.2141, g_loss -0.0628, disc_weight 0.5000, disc_adaptive_weight 2.0001, d_loss 1.8516, logits_real 0.0671, logits_fake 0.0619,
Train Epoch: [1/5] Iters:[60/20018] gen_loss 0.1250, rec_loss 0.0354, lpips_loss 0.2136, g_loss -0.0628, disc_weight 0.5000, disc_adaptive_weight 1.9598, d_loss 1.5913, logits_real 0.0649, logits_fake 0.0616,
Train Epoch: [1/5] Iters:[70/20018] gen_loss 0.1273, rec_loss 0.0348, lpips_loss 0.2125, g_loss -0.0630, disc_weight 0.5000, disc_adaptive_weight 1.8917, d_loss 1.4135, logits_real 0.0634, logits_fake 0.0616,
Train Epoch: [1/5] Iters:[80/20018] gen_loss 0.1314, rec_loss 0.0352, lpips_loss 0.2118, g_loss -0.0625, disc_weight 0.5000, disc_adaptive_weight 1.8464, d_loss 1.2833, logits_real 0.0623, logits_fake 0.0615,
Train Epoch: [1/5] Iters:[90/20018] gen_loss 0.1323, rec_loss 0.0351, lpips_loss 0.2111, g_loss -0.0618, disc_weight 0.5000, disc_adaptive_weight 1.8414, d_loss 1.1809, logits_real 0.0608, logits_fake 0.0608,
Train Epoch: [1/5] Iters:[100/20018] gen_loss 0.1312, rec_loss 0.0346, lpips_loss 0.2091, g_loss -0.0609, disc_weight 0.5000, disc_adaptive_weight 1.8544, d_loss 1.1001, logits_real 0.0599, logits_fake 0.0605,
Train Epoch: [1/5] Iters:[110/20018] gen_loss 0.1373, rec_loss 0.0352, lpips_loss 0.2108, g_loss -0.0599, disc_weight 0.5000, disc_adaptive_weight 1.8158, d_loss 1.0377, logits_real 0.0591, logits_fake 0.0598,
