dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 32
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: ema_vq
use_multiscale: True
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/checkpoint/
data_pre: ImageNet
model_pre: model_4096_32_1
loss_pre: loss_1.0_1.0_0.0_0.2
training_pre: ema_vq_transplant_True
saver_name_pre: ema_vq_transplant_True_ImageNet_model_4096_32_1_loss_1.0_1.0_0.0_0.2
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant3/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 2.1761, rec_loss 0.2722, p_loss 0.5661, quant_error1 0.3845, quant_error 0.5834, utilization 0.5586, perplexity 1023.1101,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 1.8028, rec_loss 0.1678, p_loss 0.4630, quant_error1 0.3932, quant_error 0.5003, utilization 0.6118, perplexity 1161.4245,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 1.6507, rec_loss 0.1289, p_loss 0.4233, quant_error1 0.3905, quant_error 0.4651, utilization 0.6459, perplexity 1234.7463,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 1.5756, rec_loss 0.1100, p_loss 0.4020, quant_error1 0.3900, quant_error 0.4479, utilization 0.6585, perplexity 1276.0045,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 1.5378, rec_loss 0.0985, p_loss 0.3883, quant_error1 0.3937, quant_error 0.4412, utilization 0.6665, perplexity 1313.9578,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 1.3629, rec_loss 0.0537, p_loss 0.3390, quant_error1 0.3931, quant_error 0.4017, utilization 0.6911, perplexity 1397.8228,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 1.3319, rec_loss 0.0504, p_loss 0.3300, quant_error1 0.3875, quant_error 0.3934, utilization 0.6935, perplexity 1425.2397,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 1.3207, rec_loss 0.0496, p_loss 0.3223, quant_error1 0.3878, quant_error 0.3918, utilization 0.6859, perplexity 1436.5971,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 1.3093, rec_loss 0.0483, p_loss 0.3140, quant_error1 0.3887, quant_error 0.3906, utilization 0.6807, perplexity 1444.2616,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 1.2842, rec_loss 0.0468, p_loss 0.3059, quant_error1 0.3837, quant_error 0.3834, utilization 0.6758, perplexity 1441.9201,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 1.2906, rec_loss 0.0465, p_loss 0.2999, quant_error1 0.3908, quant_error 0.3878, utilization 0.6748, perplexity 1446.9464,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 1.2809, rec_loss 0.0457, p_loss 0.2920, quant_error1 0.3919, quant_error 0.3864, utilization 0.6731, perplexity 1445.2381,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 1.2769, rec_loss 0.0453, p_loss 0.2865, quant_error1 0.3942, quant_error 0.3859, utilization 0.6746, perplexity 1449.0302,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 1.2455, rec_loss 0.0435, p_loss 0.2805, quant_error1 0.3856, quant_error 0.3750, utilization 0.6726, perplexity 1443.3551,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 1.2403, rec_loss 0.0430, p_loss 0.2756, quant_error1 0.3870, quant_error 0.3739, utilization 0.6742, perplexity 1446.4776,
Train Epoch: [1/2] Iters:[160/20018] transplant_loss 1.2160, rec_loss 0.0416, p_loss 0.2707, quant_error1 0.3804, quant_error 0.3653, utilization 0.6735, perplexity 1442.7889,
Train Epoch: [1/2] Iters:[170/20018] transplant_loss 1.2104, rec_loss 0.0412, p_loss 0.2685, quant_error1 0.3802, quant_error 0.3631, utilization 0.6745, perplexity 1446.8410,
Train Epoch: [1/2] Iters:[180/20018] transplant_loss 1.1912, rec_loss 0.0402, p_loss 0.2636, quant_error1 0.3756, quant_error 0.3567, utilization 0.6730, perplexity 1447.6082,
Train Epoch: [1/2] Iters:[190/20018] transplant_loss 1.1995, rec_loss 0.0401, p_loss 0.2615, quant_error1 0.3813, quant_error 0.3601, utilization 0.6751, perplexity 1456.7833,
Train Epoch: [1/2] Iters:[200/20018] transplant_loss 1.1900, rec_loss 0.0396, p_loss 0.2593, quant_error1 0.3790, quant_error 0.3566, utilization 0.6747, perplexity 1459.0105,
Train Epoch: [1/2] Iters:[210/20018] transplant_loss 1.1787, rec_loss 0.0392, p_loss 0.2560, quant_error1 0.3765, quant_error 0.3527, utilization 0.6754, perplexity 1459.3290,
Train Epoch: [1/2] Iters:[220/20018] transplant_loss 1.1788, rec_loss 0.0386, p_loss 0.2545, quant_error1 0.3784, quant_error 0.3530, utilization 0.6758, perplexity 1465.4363,
Train Epoch: [1/2] Iters:[230/20018] transplant_loss 1.1844, rec_loss 0.0385, p_loss 0.2544, quant_error1 0.3818, quant_error 0.3549, utilization 0.6761, perplexity 1467.9396,
