dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 8192
codebook_dim: 32
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.5
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: mmd_vq
use_multiscale: True
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 3
lr_transplant: 0.0001
lr_refinement: 5e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/checkpoint/
data_pre: ImageNet
model_pre: model_8192_32_1
loss_pre: loss_1.0_1.0_0.5_0.2
training_pre: mmd_vq_transplant_True
saver_name_pre: mmd_vq_transplant_True_ImageNet_model_8192_32_1_loss_1.0_1.0_0.5_0.2
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant3/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 2.6787, rec_loss 0.2525, p_loss 0.6979, quant_error1 0.5507, quant_error 0.7655, utilization 0.2994, perplexity 1330.9024,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 2.4004, rec_loss 0.1885, p_loss 0.6420, quant_error1 0.5484, quant_error 0.6742, utilization 0.2586, perplexity 1194.3067,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 2.2228, rec_loss 0.1575, p_loss 0.6015, quant_error1 0.5292, quant_error 0.6204, utilization 0.2610, perplexity 1236.6424,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 2.0996, rec_loss 0.1393, p_loss 0.5681, quant_error1 0.5123, quant_error 0.5853, utilization 0.2866, perplexity 1387.0100,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 2.0134, rec_loss 0.1264, p_loss 0.5402, quant_error1 0.5024, quant_error 0.5638, utilization 0.3195, perplexity 1592.1642,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 1.7767, rec_loss 0.0887, p_loss 0.4768, quant_error1 0.4753, quant_error 0.4966, utilization 0.3697, perplexity 1940.2366,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 1.6334, rec_loss 0.0751, p_loss 0.4302, quant_error1 0.4455, quant_error 0.4619, utilization 0.4547, perplexity 2468.4634,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 1.5357, rec_loss 0.0670, p_loss 0.3929, quant_error1 0.4274, quant_error 0.4415, utilization 0.5580, perplexity 3096.2261,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 1.4553, rec_loss 0.0604, p_loss 0.3632, quant_error1 0.4125, quant_error 0.4251, utilization 0.6658, perplexity 3790.7960,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 1.3758, rec_loss 0.0549, p_loss 0.3382, quant_error1 0.3951, quant_error 0.4064, utilization 0.7647, perplexity 4483.3799,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 1.3404, rec_loss 0.0515, p_loss 0.3205, quant_error1 0.3926, quant_error 0.4024, utilization 0.8464, perplexity 5088.6692,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 1.3002, rec_loss 0.0487, p_loss 0.3040, quant_error1 0.3859, quant_error 0.3946, utilization 0.9103, perplexity 5570.3658,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 1.2688, rec_loss 0.0462, p_loss 0.2903, quant_error1 0.3808, quant_error 0.3880, utilization 0.9473, perplexity 5916.5794,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 1.2150, rec_loss 0.0426, p_loss 0.2753, quant_error1 0.3663, quant_error 0.3717, utilization 0.9611, perplexity 6109.9740,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 1.1925, rec_loss 0.0406, p_loss 0.2626, quant_error1 0.3635, quant_error 0.3666, utilization 0.9675, perplexity 6245.6813,
Train Epoch: [1/2] Iters:[160/20018] transplant_loss 1.1516, rec_loss 0.0382, p_loss 0.2502, quant_error1 0.3525, quant_error 0.3532, utilization 0.9724, perplexity 6369.8714,
Train Epoch: [1/2] Iters:[170/20018] transplant_loss 1.1245, rec_loss 0.0363, p_loss 0.2405, quant_error1 0.3466, quant_error 0.3443, utilization 0.9770, perplexity 6512.9372,
Train Epoch: [1/2] Iters:[180/20018] transplant_loss 1.0928, rec_loss 0.0343, p_loss 0.2300, quant_error1 0.3393, quant_error 0.3339, utilization 0.9806, perplexity 6655.4917,
Train Epoch: [1/2] Iters:[190/20018] transplant_loss 1.0893, rec_loss 0.0335, p_loss 0.2230, quant_error1 0.3427, quant_error 0.3340, utilization 0.9839, perplexity 6781.4582,
Train Epoch: [1/2] Iters:[200/20018] transplant_loss 1.0729, rec_loss 0.0327, p_loss 0.2173, quant_error1 0.3396, quant_error 0.3277, utilization 0.9857, perplexity 6852.7630,
Train Epoch: [1/2] Iters:[210/20018] transplant_loss 1.0520, rec_loss 0.0316, p_loss 0.2108, quant_error1 0.3348, quant_error 0.3201, utilization 0.9870, perplexity 6866.0087,
Train Epoch: [1/2] Iters:[220/20018] transplant_loss 1.0466, rec_loss 0.0310, p_loss 0.2073, quant_error1 0.3355, quant_error 0.3179, utilization 0.9876, perplexity 6836.6921,
Train Epoch: [1/2] Iters:[230/20018] transplant_loss 1.0419, rec_loss 0.0304, p_loss 0.2049, quant_error1 0.3357, quant_error 0.3154, utilization 0.9883, perplexity 6751.2328,
Train Epoch: [1/2] Iters:[240/20018] transplant_loss 1.0440, rec_loss 0.0308, p_loss 0.2040, quant_error1 0.3373, quant_error 0.3147, utilization 0.9885, perplexity 6626.9062,
Train Epoch: [1/2] Iters:[250/20018] transplant_loss 1.0313, rec_loss 0.0300, p_loss 0.2014, quant_error1 0.3335, quant_error 0.3094, utilization 0.9888, perplexity 6463.0251,
Train Epoch: [1/2] Iters:[260/20018] transplant_loss 1.0213, rec_loss 0.0297, p_loss 0.2010, quant_error1 0.3294, quant_error 0.3042, utilization 0.9890, perplexity 6308.4469,
Train Epoch: [1/2] Iters:[270/20018] transplant_loss 1.0132, rec_loss 0.0295, p_loss 0.1991, quant_error1 0.3268, quant_error 0.3009, utilization 0.9892, perplexity 6159.5904,
Train Epoch: [1/2] Iters:[280/20018] transplant_loss 1.0003, rec_loss 0.0292, p_loss 0.1973, quant_error1 0.3218, quant_error 0.2957, utilization 0.9895, perplexity 6071.8926,
Train Epoch: [1/2] Iters:[290/20018] transplant_loss 0.9882, rec_loss 0.0283, p_loss 0.1944, quant_error1 0.3182, quant_error 0.2919, utilization 0.9898, perplexity 6013.3262,
Train Epoch: [1/2] Iters:[300/20018] transplant_loss 0.9949, rec_loss 0.0288, p_loss 0.1940, quant_error1 0.3209, quant_error 0.2940, utilization 0.9901, perplexity 5985.6875,
Train Epoch: [1/2] Iters:[310/20018] transplant_loss 0.9989, rec_loss 0.0286, p_loss 0.1941, quant_error1 0.3226, quant_error 0.2954, utilization 0.9902, perplexity 5990.3807,
Train Epoch: [1/2] Iters:[320/20018] transplant_loss 1.0074, rec_loss 0.0294, p_loss 0.1953, quant_error1 0.3247, quant_error 0.2973, utilization 0.9903, perplexity 6006.4126,
Train Epoch: [1/2] Iters:[330/20018] transplant_loss 1.0199, rec_loss 0.0299, p_loss 0.1963, quant_error1 0.3290, quant_error 0.3011, utilization 0.9903, perplexity 6033.5310,
Train Epoch: [1/2] Iters:[340/20018] transplant_loss 1.0151, rec_loss 0.0298, p_loss 0.1955, quant_error1 0.3265, quant_error 0.2992, utilization 0.9903, perplexity 6000.5704,
Train Epoch: [1/2] Iters:[350/20018] transplant_loss 1.0082, rec_loss 0.0292, p_loss 0.1956, quant_error1 0.3229, quant_error 0.2961, utilization 0.9903, perplexity 5999.2614,
Train Epoch: [1/2] Iters:[360/20018] transplant_loss 1.0148, rec_loss 0.0294, p_loss 0.1950, quant_error1 0.3253, quant_error 0.2987, utilization 0.9902, perplexity 5998.4383,
Train Epoch: [1/2] Iters:[370/20018] transplant_loss 1.0040, rec_loss 0.0285, p_loss 0.1931, quant_error1 0.3214, quant_error 0.2955, utilization 0.9902, perplexity 5995.9822,
Train Epoch: [1/2] Iters:[380/20018] transplant_loss 1.0061, rec_loss 0.0290, p_loss 0.1925, quant_error1 0.3215, quant_error 0.2961, utilization 0.9903, perplexity 5972.1150,
Train Epoch: [1/2] Iters:[390/20018] transplant_loss 1.0133, rec_loss 0.0293, p_loss 0.1939, quant_error1 0.3232, quant_error 0.2981, utilization 0.9904, perplexity 5990.1046,
Train Epoch: [1/2] Iters:[400/20018] transplant_loss 1.0029, rec_loss 0.0290, p_loss 0.1915, quant_error1 0.3192, quant_error 0.2949, utilization 0.9905, perplexity 5975.4433,
Train Epoch: [1/2] Iters:[410/20018] transplant_loss 0.9969, rec_loss 0.0287, p_loss 0.1907, quant_error1 0.3167, quant_error 0.2930, utilization 0.9907, perplexity 5963.3511,
Train Epoch: [1/2] Iters:[420/20018] transplant_loss 0.9905, rec_loss 0.0286, p_loss 0.1905, quant_error1 0.3134, quant_error 0.2904, utilization 0.9908, perplexity 5943.3452,
Train Epoch: [1/2] Iters:[430/20018] transplant_loss 0.9821, rec_loss 0.0279, p_loss 0.1903, quant_error1 0.3098, quant_error 0.2875, utilization 0.9907, perplexity 5918.4979,
Train Epoch: [1/2] Iters:[440/20018] transplant_loss 0.9833, rec_loss 0.0280, p_loss 0.1903, quant_error1 0.3098, quant_error 0.2879, utilization 0.9907, perplexity 5924.7557,
Train Epoch: [1/2] Iters:[450/20018] transplant_loss 0.9864, rec_loss 0.0280, p_loss 0.1917, quant_error1 0.3101, quant_error 0.2885, utilization 0.9908, perplexity 5941.7725,
Train Epoch: [1/2] Iters:[460/20018] transplant_loss 0.9815, rec_loss 0.0282, p_loss 0.1912, quant_error1 0.3074, quant_error 0.2864, utilization 0.9910, perplexity 5939.4249,
Train Epoch: [1/2] Iters:[470/20018] transplant_loss 0.9928, rec_loss 0.0284, p_loss 0.1928, quant_error1 0.3111, quant_error 0.2900, utilization 0.9911, perplexity 5969.3171,
Train Epoch: [1/2] Iters:[480/20018] transplant_loss 0.9915, rec_loss 0.0282, p_loss 0.1928, quant_error1 0.3101, quant_error 0.2893, utilization 0.9911, perplexity 6007.9816,
Train Epoch: [1/2] Iters:[490/20018] transplant_loss 0.9853, rec_loss 0.0278, p_loss 0.1920, quant_error1 0.3074, quant_error 0.2873, utilization 0.9910, perplexity 5979.4165,
Train Epoch: [1/2] Iters:[500/20018] transplant_loss 0.9884, rec_loss 0.0280, p_loss 0.1914, quant_error1 0.3083, quant_error 0.2885, utilization 0.9909, perplexity 5958.3897,
Train Epoch: [1/2] Iters:[510/20018] transplant_loss 0.9929, rec_loss 0.0281, p_loss 0.1918, quant_error1 0.3095, quant_error 0.2900, utilization 0.9905, perplexity 5956.4467,
Train Epoch: [1/2] Iters:[520/20018] transplant_loss 0.9794, rec_loss 0.0281, p_loss 0.1903, quant_error1 0.3038, quant_error 0.2852, utilization 0.9904, perplexity 5915.0345,
Train Epoch: [1/2] Iters:[530/20018] transplant_loss 0.9758, rec_loss 0.0283, p_loss 0.1904, quant_error1 0.3016, quant_error 0.2835, utilization 0.9905, perplexity 5908.4905,
Train Epoch: [1/2] Iters:[540/20018] transplant_loss 0.9749, rec_loss 0.0287, p_loss 0.1907, quant_error1 0.3003, quant_error 0.2827, utilization 0.9907, perplexity 5932.4818,
Train Epoch: [1/2] Iters:[550/20018] transplant_loss 0.9766, rec_loss 0.0288, p_loss 0.1914, quant_error1 0.3004, quant_error 0.2829, utilization 0.9906, perplexity 5953.4506,
Train Epoch: [1/2] Iters:[560/20018] transplant_loss 0.9760, rec_loss 0.0287, p_loss 0.1926, quant_error1 0.2994, quant_error 0.2822, utilization 0.9906, perplexity 5956.8379,
Train Epoch: [1/2] Iters:[570/20018] transplant_loss 0.9812, rec_loss 0.0288, p_loss 0.1930, quant_error1 0.3011, quant_error 0.2839, utilization 0.9908, perplexity 5988.2602,
Train Epoch: [1/2] Iters:[580/20018] transplant_loss 0.9831, rec_loss 0.0284, p_loss 0.1921, quant_error1 0.3022, quant_error 0.2852, utilization 0.9907, perplexity 5970.5662,
Train Epoch: [1/2] Iters:[590/20018] transplant_loss 0.9833, rec_loss 0.0283, p_loss 0.1922, quant_error1 0.3021, quant_error 0.2852, utilization 0.9905, perplexity 5946.6224,
Train Epoch: [1/2] Iters:[600/20018] transplant_loss 0.9791, rec_loss 0.0278, p_loss 0.1916, quant_error1 0.3004, quant_error 0.2839, utilization 0.9906, perplexity 5971.6048,
Train Epoch: [1/2] Iters:[610/20018] transplant_loss 0.9736, rec_loss 0.0278, p_loss 0.1903, quant_error1 0.2982, quant_error 0.2821, utilization 0.9906, perplexity 5971.5671,
Train Epoch: [1/2] Iters:[620/20018] transplant_loss 0.9763, rec_loss 0.0279, p_loss 0.1896, quant_error1 0.2994, quant_error 0.2834, utilization 0.9906, perplexity 5993.5693,
Train Epoch: [1/2] Iters:[630/20018] transplant_loss 0.9679, rec_loss 0.0278, p_loss 0.1889, quant_error1 0.2957, quant_error 0.2802, utilization 0.9906, perplexity 5968.7744,
Train Epoch: [1/2] Iters:[640/20018] transplant_loss 0.9652, rec_loss 0.0275, p_loss 0.1881, quant_error1 0.2947, quant_error 0.2795, utilization 0.9908, perplexity 6004.1390,
Train Epoch: [1/2] Iters:[650/20018] transplant_loss 0.9707, rec_loss 0.0277, p_loss 0.1882, quant_error1 0.2966, quant_error 0.2816, utilization 0.9909, perplexity 6007.9847,
Train Epoch: [1/2] Iters:[660/20018] transplant_loss 0.9692, rec_loss 0.0276, p_loss 0.1881, quant_error1 0.2958, quant_error 0.2812, utilization 0.9907, perplexity 5988.9090,
Train Epoch: [1/2] Iters:[670/20018] transplant_loss 0.9706, rec_loss 0.0274, p_loss 0.1890, quant_error1 0.2959, quant_error 0.2815, utilization 0.9907, perplexity 5991.3736,
Train Epoch: [1/2] Iters:[680/20018] transplant_loss 0.9728, rec_loss 0.0274, p_loss 0.1891, quant_error1 0.2964, quant_error 0.2823, utilization 0.9908, perplexity 6009.1899,
Train Epoch: [1/2] Iters:[690/20018] transplant_loss 0.9723, rec_loss 0.0275, p_loss 0.1898, quant_error1 0.2956, quant_error 0.2818, utilization 0.9908, perplexity 6012.1738,
Train Epoch: [1/2] Iters:[700/20018] transplant_loss 0.9697, rec_loss 0.0276, p_loss 0.1893, quant_error1 0.2944, quant_error 0.2810, utilization 0.9907, perplexity 5985.8499,
