dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 8192
codebook_dim: 32
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: online_vq
use_multiscale: True
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/checkpoint/
data_pre: ImageNet
model_pre: model_8192_32_1
loss_pre: loss_1.0_1.0_0.0_0.2
training_pre: online_vq_transplant_True
saver_name_pre: online_vq_transplant_True_ImageNet_model_8192_32_1_loss_1.0_1.0_0.0_0.2
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant3/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 2.9088, rec_loss 0.3965, p_loss 0.7374, quant_error1 0.5790, quant_error 0.7941, utilization 0.3981, perplexity 1207.4145,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 2.6734, rec_loss 0.3171, p_loss 0.7056, quant_error1 0.6031, quant_error 0.7211, utilization 0.3390, perplexity 982.8421,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 2.5506, rec_loss 0.2785, p_loss 0.6916, quant_error1 0.6052, quant_error 0.6854, utilization 0.2999, perplexity 860.3430,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 2.4854, rec_loss 0.2603, p_loss 0.6810, quant_error1 0.6047, quant_error 0.6663, utilization 0.2734, perplexity 777.8571,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 2.4413, rec_loss 0.2441, p_loss 0.6725, quant_error1 0.6087, quant_error 0.6579, utilization 0.2531, perplexity 720.4522,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 2.2908, rec_loss 0.1976, p_loss 0.6517, quant_error1 0.6105, quant_error 0.6163, utilization 0.2050, perplexity 570.0429,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 2.2256, rec_loss 0.1811, p_loss 0.6419, quant_error1 0.6011, quant_error 0.6021, utilization 0.1790, perplexity 505.5795,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 2.1872, rec_loss 0.1702, p_loss 0.6329, quant_error1 0.5975, quant_error 0.5967, utilization 0.1637, perplexity 467.4712,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 2.1468, rec_loss 0.1575, p_loss 0.6259, quant_error1 0.5941, quant_error 0.5909, utilization 0.1531, perplexity 443.7330,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 2.1074, rec_loss 0.1500, p_loss 0.6205, quant_error1 0.5845, quant_error 0.5806, utilization 0.1465, perplexity 427.3542,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 2.1060, rec_loss 0.1456, p_loss 0.6164, quant_error1 0.5900, quant_error 0.5855, utilization 0.1424, perplexity 417.6385,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 2.0927, rec_loss 0.1424, p_loss 0.6114, quant_error1 0.5891, quant_error 0.5838, utilization 0.1391, perplexity 409.7888,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 2.0850, rec_loss 0.1396, p_loss 0.6078, quant_error1 0.5896, quant_error 0.5839, utilization 0.1372, perplexity 404.3607,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 2.0446, rec_loss 0.1345, p_loss 0.6033, quant_error1 0.5767, quant_error 0.5708, utilization 0.1359, perplexity 399.9916,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 2.0350, rec_loss 0.1309, p_loss 0.5994, quant_error1 0.5776, quant_error 0.5707, utilization 0.1354, perplexity 398.9332,
Train Epoch: [1/2] Iters:[160/20018] transplant_loss 2.0022, rec_loss 0.1272, p_loss 0.5946, quant_error1 0.5674, quant_error 0.5599, utilization 0.1354, perplexity 398.5566,
Train Epoch: [1/2] Iters:[170/20018] transplant_loss 1.9802, rec_loss 0.1228, p_loss 0.5916, quant_error1 0.5620, quant_error 0.5545, utilization 0.1363, perplexity 400.1466,
Train Epoch: [1/2] Iters:[180/20018] transplant_loss 1.9556, rec_loss 0.1211, p_loss 0.5867, quant_error1 0.5538, quant_error 0.5460, utilization 0.1373, perplexity 403.0477,
