dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 32
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: vanilla_vq
use_multiscale: True
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/checkpoint/
data_pre: ImageNet
model_pre: model_4096_32_1
loss_pre: loss_1.0_1.0_0.0_0.2
training_pre: vanilla_vq_transplant_True
saver_name_pre: vanilla_vq_transplant_True_ImageNet_model_4096_32_1_loss_1.0_1.0_0.0_0.2
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant3/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 2.9391, rec_loss 0.3855, p_loss 0.7434, quant_error1 0.5880, quant_error 0.8389, utilization 0.4991, perplexity 945.0286,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 2.7756, rec_loss 0.3204, p_loss 0.7201, quant_error1 0.6188, quant_error 0.7977, utilization 0.4144, perplexity 763.7176,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 2.6464, rec_loss 0.2789, p_loss 0.7033, quant_error1 0.6248, quant_error 0.7619, utilization 0.3589, perplexity 659.0826,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 2.5591, rec_loss 0.2549, p_loss 0.6889, quant_error1 0.6254, quant_error 0.7358, utilization 0.3202, perplexity 589.2609,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 2.5021, rec_loss 0.2372, p_loss 0.6768, quant_error1 0.6304, quant_error 0.7208, utilization 0.2920, perplexity 540.4693,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 2.3473, rec_loss 0.1910, p_loss 0.6528, quant_error1 0.6351, quant_error 0.6766, utilization 0.2242, perplexity 414.8570,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 2.2483, rec_loss 0.1677, p_loss 0.6360, quant_error1 0.6277, quant_error 0.6477, utilization 0.1877, perplexity 358.1518,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 2.1924, rec_loss 0.1553, p_loss 0.6231, quant_error1 0.6230, quant_error 0.6330, utilization 0.1654, perplexity 325.3031,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 2.1528, rec_loss 0.1453, p_loss 0.6148, quant_error1 0.6202, quant_error 0.6237, utilization 0.1502, perplexity 304.5943,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 2.1144, rec_loss 0.1380, p_loss 0.6108, quant_error1 0.6111, quant_error 0.6121, utilization 0.1381, perplexity 289.8407,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 2.1154, rec_loss 0.1333, p_loss 0.6087, quant_error1 0.6179, quant_error 0.6168, utilization 0.1289, perplexity 280.3213,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 2.1013, rec_loss 0.1310, p_loss 0.6062, quant_error1 0.6145, quant_error 0.6122, utilization 0.1213, perplexity 273.6067,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 2.0979, rec_loss 0.1290, p_loss 0.6048, quant_error1 0.6163, quant_error 0.6116, utilization 0.1152, perplexity 269.2242,
