dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 8192
codebook_dim: 32
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.2
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: True
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/checkpoint/
data_pre: ImageNet
model_pre: model_8192_32_1
loss_pre: loss_1.0_1.0_0.2_0.2
training_pre: wasserstein_vq_transplant_True
saver_name_pre: wasserstein_vq_transplant_True_ImageNet_model_8192_32_1_loss_1.0_1.0_0.2_0.2
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant3/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 2.8410, rec_loss 0.2796, p_loss 0.6888, quant_error1 0.5457, quant_error 0.7604, utilization 0.5463, perplexity 2817.0775,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 2.5346, rec_loss 0.2021, p_loss 0.6346, quant_error1 0.5383, quant_error 0.6656, utilization 0.5953, perplexity 3135.6003,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 2.3167, rec_loss 0.1630, p_loss 0.5861, quant_error1 0.5157, quant_error 0.6057, utilization 0.6594, perplexity 3529.9711,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 2.1571, rec_loss 0.1406, p_loss 0.5442, quant_error1 0.4957, quant_error 0.5665, utilization 0.7231, perplexity 4059.1769,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 2.0419, rec_loss 0.1247, p_loss 0.5100, quant_error1 0.4829, quant_error 0.5421, utilization 0.7707, perplexity 4536.4381,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 1.7459, rec_loss 0.0786, p_loss 0.4361, quant_error1 0.4497, quant_error 0.4680, utilization 0.8565, perplexity 5289.2040,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 1.5514, rec_loss 0.0623, p_loss 0.3787, quant_error1 0.4158, quant_error 0.4278, utilization 0.9234, perplexity 5845.8302,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 1.4209, rec_loss 0.0539, p_loss 0.3363, quant_error1 0.3949, quant_error 0.4051, utilization 0.9616, perplexity 6135.3538,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 1.3262, rec_loss 0.0474, p_loss 0.3061, quant_error1 0.3798, quant_error 0.3886, utilization 0.9742, perplexity 6118.7067,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 1.2475, rec_loss 0.0429, p_loss 0.2836, quant_error1 0.3654, quant_error 0.3722, utilization 0.9778, perplexity 5971.4366,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 1.2246, rec_loss 0.0411, p_loss 0.2713, quant_error1 0.3670, quant_error 0.3720, utilization 0.9786, perplexity 5765.2722,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 1.2028, rec_loss 0.0397, p_loss 0.2601, quant_error1 0.3652, quant_error 0.3683, utilization 0.9785, perplexity 5568.3092,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 1.1903, rec_loss 0.0384, p_loss 0.2521, quant_error1 0.3654, quant_error 0.3657, utilization 0.9789, perplexity 5447.4759,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 1.1546, rec_loss 0.0364, p_loss 0.2431, quant_error1 0.3557, quant_error 0.3531, utilization 0.9791, perplexity 5239.4239,
