dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
max_patch_size: 16
codebook_size: 4096
codebook_dim: 32
z_channels: 256
factor: 16
sigma: 0.5
gamma_1: 0.2
gamma_2: 0.1
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_multiscale: True
fold_token: False
use_pq: False
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_4096_32_16
loss_pre: loss_0.2_0.1
training_pre: wasserstein_vq_substitution_1_True_False_False
saver_name_pre: wasserstein_vq_substitution_1_True_False_False_ImageNet_256_model_4096_32_16_loss_0.2_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.001000
Train Epoch: [1/1] Iters:[10/20018] vq_loss 1.5505, rec_loss 0.3016, wasserstein_loss 1.3873, quant_error 0.5521, codebook_utilization 0.9120, codebook_perplexity 2485.2175,
Train Epoch: [1/1] Iters:[20/20018] vq_loss 1.5112, rec_loss 0.2589, wasserstein_loss 1.2769, quant_error 0.5402, codebook_utilization 0.9149, codebook_perplexity 2746.2854,
Train Epoch: [1/1] Iters:[30/20018] vq_loss 1.4419, rec_loss 0.2200, wasserstein_loss 1.1458, quant_error 0.5168, codebook_utilization 0.9223, codebook_perplexity 2865.8794,
Train Epoch: [1/1] Iters:[40/20018] vq_loss 1.3727, rec_loss 0.1911, wasserstein_loss 1.0169, quant_error 0.4935, codebook_utilization 0.9380, codebook_perplexity 3001.9681,
Train Epoch: [1/1] Iters:[50/20018] vq_loss 1.3303, rec_loss 0.1703, wasserstein_loss 0.9062, quant_error 0.4807, codebook_utilization 0.9499, codebook_perplexity 3128.5736,
Train Epoch: [1/1] Iters:[60/20018] vq_loss 1.2329, rec_loss 0.1246, wasserstein_loss 0.6833, quant_error 0.4501, codebook_utilization 0.9674, codebook_perplexity 3346.4204,
Train Epoch: [1/1] Iters:[70/20018] vq_loss 1.1427, rec_loss 0.0954, wasserstein_loss 0.4765, quant_error 0.4222, codebook_utilization 0.9837, codebook_perplexity 3404.6030,
Train Epoch: [1/1] Iters:[80/20018] vq_loss 1.0834, rec_loss 0.0804, wasserstein_loss 0.3183, quant_error 0.4052, codebook_utilization 0.9961, codebook_perplexity 3387.1354,
Train Epoch: [1/1] Iters:[90/20018] vq_loss 1.0527, rec_loss 0.0726, wasserstein_loss 0.2132, quant_error 0.3975, codebook_utilization 0.9989, codebook_perplexity 3291.4644,
Train Epoch: [1/1] Iters:[100/20018] vq_loss 1.0234, rec_loss 0.0681, wasserstein_loss 0.1353, quant_error 0.3894, codebook_utilization 0.9992, codebook_perplexity 3160.4153,
Train Epoch: [1/1] Iters:[110/20018] vq_loss 1.0146, rec_loss 0.0661, wasserstein_loss 0.0920, quant_error 0.3884, codebook_utilization 0.9992, codebook_perplexity 3043.8528,
