dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 16
z_channels: 256
factor: 16
sigma: 0.8
gamma_1: 0.2
gamma_2: 0.1
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_multiscale: True
fold_token: False
use_pq: True
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_4096_16_16
loss_pre: loss_0.2_0.1
training_pre: wasserstein_vq_substitution_1_True_False_True
saver_name_pre: wasserstein_vq_substitution_1_True_False_True_ImageNet_256_model_4096_16_16_loss_0.2_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.001000
Train Epoch: [1/1] Iters:[10/20018] vq_loss 0.9158, rec_loss 0.3159, wasserstein_loss 1.6521, quant_error 0.5678, codebook_utilization 0.6617, codebook_perplexity 1618.8750,
Train Epoch: [1/1] Iters:[20/20018] vq_loss 0.8878, rec_loss 0.2469, wasserstein_loss 1.5558, quant_error 0.5411, codebook_utilization 0.6484, codebook_perplexity 1581.0761,
Train Epoch: [1/1] Iters:[30/20018] vq_loss 0.8473, rec_loss 0.2008, wasserstein_loss 1.4452, quant_error 0.5094, codebook_utilization 0.6757, codebook_perplexity 1600.3414,
Train Epoch: [1/1] Iters:[40/20018] vq_loss 0.8090, rec_loss 0.1706, wasserstein_loss 1.3413, quant_error 0.4813, codebook_utilization 0.7195, codebook_perplexity 1709.9922,
Train Epoch: [1/1] Iters:[50/20018] vq_loss 0.7840, rec_loss 0.1502, wasserstein_loss 1.2554, quant_error 0.4640, codebook_utilization 0.7555, codebook_perplexity 1859.1406,
Train Epoch: [1/1] Iters:[60/20018] vq_loss 0.7255, rec_loss 0.0981, wasserstein_loss 1.0747, quant_error 0.4219, codebook_utilization 0.8089, codebook_perplexity 2079.5704,
Train Epoch: [1/1] Iters:[70/20018] vq_loss 0.6709, rec_loss 0.0724, wasserstein_loss 0.9048, quant_error 0.3872, codebook_utilization 0.8715, codebook_perplexity 2310.4001,
Train Epoch: [1/1] Iters:[80/20018] vq_loss 0.6303, rec_loss 0.0597, wasserstein_loss 0.7588, quant_error 0.3642, codebook_utilization 0.9177, codebook_perplexity 2469.9613,
Train Epoch: [1/1] Iters:[90/20018] vq_loss 0.5988, rec_loss 0.0518, wasserstein_loss 0.6291, quant_error 0.3485, codebook_utilization 0.9414, codebook_perplexity 2489.4183,
Train Epoch: [1/1] Iters:[100/20018] vq_loss 0.5658, rec_loss 0.0459, wasserstein_loss 0.5049, quant_error 0.3321, codebook_utilization 0.9571, codebook_perplexity 2377.2108,
Train Epoch: [1/1] Iters:[110/20018] vq_loss 0.5424, rec_loss 0.0420, wasserstein_loss 0.3965, quant_error 0.3228, codebook_utilization 0.9683, codebook_perplexity 2180.6862,
Train Epoch: [1/1] Iters:[120/20018] vq_loss 0.5184, rec_loss 0.0388, wasserstein_loss 0.2989, quant_error 0.3128, codebook_utilization 0.9765, codebook_perplexity 1953.5195,
Train Epoch: [1/1] Iters:[130/20018] vq_loss 0.5023, rec_loss 0.0372, wasserstein_loss 0.2132, quant_error 0.3085, codebook_utilization 0.9829, codebook_perplexity 1783.1849,
Train Epoch: [1/1] Iters:[140/20018] vq_loss 0.4830, rec_loss 0.0353, wasserstein_loss 0.1532, quant_error 0.2989, codebook_utilization 0.9875, codebook_perplexity 1636.1734,
Train Epoch: [1/1] Iters:[150/20018] vq_loss 0.4738, rec_loss 0.0347, wasserstein_loss 0.1065, quant_error 0.2970, codebook_utilization 0.9910, codebook_perplexity 1554.1316,
Train Epoch: [1/1] Iters:[160/20018] vq_loss 0.4636, rec_loss 0.0344, wasserstein_loss 0.0749, quant_error 0.2926, codebook_utilization 0.9929, codebook_perplexity 1459.8403,
Train Epoch: [1/1] Iters:[170/20018] vq_loss 0.4606, rec_loss 0.0346, wasserstein_loss 0.0603, quant_error 0.2919, codebook_utilization 0.9938, codebook_perplexity 1379.0526,
Train Epoch: [1/1] Iters:[180/20018] vq_loss 0.4564, rec_loss 0.0344, wasserstein_loss 0.0546, quant_error 0.2893, codebook_utilization 0.9944, codebook_perplexity 1289.1340,
Train Epoch: [1/1] Iters:[190/20018] vq_loss 0.4590, rec_loss 0.0346, wasserstein_loss 0.0493, quant_error 0.2921, codebook_utilization 0.9950, codebook_perplexity 1195.7272,
Train Epoch: [1/1] Iters:[200/20018] vq_loss 0.4582, rec_loss 0.0344, wasserstein_loss 0.0467, quant_error 0.2915, codebook_utilization 0.9952, codebook_perplexity 1078.0056,
Train Epoch: [1/1] Iters:[210/20018] vq_loss 0.4576, rec_loss 0.0346, wasserstein_loss 0.0467, quant_error 0.2909, codebook_utilization 0.9956, codebook_perplexity 978.2436,
Train Epoch: [1/1] Iters:[220/20018] vq_loss 0.4610, rec_loss 0.0347, wasserstein_loss 0.0475, quant_error 0.2931, codebook_utilization 0.9961, codebook_perplexity 893.3842,
Train Epoch: [1/1] Iters:[230/20018] vq_loss 0.4629, rec_loss 0.0347, wasserstein_loss 0.0484, quant_error 0.2938, codebook_utilization 0.9962, codebook_perplexity 793.7532,
Train Epoch: [1/1] Iters:[240/20018] vq_loss 0.4644, rec_loss 0.0352, wasserstein_loss 0.0466, quant_error 0.2949, codebook_utilization 0.9965, codebook_perplexity 725.5240,
Train Epoch: [1/1] Iters:[250/20018] vq_loss 0.4627, rec_loss 0.0349, wasserstein_loss 0.0477, quant_error 0.2931, codebook_utilization 0.9967, codebook_perplexity 669.3413,
Train Epoch: [1/1] Iters:[260/20018] vq_loss 0.4601, rec_loss 0.0347, wasserstein_loss 0.0449, quant_error 0.2912, codebook_utilization 0.9970, codebook_perplexity 631.1576,
Train Epoch: [1/1] Iters:[270/20018] vq_loss 0.4541, rec_loss 0.0343, wasserstein_loss 0.0430, quant_error 0.2869, codebook_utilization 0.9972, codebook_perplexity 597.2409,
Train Epoch: [1/1] Iters:[280/20018] vq_loss 0.4497, rec_loss 0.0339, wasserstein_loss 0.0431, quant_error 0.2835, codebook_utilization 0.9973, codebook_perplexity 586.5634,
Train Epoch: [1/1] Iters:[290/20018] vq_loss 0.4512, rec_loss 0.0338, wasserstein_loss 0.0438, quant_error 0.2844, codebook_utilization 0.9975, codebook_perplexity 576.5481,
Train Epoch: [1/1] Iters:[300/20018] vq_loss 0.4498, rec_loss 0.0338, wasserstein_loss 0.0424, quant_error 0.2830, codebook_utilization 0.9975, codebook_perplexity 551.5168,
Train Epoch: [1/1] Iters:[310/20018] vq_loss 0.4529, rec_loss 0.0337, wasserstein_loss 0.0423, quant_error 0.2850, codebook_utilization 0.9977, codebook_perplexity 541.8663,
Train Epoch: [1/1] Iters:[320/20018] vq_loss 0.4564, rec_loss 0.0341, wasserstein_loss 0.0410, quant_error 0.2869, codebook_utilization 0.9978, codebook_perplexity 532.3333,
Train Epoch: [1/1] Iters:[330/20018] vq_loss 0.4606, rec_loss 0.0342, wasserstein_loss 0.0389, quant_error 0.2894, codebook_utilization 0.9979, codebook_perplexity 518.8441,
Train Epoch: [1/1] Iters:[340/20018] vq_loss 0.4573, rec_loss 0.0337, wasserstein_loss 0.0412, quant_error 0.2863, codebook_utilization 0.9979, codebook_perplexity 498.3707,
Train Epoch: [1/1] Iters:[350/20018] vq_loss 0.4563, rec_loss 0.0335, wasserstein_loss 0.0410, quant_error 0.2853, codebook_utilization 0.9981, codebook_perplexity 498.1249,
Train Epoch: [1/1] Iters:[360/20018] vq_loss 0.4561, rec_loss 0.0335, wasserstein_loss 0.0417, quant_error 0.2844, codebook_utilization 0.9981, codebook_perplexity 494.4569,
