dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
max_patch_size: 16
codebook_size: 16384
codebook_dim: 16
z_channels: 256
factor: 16
sigma: 0.8
gamma_1: 0.2
gamma_2: 0.1
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_multiscale: False
fold_token: False
use_pq: True
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_16384_16_16
loss_pre: loss_0.2_0.1
training_pre: wasserstein_vq_substitution_1_False_False_True
saver_name_pre: wasserstein_vq_substitution_1_False_False_True_ImageNet_256_model_16384_16_16_loss_0.2_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.005000
Train Epoch: [1/1] Iters:[10/20018] vq_loss 0.9966, rec_loss 0.3013, wasserstein_loss 2.1200, quant_error 0.5686, codebook_utilization 0.3836, codebook_perplexity 4186.2675,
Train Epoch: [1/1] Iters:[20/20018] vq_loss 1.0018, rec_loss 0.2939, wasserstein_loss 2.1790, quant_error 0.5615, codebook_utilization 0.4406, codebook_perplexity 5308.3351,
Train Epoch: [1/1] Iters:[30/20018] vq_loss 0.9746, rec_loss 0.2827, wasserstein_loss 2.1423, quant_error 0.5417, codebook_utilization 0.4500, codebook_perplexity 5580.2342,
Train Epoch: [1/1] Iters:[40/20018] vq_loss 0.9394, rec_loss 0.2751, wasserstein_loss 2.0763, quant_error 0.5195, codebook_utilization 0.4513, codebook_perplexity 5672.9814,
Train Epoch: [1/1] Iters:[50/20018] vq_loss 0.9137, rec_loss 0.2663, wasserstein_loss 2.0193, quant_error 0.5052, codebook_utilization 0.4525, codebook_perplexity 5742.3928,
Train Epoch: [1/1] Iters:[60/20018] vq_loss 0.8597, rec_loss 0.2481, wasserstein_loss 1.9170, quant_error 0.4714, codebook_utilization 0.4715, codebook_perplexity 6173.5705,
Train Epoch: [1/1] Iters:[70/20018] vq_loss 0.7928, rec_loss 0.2270, wasserstein_loss 1.7597, quant_error 0.4358, codebook_utilization 0.4738, codebook_perplexity 6261.0544,
Train Epoch: [1/1] Iters:[80/20018] vq_loss 0.7339, rec_loss 0.2043, wasserstein_loss 1.6097, quant_error 0.4067, codebook_utilization 0.4877, codebook_perplexity 6511.0108,
Train Epoch: [1/1] Iters:[90/20018] vq_loss 0.6814, rec_loss 0.1767, wasserstein_loss 1.4641, quant_error 0.3831, codebook_utilization 0.5092, codebook_perplexity 6881.3136,
Train Epoch: [1/1] Iters:[100/20018] vq_loss 0.6260, rec_loss 0.1486, wasserstein_loss 1.3111, quant_error 0.3582, codebook_utilization 0.5342, codebook_perplexity 7312.9932,
Train Epoch: [1/1] Iters:[110/20018] vq_loss 0.5809, rec_loss 0.1219, wasserstein_loss 1.1696, quant_error 0.3414, codebook_utilization 0.5571, codebook_perplexity 7705.2754,
Train Epoch: [1/1] Iters:[120/20018] vq_loss 0.5342, rec_loss 0.0995, wasserstein_loss 1.0224, quant_error 0.3238, codebook_utilization 0.5748, codebook_perplexity 7988.1331,
Train Epoch: [1/1] Iters:[130/20018] vq_loss 0.4950, rec_loss 0.0835, wasserstein_loss 0.8871, quant_error 0.3116, codebook_utilization 0.5867, codebook_perplexity 8142.0626,
Train Epoch: [1/1] Iters:[140/20018] vq_loss 0.4496, rec_loss 0.0724, wasserstein_loss 0.7379, quant_error 0.2957, codebook_utilization 0.5921, codebook_perplexity 8154.8578,
Train Epoch: [1/1] Iters:[150/20018] vq_loss 0.4139, rec_loss 0.0666, wasserstein_loss 0.6024, quant_error 0.2866, codebook_utilization 0.5921, codebook_perplexity 8037.1481,
Train Epoch: [1/1] Iters:[160/20018] vq_loss 0.3771, rec_loss 0.0629, wasserstein_loss 0.4655, quant_error 0.2763, codebook_utilization 0.5875, codebook_perplexity 7818.6382,
Train Epoch: [1/1] Iters:[170/20018] vq_loss 0.3467, rec_loss 0.0603, wasserstein_loss 0.3417, quant_error 0.2701, codebook_utilization 0.5791, codebook_perplexity 7516.5387,
Train Epoch: [1/1] Iters:[180/20018] vq_loss 0.3166, rec_loss 0.0582, wasserstein_loss 0.2254, quant_error 0.2631, codebook_utilization 0.5696, codebook_perplexity 7207.9530,
Train Epoch: [1/1] Iters:[190/20018] vq_loss 0.3025, rec_loss 0.0573, wasserstein_loss 0.1601, quant_error 0.2631, codebook_utilization 0.5605, codebook_perplexity 6931.7127,
Train Epoch: [1/1] Iters:[200/20018] vq_loss 0.2868, rec_loss 0.0557, wasserstein_loss 0.1037, quant_error 0.2600, codebook_utilization 0.5545, codebook_perplexity 6765.2673,
Train Epoch: [1/1] Iters:[210/20018] vq_loss 0.2769, rec_loss 0.0546, wasserstein_loss 0.0748, quant_error 0.2580, codebook_utilization 0.5507, codebook_perplexity 6645.8847,
Train Epoch: [1/1] Iters:[220/20018] vq_loss 0.2744, rec_loss 0.0538, wasserstein_loss 0.0700, quant_error 0.2584, codebook_utilization 0.5513, codebook_perplexity 6679.3692,
Train Epoch: [1/1] Iters:[230/20018] vq_loss 0.2737, rec_loss 0.0533, wasserstein_loss 0.0708, quant_error 0.2589, codebook_utilization 0.5521, codebook_perplexity 6709.6230,
Train Epoch: [1/1] Iters:[240/20018] vq_loss 0.2719, rec_loss 0.0528, wasserstein_loss 0.0718, quant_error 0.2575, codebook_utilization 0.5534, codebook_perplexity 6762.9110,
Train Epoch: [1/1] Iters:[250/20018] vq_loss 0.2702, rec_loss 0.0523, wasserstein_loss 0.0741, quant_error 0.2558, codebook_utilization 0.5537, codebook_perplexity 6776.1889,
Train Epoch: [1/1] Iters:[260/20018] vq_loss 0.2687, rec_loss 0.0515, wasserstein_loss 0.0739, quant_error 0.2538, codebook_utilization 0.5538, codebook_perplexity 6807.0180,
Train Epoch: [1/1] Iters:[270/20018] vq_loss 0.2653, rec_loss 0.0508, wasserstein_loss 0.0710, quant_error 0.2508, codebook_utilization 0.5530, codebook_perplexity 6797.2076,
Train Epoch: [1/1] Iters:[280/20018] vq_loss 0.2626, rec_loss 0.0501, wasserstein_loss 0.0717, quant_error 0.2479, codebook_utilization 0.5547, codebook_perplexity 6856.7024,
Train Epoch: [1/1] Iters:[290/20018] vq_loss 0.2640, rec_loss 0.0500, wasserstein_loss 0.0714, quant_error 0.2492, codebook_utilization 0.5571, codebook_perplexity 6921.9473,
Train Epoch: [1/1] Iters:[300/20018] vq_loss 0.2635, rec_loss 0.0496, wasserstein_loss 0.0708, quant_error 0.2486, codebook_utilization 0.5575, codebook_perplexity 6952.4687,
Train Epoch: [1/1] Iters:[310/20018] vq_loss 0.2641, rec_loss 0.0497, wasserstein_loss 0.0704, quant_error 0.2498, codebook_utilization 0.5591, codebook_perplexity 7012.7210,
Train Epoch: [1/1] Iters:[320/20018] vq_loss 0.2650, rec_loss 0.0500, wasserstein_loss 0.0706, quant_error 0.2507, codebook_utilization 0.5604, codebook_perplexity 7074.6196,
Train Epoch: [1/1] Iters:[330/20018] vq_loss 0.2666, rec_loss 0.0505, wasserstein_loss 0.0712, quant_error 0.2523, codebook_utilization 0.5625, codebook_perplexity 7162.2853,
Train Epoch: [1/1] Iters:[340/20018] vq_loss 0.2646, rec_loss 0.0500, wasserstein_loss 0.0731, quant_error 0.2499, codebook_utilization 0.5608, codebook_perplexity 7141.8720,
Train Epoch: [1/1] Iters:[350/20018] vq_loss 0.2635, rec_loss 0.0497, wasserstein_loss 0.0729, quant_error 0.2488, codebook_utilization 0.5623, codebook_perplexity 7197.1044,
Train Epoch: [1/1] Iters:[360/20018] vq_loss 0.2639, rec_loss 0.0497, wasserstein_loss 0.0752, quant_error 0.2489, codebook_utilization 0.5651, codebook_perplexity 7285.5049,
Train Epoch: [1/1] Iters:[370/20018] vq_loss 0.2648, rec_loss 0.0493, wasserstein_loss 0.0773, quant_error 0.2490, codebook_utilization 0.5665, codebook_perplexity 7329.1105,
Train Epoch: [1/1] Iters:[380/20018] vq_loss 0.2657, rec_loss 0.0496, wasserstein_loss 0.0798, quant_error 0.2496, codebook_utilization 0.5665, codebook_perplexity 7341.8316,
Train Epoch: [1/1] Iters:[390/20018] vq_loss 0.2665, rec_loss 0.0497, wasserstein_loss 0.0776, quant_error 0.2506, codebook_utilization 0.5685, codebook_perplexity 7400.9942,
Train Epoch: [1/1] Iters:[400/20018] vq_loss 0.2667, rec_loss 0.0500, wasserstein_loss 0.0768, quant_error 0.2509, codebook_utilization 0.5692, codebook_perplexity 7417.6816,
Train Epoch: [1/1] Iters:[410/20018] vq_loss 0.2680, rec_loss 0.0501, wasserstein_loss 0.0767, quant_error 0.2520, codebook_utilization 0.5695, codebook_perplexity 7445.8204,
Train Epoch: [1/1] Iters:[420/20018] vq_loss 0.2662, rec_loss 0.0497, wasserstein_loss 0.0807, quant_error 0.2497, codebook_utilization 0.5689, codebook_perplexity 7446.3956,
Train Epoch: [1/1] Iters:[430/20018] vq_loss 0.2643, rec_loss 0.0487, wasserstein_loss 0.0782, quant_error 0.2481, codebook_utilization 0.5685, codebook_perplexity 7439.7360,
Train Epoch: [1/1] Iters:[440/20018] vq_loss 0.2640, rec_loss 0.0483, wasserstein_loss 0.0780, quant_error 0.2477, codebook_utilization 0.5703, codebook_perplexity 7509.9048,
Train Epoch: [1/1] Iters:[450/20018] vq_loss 0.2646, rec_loss 0.0481, wasserstein_loss 0.0771, quant_error 0.2485, codebook_utilization 0.5720, codebook_perplexity 7568.5295,
Train Epoch: [1/1] Iters:[460/20018] vq_loss 0.2619, rec_loss 0.0481, wasserstein_loss 0.0791, quant_error 0.2457, codebook_utilization 0.5711, codebook_perplexity 7547.3993,
Train Epoch: [1/1] Iters:[470/20018] vq_loss 0.2624, rec_loss 0.0482, wasserstein_loss 0.0761, quant_error 0.2466, codebook_utilization 0.5736, codebook_perplexity 7613.2215,
Train Epoch: [1/1] Iters:[480/20018] vq_loss 0.2630, rec_loss 0.0484, wasserstein_loss 0.0782, quant_error 0.2466, codebook_utilization 0.5762, codebook_perplexity 7692.8268,
Train Epoch: [1/1] Iters:[490/20018] vq_loss 0.2615, rec_loss 0.0481, wasserstein_loss 0.0800, quant_error 0.2451, codebook_utilization 0.5756, codebook_perplexity 7666.3112,
