dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 32
z_channels: 256
factor: 16
sigma: 0.5
gamma_1: 0.2
gamma_2: 0.2
lambd: 0.2
VQ: vanilla_vq
resume: False
use_multiscale: True
use_pq: False
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
iterations: 1000
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
data_pre: ImageNet_256
model_pre: model_4096_32_16
loss_pre: loss_empty
training_pre: vanilla_vq_substitution_1_True
saver_name_pre: vanilla_vq_substitution_1_True_ImageNet_256_model_4096_32_16_loss_empty
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.001000
Train Epoch: [1/1] Iters:[10/20018] vq_loss 0.5836, rec_loss 0.2592, quant_error 0.5709, codebook_utilization 0.6477, codebook_perplexity 1572.6779,
Train Epoch: [1/1] Iters:[20/20018] vq_loss 0.5808, rec_loss 0.2188, quant_error 0.5558, codebook_utilization 0.5593, codebook_perplexity 1381.5776,
Train Epoch: [1/1] Iters:[30/20018] vq_loss 0.5683, rec_loss 0.1875, quant_error 0.5339, codebook_utilization 0.5228, codebook_perplexity 1319.4113,
Train Epoch: [1/1] Iters:[40/20018] vq_loss 0.5551, rec_loss 0.1663, quant_error 0.5130, codebook_utilization 0.5194, codebook_perplexity 1329.8592,
Train Epoch: [1/1] Iters:[50/20018] vq_loss 0.5502, rec_loss 0.1521, quant_error 0.5014, codebook_utilization 0.5285, codebook_perplexity 1381.4608,
Train Epoch: [1/1] Iters:[60/20018] vq_loss 0.5353, rec_loss 0.1174, quant_error 0.4726, codebook_utilization 0.5251, codebook_perplexity 1445.6446,
Train Epoch: [1/1] Iters:[70/20018] vq_loss 0.5202, rec_loss 0.0984, quant_error 0.4475, codebook_utilization 0.5657, codebook_perplexity 1642.1369,
Train Epoch: [1/1] Iters:[80/20018] vq_loss 0.5122, rec_loss 0.0896, quant_error 0.4319, codebook_utilization 0.6190, codebook_perplexity 1891.4529,
Train Epoch: [1/1] Iters:[90/20018] vq_loss 0.5090, rec_loss 0.0847, quant_error 0.4228, codebook_utilization 0.6667, codebook_perplexity 2148.7213,
Train Epoch: [1/1] Iters:[100/20018] vq_loss 0.5034, rec_loss 0.0805, quant_error 0.4126, codebook_utilization 0.7073, codebook_perplexity 2391.3289,
Train Epoch: [1/1] Iters:[110/20018] vq_loss 0.5037, rec_loss 0.0776, quant_error 0.4088, codebook_utilization 0.7371, codebook_perplexity 2587.5961,
Train Epoch: [1/1] Iters:[120/20018] vq_loss 0.5005, rec_loss 0.0744, quant_error 0.4025, codebook_utilization 0.7595, codebook_perplexity 2722.8429,
Train Epoch: [1/1] Iters:[130/20018] vq_loss 0.5003, rec_loss 0.0720, quant_error 0.3993, codebook_utilization 0.7737, codebook_perplexity 2781.2503,
Train Epoch: [1/1] Iters:[140/20018] vq_loss 0.4917, rec_loss 0.0684, quant_error 0.3891, codebook_utilization 0.7822, codebook_perplexity 2746.9996,
Train Epoch: [1/1] Iters:[150/20018] vq_loss 0.4910, rec_loss 0.0662, quant_error 0.3860, codebook_utilization 0.7869, codebook_perplexity 2638.2367,
Train Epoch: [1/1] Iters:[160/20018] vq_loss 0.4843, rec_loss 0.0643, quant_error 0.3780, codebook_utilization 0.7894, codebook_perplexity 2456.7109,
Train Epoch: [1/1] Iters:[170/20018] vq_loss 0.4826, rec_loss 0.0628, quant_error 0.3745, codebook_utilization 0.7912, codebook_perplexity 2227.4877,
Train Epoch: [1/1] Iters:[180/20018] vq_loss 0.4785, rec_loss 0.0611, quant_error 0.3690, codebook_utilization 0.7930, codebook_perplexity 1983.7306,
Train Epoch: [1/1] Iters:[190/20018] vq_loss 0.4830, rec_loss 0.0610, quant_error 0.3711, codebook_utilization 0.7946, codebook_perplexity 1755.0381,
Train Epoch: [1/1] Iters:[200/20018] vq_loss 0.4824, rec_loss 0.0604, quant_error 0.3688, codebook_utilization 0.7961, codebook_perplexity 1545.8802,
Train Epoch: [1/1] Iters:[210/20018] vq_loss 0.4827, rec_loss 0.0603, quant_error 0.3678, codebook_utilization 0.7976, codebook_perplexity 1361.0372,
Train Epoch: [1/1] Iters:[220/20018] vq_loss 0.4870, rec_loss 0.0606, quant_error 0.3698, codebook_utilization 0.7991, codebook_perplexity 1217.8414,
Train Epoch: [1/1] Iters:[230/20018] vq_loss 0.4911, rec_loss 0.0606, quant_error 0.3720, codebook_utilization 0.8003, codebook_perplexity 1091.1309,
Train Epoch: [1/1] Iters:[240/20018] vq_loss 0.4926, rec_loss 0.0612, quant_error 0.3723, codebook_utilization 0.8010, codebook_perplexity 981.5817,
Train Epoch: [1/1] Iters:[250/20018] vq_loss 0.4909, rec_loss 0.0614, quant_error 0.3699, codebook_utilization 0.8011, codebook_perplexity 881.7376,
Train Epoch: [1/1] Iters:[260/20018] vq_loss 0.4890, rec_loss 0.0615, quant_error 0.3677, codebook_utilization 0.8003, codebook_perplexity 799.3595,
Train Epoch: [1/1] Iters:[270/20018] vq_loss 0.4838, rec_loss 0.0615, quant_error 0.3630, codebook_utilization 0.7986, codebook_perplexity 720.4861,
Train Epoch: [1/1] Iters:[280/20018] vq_loss 0.4798, rec_loss 0.0615, quant_error 0.3591, codebook_utilization 0.7970, codebook_perplexity 660.4686,
Train Epoch: [1/1] Iters:[290/20018] vq_loss 0.4834, rec_loss 0.0619, quant_error 0.3614, codebook_utilization 0.7963, codebook_perplexity 618.2252,
Train Epoch: [1/1] Iters:[300/20018] vq_loss 0.4845, rec_loss 0.0620, quant_error 0.3617, codebook_utilization 0.7950, codebook_perplexity 589.9099,
Train Epoch: [1/1] Iters:[310/20018] vq_loss 0.4893, rec_loss 0.0621, quant_error 0.3650, codebook_utilization 0.7940, codebook_perplexity 577.0926,
Train Epoch: [1/1] Iters:[320/20018] vq_loss 0.4934, rec_loss 0.0626, quant_error 0.3675, codebook_utilization 0.7925, codebook_perplexity 566.3683,
Train Epoch: [1/1] Iters:[330/20018] vq_loss 0.4982, rec_loss 0.0627, quant_error 0.3707, codebook_utilization 0.7910, codebook_perplexity 555.9396,
Train Epoch: [1/1] Iters:[340/20018] vq_loss 0.4934, rec_loss 0.0621, quant_error 0.3665, codebook_utilization 0.7862, codebook_perplexity 537.6683,
Train Epoch: [1/1] Iters:[350/20018] vq_loss 0.4926, rec_loss 0.0616, quant_error 0.3654, codebook_utilization 0.7825, codebook_perplexity 521.3004,
Train Epoch: [1/1] Iters:[360/20018] vq_loss 0.4918, rec_loss 0.0618, quant_error 0.3641, codebook_utilization 0.7782, codebook_perplexity 502.7885,
Train Epoch: [1/1] Iters:[370/20018] vq_loss 0.4924, rec_loss 0.0608, quant_error 0.3641, codebook_utilization 0.7742, codebook_perplexity 488.9070,
Train Epoch: [1/1] Iters:[380/20018] vq_loss 0.4940, rec_loss 0.0617, quant_error 0.3650, codebook_utilization 0.7710, codebook_perplexity 478.5609,
Train Epoch: [1/1] Iters:[390/20018] vq_loss 0.4960, rec_loss 0.0620, quant_error 0.3661, codebook_utilization 0.7670, codebook_perplexity 472.2400,
Train Epoch: [1/1] Iters:[400/20018] vq_loss 0.4970, rec_loss 0.0624, quant_error 0.3666, codebook_utilization 0.7625, codebook_perplexity 461.4502,
Train Epoch: [1/1] Iters:[410/20018] vq_loss 0.4994, rec_loss 0.0621, quant_error 0.3683, codebook_utilization 0.7580, codebook_perplexity 452.7496,
Train Epoch: [1/1] Iters:[420/20018] vq_loss 0.4953, rec_loss 0.0620, quant_error 0.3651, codebook_utilization 0.7499, codebook_perplexity 438.9353,
Train Epoch: [1/1] Iters:[430/20018] vq_loss 0.4927, rec_loss 0.0609, quant_error 0.3630, codebook_utilization 0.7427, codebook_perplexity 428.6124,
Train Epoch: [1/1] Iters:[440/20018] vq_loss 0.4933, rec_loss 0.0610, quant_error 0.3634, codebook_utilization 0.7367, codebook_perplexity 420.8587,
Train Epoch: [1/1] Iters:[450/20018] vq_loss 0.4955, rec_loss 0.0606, quant_error 0.3649, codebook_utilization 0.7313, codebook_perplexity 414.7029,
Train Epoch: [1/1] Iters:[460/20018] vq_loss 0.4924, rec_loss 0.0609, quant_error 0.3624, codebook_utilization 0.7233, codebook_perplexity 404.4536,
Train Epoch: [1/1] Iters:[470/20018] vq_loss 0.4953, rec_loss 0.0609, quant_error 0.3644, codebook_utilization 0.7183, codebook_perplexity 401.2245,
Train Epoch: [1/1] Iters:[480/20018] vq_loss 0.4968, rec_loss 0.0611, quant_error 0.3654, codebook_utilization 0.7131, codebook_perplexity 397.7081,
Train Epoch: [1/1] Iters:[490/20018] vq_loss 0.4950, rec_loss 0.0606, quant_error 0.3641, codebook_utilization 0.7048, codebook_perplexity 393.8458,
Train Epoch: [1/1] Iters:[500/20018] vq_loss 0.4926, rec_loss 0.0608, quant_error 0.3623, codebook_utilization 0.6965, codebook_perplexity 393.8731,
