dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
max_patch_size: 16
codebook_size: 4096
codebook_dim: 16
z_channels: 256
factor: 16
sigma: 0.8
gamma_1: 0.5
gamma_2: 0.1
lambd: 0.2
VQ: vanilla_vq
resume: False
use_multiscale: True
fold_token: False
use_pq: True
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_4096_16_16
loss_pre: loss_0.5_0.1
training_pre: vanilla_vq_substitution_1_True_False_True
saver_name_pre: vanilla_vq_substitution_1_True_False_True_ImageNet_256_model_4096_16_16_loss_0.5_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.001000
Train Epoch: [1/1] Iters:[10/20018] vq_loss 0.5846, rec_loss 0.2617, quant_error 0.5647, codebook_utilization 0.4202, codebook_perplexity 993.1581,
Train Epoch: [1/1] Iters:[20/20018] vq_loss 0.5866, rec_loss 0.2234, quant_error 0.5443, codebook_utilization 0.3465, codebook_perplexity 846.0167,
Train Epoch: [1/1] Iters:[30/20018] vq_loss 0.5753, rec_loss 0.1893, quant_error 0.5158, codebook_utilization 0.3260, codebook_perplexity 799.7131,
Train Epoch: [1/1] Iters:[40/20018] vq_loss 0.5625, rec_loss 0.1647, quant_error 0.4894, codebook_utilization 0.3332, codebook_perplexity 805.7122,
Train Epoch: [1/1] Iters:[50/20018] vq_loss 0.5587, rec_loss 0.1475, quant_error 0.4735, codebook_utilization 0.3427, codebook_perplexity 833.1859,
Train Epoch: [1/1] Iters:[60/20018] vq_loss 0.5460, rec_loss 0.1084, quant_error 0.4362, codebook_utilization 0.3423, codebook_perplexity 859.4628,
Train Epoch: [1/1] Iters:[70/20018] vq_loss 0.5310, rec_loss 0.0836, quant_error 0.4039, codebook_utilization 0.3782, codebook_perplexity 979.0784,
Train Epoch: [1/1] Iters:[80/20018] vq_loss 0.5236, rec_loss 0.0709, quant_error 0.3836, codebook_utilization 0.4178, codebook_perplexity 1132.2797,
Train Epoch: [1/1] Iters:[90/20018] vq_loss 0.5213, rec_loss 0.0635, quant_error 0.3713, codebook_utilization 0.4487, codebook_perplexity 1293.4710,
Train Epoch: [1/1] Iters:[100/20018] vq_loss 0.5162, rec_loss 0.0580, quant_error 0.3587, codebook_utilization 0.4787, codebook_perplexity 1458.4755,
Train Epoch: [1/1] Iters:[110/20018] vq_loss 0.5173, rec_loss 0.0543, quant_error 0.3529, codebook_utilization 0.5057, codebook_perplexity 1610.2261,
Train Epoch: [1/1] Iters:[120/20018] vq_loss 0.5151, rec_loss 0.0509, quant_error 0.3455, codebook_utilization 0.5300, codebook_perplexity 1749.2580,
