dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 16
z_channels: 256
factor: 16
sigma: 0.8
gamma_1: 0.2
gamma_2: 0.1
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_multiscale: True
use_pq: True
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
iterations: 1000
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
data_pre: ImageNet_256
model_pre: model_4096_16_16
loss_pre: loss_0.2_0.1
training_pre: wasserstein_vq_substitution_1_True_1000
saver_name_pre: wasserstein_vq_substitution_1_True_1000_ImageNet_256_model_4096_16_16_loss_0.2_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.001000
Train Epoch: [1/1] Iters:[10/20018] vq_loss 0.9158, rec_loss 0.3158, wasserstein_loss 1.6521, quant_error 0.5678, codebook_utilization 0.6615, codebook_perplexity 1618.7739,
Train Epoch: [1/1] Iters:[20/20018] vq_loss 0.8878, rec_loss 0.2468, wasserstein_loss 1.5558, quant_error 0.5411, codebook_utilization 0.6479, codebook_perplexity 1579.8791,
Train Epoch: [1/1] Iters:[30/20018] vq_loss 0.8473, rec_loss 0.2006, wasserstein_loss 1.4452, quant_error 0.5094, codebook_utilization 0.6750, codebook_perplexity 1598.8050,
Train Epoch: [1/1] Iters:[40/20018] vq_loss 0.8090, rec_loss 0.1705, wasserstein_loss 1.3414, quant_error 0.4813, codebook_utilization 0.7189, codebook_perplexity 1708.6348,
Train Epoch: [1/1] Iters:[50/20018] vq_loss 0.7840, rec_loss 0.1501, wasserstein_loss 1.2556, quant_error 0.4640, codebook_utilization 0.7555, codebook_perplexity 1858.1218,
Train Epoch: [1/1] Iters:[60/20018] vq_loss 0.7255, rec_loss 0.0980, wasserstein_loss 1.0750, quant_error 0.4219, codebook_utilization 0.8091, codebook_perplexity 2078.6164,
Train Epoch: [1/1] Iters:[70/20018] vq_loss 0.6710, rec_loss 0.0723, wasserstein_loss 0.9053, quant_error 0.3872, codebook_utilization 0.8720, codebook_perplexity 2308.4249,
Train Epoch: [1/1] Iters:[80/20018] vq_loss 0.6304, rec_loss 0.0596, wasserstein_loss 0.7593, quant_error 0.3643, codebook_utilization 0.9182, codebook_perplexity 2467.3518,
Train Epoch: [1/1] Iters:[90/20018] vq_loss 0.5988, rec_loss 0.0518, wasserstein_loss 0.6297, quant_error 0.3485, codebook_utilization 0.9420, codebook_perplexity 2487.9098,
Train Epoch: [1/1] Iters:[100/20018] vq_loss 0.5659, rec_loss 0.0460, wasserstein_loss 0.5054, quant_error 0.3321, codebook_utilization 0.9573, codebook_perplexity 2375.5610,
Train Epoch: [1/1] Iters:[110/20018] vq_loss 0.5425, rec_loss 0.0420, wasserstein_loss 0.3969, quant_error 0.3228, codebook_utilization 0.9685, codebook_perplexity 2176.8693,
