dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
max_patch_size: 16
codebook_size: 16384
codebook_dim: 32
z_channels: 256
factor: 16
sigma: 0.5
gamma_1: 0.2
gamma_2: 0.1
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_multiscale: True
fold_token: False
use_pq: False
epochs: 2
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_16384_32_16
loss_pre: loss_0.2_0.1
training_pre: wasserstein_vq_substitution_2_True_False_False
saver_name_pre: wasserstein_vq_substitution_2_True_False_False_ImageNet_256_model_16384_32_16_loss_0.2_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.001000
Train Epoch: [1/2] Iters:[10/20018] vq_loss 1.4643, rec_loss 0.1978, wasserstein_loss 1.2261, quant_error 0.5235, codebook_utilization 0.6877, codebook_perplexity 7921.6502,
Train Epoch: [1/2] Iters:[20/20018] vq_loss 1.3709, rec_loss 0.1528, wasserstein_loss 1.0202, quant_error 0.4921, codebook_utilization 0.7324, codebook_perplexity 9035.4976,
Train Epoch: [1/2] Iters:[30/20018] vq_loss 1.2774, rec_loss 0.1259, wasserstein_loss 0.8212, quant_error 0.4615, codebook_utilization 0.7804, codebook_perplexity 9985.6965,
Train Epoch: [1/2] Iters:[40/20018] vq_loss 1.2033, rec_loss 0.1093, wasserstein_loss 0.6545, quant_error 0.4379, codebook_utilization 0.8051, codebook_perplexity 10286.6032,
Train Epoch: [1/2] Iters:[50/20018] vq_loss 1.1658, rec_loss 0.0988, wasserstein_loss 0.5504, quant_error 0.4261, codebook_utilization 0.8167, codebook_perplexity 10247.9648,
Train Epoch: [1/2] Iters:[60/20018] vq_loss 1.0699, rec_loss 0.0700, wasserstein_loss 0.3397, quant_error 0.3937, codebook_utilization 0.8503, codebook_perplexity 10583.7952,
Train Epoch: [1/2] Iters:[70/20018] vq_loss 1.0069, rec_loss 0.0594, wasserstein_loss 0.2012, quant_error 0.3731, codebook_utilization 0.8690, codebook_perplexity 10552.5386,
Train Epoch: [1/2] Iters:[80/20018] vq_loss 0.9813, rec_loss 0.0566, wasserstein_loss 0.1263, quant_error 0.3664, codebook_utilization 0.8709, codebook_perplexity 10217.0618,
Train Epoch: [1/2] Iters:[90/20018] vq_loss 0.9768, rec_loss 0.0562, wasserstein_loss 0.1059, quant_error 0.3657, codebook_utilization 0.8728, codebook_perplexity 9953.2088,
Train Epoch: [1/2] Iters:[100/20018] vq_loss 0.9669, rec_loss 0.0562, wasserstein_loss 0.0883, quant_error 0.3633, codebook_utilization 0.8783, codebook_perplexity 9919.1769,
Train Epoch: [1/2] Iters:[110/20018] vq_loss 0.9662, rec_loss 0.0562, wasserstein_loss 0.0659, quant_error 0.3652, codebook_utilization 0.8845, codebook_perplexity 9929.0784,
Train Epoch: [1/2] Iters:[120/20018] vq_loss 0.9606, rec_loss 0.0557, wasserstein_loss 0.0556, quant_error 0.3637, codebook_utilization 0.8878, codebook_perplexity 9833.8894,
Train Epoch: [1/2] Iters:[130/20018] vq_loss 0.9630, rec_loss 0.0553, wasserstein_loss 0.0553, quant_error 0.3644, codebook_utilization 0.8883, codebook_perplexity 9752.4202,
Train Epoch: [1/2] Iters:[140/20018] vq_loss 0.9495, rec_loss 0.0535, wasserstein_loss 0.0645, quant_error 0.3575, codebook_utilization 0.8880, codebook_perplexity 9613.2006,
Train Epoch: [1/2] Iters:[150/20018] vq_loss 0.9473, rec_loss 0.0530, wasserstein_loss 0.0657, quant_error 0.3563, codebook_utilization 0.8879, codebook_perplexity 9563.0243,
Train Epoch: [1/2] Iters:[160/20018] vq_loss 0.9366, rec_loss 0.0526, wasserstein_loss 0.0652, quant_error 0.3517, codebook_utilization 0.8881, codebook_perplexity 9565.8117,
Train Epoch: [1/2] Iters:[170/20018] vq_loss 0.9337, rec_loss 0.0527, wasserstein_loss 0.0615, quant_error 0.3508, codebook_utilization 0.8890, codebook_perplexity 9667.8950,
