dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
max_patch_size: 16
codebook_size: 16384
codebook_dim: 32
z_channels: 256
factor: 16
L: 4
beta: 0.1
gamma_1: 0.1
gamma_2: 0.1
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_trick: True
use_multiscale: True
fold_token: False
add_projection: False
epochs: 4
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_16384_32_16
loss_pre: loss_0.1_0.1_0.1
training_pre: wasserstein_vq_substitution_4_True_True_False_False
saver_name_pre: wasserstein_vq_substitution_4_True_True_False_False_ImageNet_256_model_16384_32_16_loss_0.1_0.1_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.010000
Train Epoch: [1/4] Iters:[10/20018] vq_loss 0.7920, rec_loss 0.1376, wasserstein_loss 1.6829, quant_error 0.4533, codebook_utilization 0.7045, codebook_perplexity 7934.2435,
Train Epoch: [1/4] Iters:[20/20018] vq_loss 0.7018, rec_loss 0.0960, wasserstein_loss 1.4563, quant_error 0.4102, codebook_utilization 0.7718, codebook_perplexity 9423.7656,
Train Epoch: [1/4] Iters:[30/20018] vq_loss 0.6345, rec_loss 0.0759, wasserstein_loss 1.2565, quant_error 0.3773, codebook_utilization 0.8144, codebook_perplexity 10346.2850,
Train Epoch: [1/4] Iters:[40/20018] vq_loss 0.5850, rec_loss 0.0644, wasserstein_loss 1.0852, quant_error 0.3537, codebook_utilization 0.8301, codebook_perplexity 10406.0438,
Train Epoch: [1/4] Iters:[50/20018] vq_loss 0.5530, rec_loss 0.0575, wasserstein_loss 0.9448, quant_error 0.3403, codebook_utilization 0.8330, codebook_perplexity 10085.9111,
Train Epoch: [1/4] Iters:[60/20018] vq_loss 0.4715, rec_loss 0.0355, wasserstein_loss 0.6414, quant_error 0.3038, codebook_utilization 0.8514, codebook_perplexity 9868.1784,
Train Epoch: [1/4] Iters:[70/20018] vq_loss 0.4236, rec_loss 0.0303, wasserstein_loss 0.4113, quant_error 0.2837, codebook_utilization 0.8350, codebook_perplexity 8805.0864,
Train Epoch: [1/4] Iters:[80/20018] vq_loss 0.3983, rec_loss 0.0291, wasserstein_loss 0.2582, quant_error 0.2748, codebook_utilization 0.8045, codebook_perplexity 7410.5370,
Train Epoch: [1/4] Iters:[90/20018] vq_loss 0.3853, rec_loss 0.0289, wasserstein_loss 0.1587, quant_error 0.2714, codebook_utilization 0.7805, codebook_perplexity 6369.2396,
Train Epoch: [1/4] Iters:[100/20018] vq_loss 0.3754, rec_loss 0.0290, wasserstein_loss 0.0923, quant_error 0.2684, codebook_utilization 0.7661, codebook_perplexity 5750.1441,
Train Epoch: [1/4] Iters:[110/20018] vq_loss 0.3741, rec_loss 0.0291, wasserstein_loss 0.0714, quant_error 0.2689, codebook_utilization 0.7608, codebook_perplexity 5499.7036,
