dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
max_patch_size: 16
codebook_size: 16384
codebook_dim: 32
z_channels: 256
factor: 16
L: 4
beta: 0.1
gamma_1: 0.1
gamma_2: 0.1
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_trick: False
use_multiscale: True
fold_token: False
add_projection: False
epochs: 4
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_16384_32_16
loss_pre: loss_0.1_0.1_0.1
training_pre: wasserstein_vq_substitution_4_False_True_False_False
saver_name_pre: wasserstein_vq_substitution_4_False_True_False_False_ImageNet_256_model_16384_32_16_loss_0.1_0.1_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.001000
Train Epoch: [1/4] Iters:[10/20018] vq_loss 0.8910, rec_loss 0.1807, wasserstein_loss 1.8015, quant_error 0.5163, codebook_utilization 0.6821, codebook_perplexity 7674.5844,
Train Epoch: [1/4] Iters:[20/20018] vq_loss 0.8082, rec_loss 0.1389, wasserstein_loss 1.5800, quant_error 0.4824, codebook_utilization 0.7299, codebook_perplexity 8849.5158,
Train Epoch: [1/4] Iters:[30/20018] vq_loss 0.7380, rec_loss 0.1147, wasserstein_loss 1.3670, quant_error 0.4511, codebook_utilization 0.7717, codebook_perplexity 9648.8446,
Train Epoch: [1/4] Iters:[40/20018] vq_loss 0.6831, rec_loss 0.0994, wasserstein_loss 1.1771, quant_error 0.4268, codebook_utilization 0.7933, codebook_perplexity 9754.1928,
Train Epoch: [1/4] Iters:[50/20018] vq_loss 0.6470, rec_loss 0.0892, wasserstein_loss 1.0156, quant_error 0.4132, codebook_utilization 0.8001, codebook_perplexity 9418.7611,
Train Epoch: [1/4] Iters:[60/20018] vq_loss 0.5589, rec_loss 0.0615, wasserstein_loss 0.6839, quant_error 0.3765, codebook_utilization 0.8186, codebook_perplexity 9012.2776,
Train Epoch: [1/4] Iters:[70/20018] vq_loss 0.5017, rec_loss 0.0502, wasserstein_loss 0.4396, quant_error 0.3513, codebook_utilization 0.8110, codebook_perplexity 7808.7616,
Train Epoch: [1/4] Iters:[80/20018] vq_loss 0.4711, rec_loss 0.0452, wasserstein_loss 0.2804, quant_error 0.3385, codebook_utilization 0.7876, codebook_perplexity 6218.2184,
Train Epoch: [1/4] Iters:[90/20018] vq_loss 0.4553, rec_loss 0.0427, wasserstein_loss 0.1817, quant_error 0.3323, codebook_utilization 0.7675, codebook_perplexity 4820.8440,
Train Epoch: [1/4] Iters:[100/20018] vq_loss 0.4425, rec_loss 0.0413, wasserstein_loss 0.1206, quant_error 0.3257, codebook_utilization 0.7575, codebook_perplexity 3820.4587,
Train Epoch: [1/4] Iters:[110/20018] vq_loss 0.4414, rec_loss 0.0408, wasserstein_loss 0.1061, quant_error 0.3252, codebook_utilization 0.7588, codebook_perplexity 3282.3729,
