dataset_dir: /projects/yuanai/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 16384
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 1.0
disc_weight: 0.3
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: mmd_vq
use_multiscale: False
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
path: bc
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant3/checkpoint/Transplant/FFHQ
results_dir: /projects/yuanai/projects/VQ-Transplant3/results/Transplant/FFHQ
saver_dir: /projects/yuanai/projects/VQ-Transplant3/saver/Transplant/FFHQ
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant3/reconstruction/Transplant/FFHQ
yaml_dir: /projects/yuanai/projects/VQ-Transplant3/yaml/Transplant/FFHQ
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant3/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant3/checkpoint/
data_pre: FFHQ
model_pre: model_16384_16_1
loss_pre: loss_1.0_1.0_1.0_0.3
training_pre: mmd_vq_transplant_False
saver_name_pre: mmd_vq_transplant_False_FFHQ_model_16384_16_1_loss_1.0_1.0_1.0_0.3
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant3/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/1093] transplant_loss 8.6534, rec_loss 0.3491, p_loss 0.7758, quant_error 1.0787, utilization 0.0437, perplexity 268.5254,
Train Epoch: [1/30] Iters:[20/1093] transplant_loss 8.1178, rec_loss 0.2561, p_loss 0.7495, quant_error 0.8212, utilization 0.0286, perplexity 157.3943,
Train Epoch: [1/30] Iters:[30/1093] transplant_loss 6.9033, rec_loss 0.2071, p_loss 0.7128, quant_error 0.6828, utilization 0.0246, perplexity 125.9703,
Train Epoch: [1/30] Iters:[40/1093] transplant_loss 6.0137, rec_loss 0.1736, p_loss 0.6554, quant_error 0.6011, utilization 0.0237, perplexity 128.6896,
Train Epoch: [1/30] Iters:[50/1093] transplant_loss 5.3913, rec_loss 0.1497, p_loss 0.6022, quant_error 0.5456, utilization 0.0241, perplexity 140.8152,
Train Epoch: [1/30] Iters:[60/1093] transplant_loss 4.1746, rec_loss 0.0879, p_loss 0.5117, quant_error 0.3888, utilization 0.0243, perplexity 143.6431,
Train Epoch: [1/30] Iters:[70/1093] transplant_loss 3.1386, rec_loss 0.0618, p_loss 0.4218, quant_error 0.3322, utilization 0.0382, perplexity 232.7039,
Train Epoch: [1/30] Iters:[80/1093] transplant_loss 2.7090, rec_loss 0.0457, p_loss 0.3424, quant_error 0.3047, utilization 0.0617, perplexity 394.5241,
Train Epoch: [1/30] Iters:[90/1093] transplant_loss 2.4855, rec_loss 0.0360, p_loss 0.2892, quant_error 0.2846, utilization 0.0929, perplexity 652.7266,
Train Epoch: [1/30] Iters:[100/1093] transplant_loss 2.3215, rec_loss 0.0296, p_loss 0.2515, quant_error 0.2675, utilization 0.1277, perplexity 1020.5213,
Train Epoch: [1/30] Iters:[110/1093] transplant_loss 2.2057, rec_loss 0.0259, p_loss 0.2258, quant_error 0.2568, utilization 0.1612, perplexity 1449.1444,
Train Epoch: [1/30] Iters:[120/1093] transplant_loss 2.0930, rec_loss 0.0235, p_loss 0.2092, quant_error 0.2487, utilization 0.1886, perplexity 1882.4909,
Train Epoch: [1/30] Iters:[130/1093] transplant_loss 1.9735, rec_loss 0.0220, p_loss 0.1995, quant_error 0.2439, utilization 0.2108, perplexity 2296.5915,
Train Epoch: [1/30] Iters:[140/1093] transplant_loss 1.8361, rec_loss 0.0209, p_loss 0.1935, quant_error 0.2396, utilization 0.2377, perplexity 2731.7331,
