dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 1.0
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: mmd_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
path: vector
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_256_8_2
loss_pre: loss_1.0_1.0_1.0_0.4
training_pre: mmd_vq_transplant_False
saver_name_pre: mmd_vq_transplant_False_ImageNet_model_256_8_2_loss_1.0_1.0_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant2/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 8.9672, rec_loss 0.5148, p_loss 0.7679, quant_error 1.1689, utilization 0.0351, perplexity 916.6623,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 8.4706, rec_loss 0.4136, p_loss 0.7462, quant_error 1.0401, utilization 0.0236, perplexity 522.7323,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 11.4301, rec_loss 0.3445, p_loss 0.7326, quant_error 0.9361, utilization 0.0188, perplexity 363.6623,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 11.8306, rec_loss 0.3034, p_loss 0.7230, quant_error 0.8759, utilization 0.0164, perplexity 290.0604,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 10.6368, rec_loss 0.2718, p_loss 0.7129, quant_error 0.8312, utilization 0.0151, perplexity 269.9711,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 9.8628, rec_loss 0.1937, p_loss 0.6896, quant_error 0.7187, utilization 0.0101, perplexity 131.9240,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 9.2247, rec_loss 0.1532, p_loss 0.6690, quant_error 0.6478, utilization 0.0097, perplexity 155.7627,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 6.6350, rec_loss 0.1331, p_loss 0.6486, quant_error 0.6139, utilization 0.0099, perplexity 202.6543,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 4.8613, rec_loss 0.1179, p_loss 0.6315, quant_error 0.5835, utilization 0.0102, perplexity 252.5000,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 4.4464, rec_loss 0.1075, p_loss 0.6141, quant_error 0.5556, utilization 0.0103, perplexity 283.7018,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 4.1669, rec_loss 0.1007, p_loss 0.5961, quant_error 0.5401, utilization 0.0104, perplexity 314.3305,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 3.8980, rec_loss 0.0966, p_loss 0.5759, quant_error 0.5234, utilization 0.0105, perplexity 344.5029,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 3.6966, rec_loss 0.0910, p_loss 0.5533, quant_error 0.5081, utilization 0.0107, perplexity 372.1553,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 3.4684, rec_loss 0.0826, p_loss 0.5200, quant_error 0.4816, utilization 0.0109, perplexity 395.4829,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 3.3471, rec_loss 0.0764, p_loss 0.4848, quant_error 0.4676, utilization 0.0110, perplexity 418.7954,
Train Epoch: [1/2] Iters:[160/20018] transplant_loss 3.2589, rec_loss 0.0699, p_loss 0.4487, quant_error 0.4471, utilization 0.0112, perplexity 436.8309,
Train Epoch: [1/2] Iters:[170/20018] transplant_loss 3.2834, rec_loss 0.0634, p_loss 0.4186, quant_error 0.4351, utilization 0.0113, perplexity 453.2662,
Train Epoch: [1/2] Iters:[180/20018] transplant_loss 3.4401, rec_loss 0.0590, p_loss 0.3927, quant_error 0.4225, utilization 0.0114, perplexity 468.4767,
Train Epoch: [1/2] Iters:[190/20018] transplant_loss 3.8111, rec_loss 0.0577, p_loss 0.3749, quant_error 0.4237, utilization 0.0115, perplexity 483.3228,
Train Epoch: [1/2] Iters:[200/20018] transplant_loss 4.2364, rec_loss 0.0564, p_loss 0.3619, quant_error 0.4195, utilization 0.0116, perplexity 497.7349,
Train Epoch: [1/2] Iters:[210/20018] transplant_loss 4.7054, rec_loss 0.0551, p_loss 0.3514, quant_error 0.4144, utilization 0.0117, perplexity 512.8824,
Train Epoch: [1/2] Iters:[220/20018] transplant_loss 5.1683, rec_loss 0.0537, p_loss 0.3424, quant_error 0.4137, utilization 0.0119, perplexity 530.2328,
Train Epoch: [1/2] Iters:[230/20018] transplant_loss 5.5306, rec_loss 0.0524, p_loss 0.3345, quant_error 0.4119, utilization 0.0121, perplexity 547.9394,
Train Epoch: [1/2] Iters:[240/20018] transplant_loss 5.7557, rec_loss 0.0513, p_loss 0.3264, quant_error 0.4090, utilization 0.0124, perplexity 567.5458,
Train Epoch: [1/2] Iters:[250/20018] transplant_loss 5.8605, rec_loss 0.0495, p_loss 0.3184, quant_error 0.4028, utilization 0.0128, perplexity 585.8191,
Train Epoch: [1/2] Iters:[260/20018] transplant_loss 5.8430, rec_loss 0.0482, p_loss 0.3130, quant_error 0.3964, utilization 0.0133, perplexity 605.4598,
Train Epoch: [1/2] Iters:[270/20018] transplant_loss 5.7702, rec_loss 0.0475, p_loss 0.3073, quant_error 0.3918, utilization 0.0139, perplexity 625.8863,
Train Epoch: [1/2] Iters:[280/20018] transplant_loss 5.6253, rec_loss 0.0466, p_loss 0.3020, quant_error 0.3850, utilization 0.0146, perplexity 649.6229,
Train Epoch: [1/2] Iters:[290/20018] transplant_loss 5.4417, rec_loss 0.0455, p_loss 0.2982, quant_error 0.3811, utilization 0.0153, perplexity 672.9554,
Train Epoch: [1/2] Iters:[300/20018] transplant_loss 5.2830, rec_loss 0.0457, p_loss 0.2960, quant_error 0.3826, utilization 0.0162, perplexity 699.4921,
Train Epoch: [1/2] Iters:[310/20018] transplant_loss 5.0859, rec_loss 0.0453, p_loss 0.2942, quant_error 0.3838, utilization 0.0173, perplexity 731.1590,
Train Epoch: [1/2] Iters:[320/20018] transplant_loss 4.8868, rec_loss 0.0456, p_loss 0.2935, quant_error 0.3845, utilization 0.0185, perplexity 763.9033,
Train Epoch: [1/2] Iters:[330/20018] transplant_loss 4.7104, rec_loss 0.0458, p_loss 0.2924, quant_error 0.3875, utilization 0.0198, perplexity 803.0464,
Train Epoch: [1/2] Iters:[340/20018] transplant_loss 4.4974, rec_loss 0.0453, p_loss 0.2887, quant_error 0.3844, utilization 0.0214, perplexity 853.1766,
Train Epoch: [1/2] Iters:[350/20018] transplant_loss 4.2726, rec_loss 0.0443, p_loss 0.2871, quant_error 0.3800, utilization 0.0233, perplexity 910.8544,
Train Epoch: [1/2] Iters:[360/20018] transplant_loss 4.1119, rec_loss 0.0442, p_loss 0.2843, quant_error 0.3801, utilization 0.0253, perplexity 975.1768,
Train Epoch: [1/2] Iters:[370/20018] transplant_loss 3.9157, rec_loss 0.0430, p_loss 0.2809, quant_error 0.3758, utilization 0.0275, perplexity 1051.2411,
Train Epoch: [1/2] Iters:[380/20018] transplant_loss 3.7558, rec_loss 0.0431, p_loss 0.2780, quant_error 0.3738, utilization 0.0299, perplexity 1133.9578,
Train Epoch: [1/2] Iters:[390/20018] transplant_loss 3.6302, rec_loss 0.0430, p_loss 0.2777, quant_error 0.3748, utilization 0.0325, perplexity 1226.6194,
Train Epoch: [1/2] Iters:[400/20018] transplant_loss 3.4733, rec_loss 0.0428, p_loss 0.2728, quant_error 0.3692, utilization 0.0355, perplexity 1337.0006,
Train Epoch: [1/2] Iters:[410/20018] transplant_loss 3.3515, rec_loss 0.0423, p_loss 0.2705, quant_error 0.3661, utilization 0.0385, perplexity 1454.0736,
Train Epoch: [1/2] Iters:[420/20018] transplant_loss 3.2248, rec_loss 0.0416, p_loss 0.2675, quant_error 0.3608, utilization 0.0421, perplexity 1602.9998,
Train Epoch: [1/2] Iters:[430/20018] transplant_loss 3.0841, rec_loss 0.0403, p_loss 0.2646, quant_error 0.3552, utilization 0.0460, perplexity 1770.2194,
Train Epoch: [1/2] Iters:[440/20018] transplant_loss 2.9812, rec_loss 0.0401, p_loss 0.2623, quant_error 0.3523, utilization 0.0502, perplexity 1953.5522,
Train Epoch: [1/2] Iters:[450/20018] transplant_loss 2.8950, rec_loss 0.0396, p_loss 0.2613, quant_error 0.3497, utilization 0.0545, perplexity 2154.7923,
Train Epoch: [1/2] Iters:[460/20018] transplant_loss 2.7917, rec_loss 0.0392, p_loss 0.2574, quant_error 0.3432, utilization 0.0592, perplexity 2382.4483,
Train Epoch: [1/2] Iters:[470/20018] transplant_loss 2.7359, rec_loss 0.0390, p_loss 0.2569, quant_error 0.3435, utilization 0.0642, perplexity 2631.5406,
Train Epoch: [1/2] Iters:[480/20018] transplant_loss 2.6715, rec_loss 0.0385, p_loss 0.2549, quant_error 0.3402, utilization 0.0691, perplexity 2887.9717,
Train Epoch: [1/2] Iters:[490/20018] transplant_loss 2.5727, rec_loss 0.0371, p_loss 0.2507, quant_error 0.3329, utilization 0.0748, perplexity 3195.0811,
Train Epoch: [1/2] Iters:[500/20018] transplant_loss 2.5057, rec_loss 0.0369, p_loss 0.2483, quant_error 0.3303, utilization 0.0806, perplexity 3517.7925,
Train Epoch: [1/2] Iters:[510/20018] transplant_loss 2.4522, rec_loss 0.0367, p_loss 0.2469, quant_error 0.3288, utilization 0.0865, perplexity 3855.8506,
Train Epoch: [1/2] Iters:[520/20018] transplant_loss 2.3701, rec_loss 0.0364, p_loss 0.2427, quant_error 0.3209, utilization 0.0925, perplexity 4221.0669,
Train Epoch: [1/2] Iters:[530/20018] transplant_loss 2.3027, rec_loss 0.0363, p_loss 0.2404, quant_error 0.3154, utilization 0.0987, perplexity 4601.5123,
Train Epoch: [1/2] Iters:[540/20018] transplant_loss 2.2553, rec_loss 0.0364, p_loss 0.2390, quant_error 0.3110, utilization 0.1047, perplexity 4977.7535,
Train Epoch: [1/2] Iters:[550/20018] transplant_loss 2.2153, rec_loss 0.0362, p_loss 0.2374, quant_error 0.3083, utilization 0.1110, perplexity 5384.7471,
Train Epoch: [1/2] Iters:[560/20018] transplant_loss 2.1568, rec_loss 0.0354, p_loss 0.2362, quant_error 0.3035, utilization 0.1175, perplexity 5809.1522,
Train Epoch: [1/2] Iters:[570/20018] transplant_loss 2.1115, rec_loss 0.0349, p_loss 0.2343, quant_error 0.3010, utilization 0.1239, perplexity 6243.1924,
Train Epoch: [1/2] Iters:[580/20018] transplant_loss 2.0705, rec_loss 0.0343, p_loss 0.2319, quant_error 0.2996, utilization 0.1302, perplexity 6679.6906,
Train Epoch: [1/2] Iters:[590/20018] transplant_loss 2.0313, rec_loss 0.0341, p_loss 0.2306, quant_error 0.2983, utilization 0.1369, perplexity 7154.7785,
Train Epoch: [1/2] Iters:[600/20018] transplant_loss 1.9769, rec_loss 0.0332, p_loss 0.2284, quant_error 0.2935, utilization 0.1434, perplexity 7626.8401,
Train Epoch: [1/2] Iters:[610/20018] transplant_loss 1.9312, rec_loss 0.0330, p_loss 0.2255, quant_error 0.2894, utilization 0.1502, perplexity 8124.8027,
Train Epoch: [1/2] Iters:[620/20018] transplant_loss 1.9020, rec_loss 0.0329, p_loss 0.2241, quant_error 0.2881, utilization 0.1563, perplexity 8581.3327,
Train Epoch: [1/2] Iters:[630/20018] transplant_loss 1.8470, rec_loss 0.0322, p_loss 0.2213, quant_error 0.2818, utilization 0.1631, perplexity 9098.7436,
Train Epoch: [1/2] Iters:[640/20018] transplant_loss 1.8029, rec_loss 0.0316, p_loss 0.2189, quant_error 0.2780, utilization 0.1690, perplexity 9552.5933,
Train Epoch: [1/2] Iters:[650/20018] transplant_loss 1.7692, rec_loss 0.0315, p_loss 0.2171, quant_error 0.2761, utilization 0.1748, perplexity 10005.8326,
Train Epoch: [1/2] Iters:[660/20018] transplant_loss 1.7290, rec_loss 0.0310, p_loss 0.2152, quant_error 0.2728, utilization 0.1798, perplexity 10401.7936,
Train Epoch: [1/2] Iters:[670/20018] transplant_loss 1.6899, rec_loss 0.0305, p_loss 0.2136, quant_error 0.2699, utilization 0.1848, perplexity 10800.2618,
