dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: online_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
path: vector
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_256_8_2
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: online_vq_transplant_False
saver_name_pre: online_vq_transplant_False_ImageNet_model_256_8_2_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant2/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 5.3120, rec_loss 0.3195, p_loss 0.7307, quant_error 1.2325, utilization 0.0465, perplexity 1197.9887,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 4.3707, rec_loss 0.2258, p_loss 0.6775, quant_error 0.9882, utilization 0.0464, perplexity 1058.3276,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 3.9208, rec_loss 0.1805, p_loss 0.6351, quant_error 0.8662, utilization 0.0492, perplexity 1155.1604,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 3.6421, rec_loss 0.1558, p_loss 0.6034, quant_error 0.7917, utilization 0.0525, perplexity 1281.2398,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 3.4503, rec_loss 0.1386, p_loss 0.5753, quant_error 0.7417, utilization 0.0564, perplexity 1455.9889,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 2.9073, rec_loss 0.0873, p_loss 0.5151, quant_error 0.5959, utilization 0.0631, perplexity 1726.8170,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 2.7210, rec_loss 0.0720, p_loss 0.4696, quant_error 0.5422, utilization 0.0710, perplexity 2130.7330,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 2.6171, rec_loss 0.0650, p_loss 0.4339, quant_error 0.5114, utilization 0.0780, perplexity 2522.2666,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 2.5496, rec_loss 0.0591, p_loss 0.4022, quant_error 0.4872, utilization 0.0845, perplexity 2921.4210,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 2.4846, rec_loss 0.0546, p_loss 0.3759, quant_error 0.4624, utilization 0.0903, perplexity 3318.4337,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 2.4338, rec_loss 0.0512, p_loss 0.3535, quant_error 0.4440, utilization 0.0954, perplexity 3704.1427,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 2.3773, rec_loss 0.0487, p_loss 0.3345, quant_error 0.4241, utilization 0.0998, perplexity 4032.9004,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 2.3277, rec_loss 0.0468, p_loss 0.3199, quant_error 0.4061, utilization 0.1034, perplexity 4312.1146,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 2.2509, rec_loss 0.0440, p_loss 0.3057, quant_error 0.3839, utilization 0.1061, perplexity 4521.8127,
