| distributed init (rank 1): env://
dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 16384
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.3
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: online_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
path: bc
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant3/checkpoint/Transplant/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant3/results/Transplant/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant3/saver/Transplant/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant3/reconstruction/Transplant/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant3/yaml/Transplant/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant3/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant3/checkpoint/
data_pre: ImageNet
model_pre: model_16384_16_1
loss_pre: loss_1.0_1.0_0.0_0.3
training_pre: online_vq_transplant_False
saver_name_pre: online_vq_transplant_False_ImageNet_model_16384_16_1_loss_1.0_1.0_0.0_0.3
| distributed init (rank 0): env://
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant3/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 7.0590, rec_loss 0.3768, p_loss 0.7561, quant_error 1.3148, utilization 0.0660, perplexity 353.9544,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 6.2368, rec_loss 0.2995, p_loss 0.7408, quant_error 1.2139, utilization 0.0469, perplexity 242.9386,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 5.7432, rec_loss 0.2535, p_loss 0.7264, quant_error 1.0903, utilization 0.0396, perplexity 207.0744,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 5.5269, rec_loss 0.2279, p_loss 0.7149, quant_error 1.0380, utilization 0.0358, perplexity 191.1108,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 5.3342, rec_loss 0.2099, p_loss 0.7047, quant_error 0.9882, utilization 0.0333, perplexity 179.8003,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 4.7818, rec_loss 0.1595, p_loss 0.6834, quant_error 0.8701, utilization 0.0246, perplexity 134.3955,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 4.5379, rec_loss 0.1378, p_loss 0.6659, quant_error 0.7870, utilization 0.0235, perplexity 133.8660,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 4.4107, rec_loss 0.1280, p_loss 0.6537, quant_error 0.7569, utilization 0.0228, perplexity 133.3468,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 4.2616, rec_loss 0.1192, p_loss 0.6430, quant_error 0.7179, utilization 0.0222, perplexity 131.4594,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 4.1641, rec_loss 0.1121, p_loss 0.6337, quant_error 0.6941, utilization 0.0222, perplexity 132.0583,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 4.1200, rec_loss 0.1076, p_loss 0.6260, quant_error 0.6854, utilization 0.0233, perplexity 135.2100,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 4.0797, rec_loss 0.1042, p_loss 0.6175, quant_error 0.6747, utilization 0.0245, perplexity 140.0836,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 4.0687, rec_loss 0.1008, p_loss 0.6086, quant_error 0.6672, utilization 0.0254, perplexity 143.0317,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 3.9889, rec_loss 0.0960, p_loss 0.5996, quant_error 0.6458, utilization 0.0261, perplexity 144.9860,
