dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.3
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: vanilla_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
path: vector
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_256_8_2
loss_pre: loss_1.0_1.0_0.0_0.3
training_pre: vanilla_vq_transplant_False
saver_name_pre: vanilla_vq_transplant_False_ImageNet_model_256_8_2_loss_1.0_1.0_0.0_0.3
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant2/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 7.9866, rec_loss 0.5124, p_loss 0.7677, quant_error 1.1791, utilization 0.0439, perplexity 992.6680,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 7.7291, rec_loss 0.4243, p_loss 0.7473, quant_error 1.0169, utilization 0.0448, perplexity 803.2672,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 12.6369, rec_loss 0.3815, p_loss 0.7381, quant_error 0.9191, utilization 0.0409, perplexity 572.0488,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 26.5829, rec_loss 0.3563, p_loss 0.7350, quant_error 0.8589, utilization 0.0350, perplexity 432.3890,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 51.9387, rec_loss 0.3285, p_loss 0.7322, quant_error 0.8234, utilization 0.0303, perplexity 347.1656,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 88.8726, rec_loss 0.2635, p_loss 0.7163, quant_error 0.7175, utilization 0.0235, perplexity 149.6184,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 114.4380, rec_loss 0.2328, p_loss 0.7056, quant_error 0.6708, utilization 0.0165, perplexity 27.9640,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 127.0011, rec_loss 0.2112, p_loss 0.6966, quant_error 0.6548, utilization 0.0125, perplexity 7.4210,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 130.4492, rec_loss 0.1924, p_loss 0.6866, quant_error 0.6481, utilization 0.0114, perplexity 6.2345,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 123.5149, rec_loss 0.1845, p_loss 0.6763, quant_error 0.6396, utilization 0.0111, perplexity 6.3262,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 111.1734, rec_loss 0.1825, p_loss 0.6744, quant_error 0.6448, utilization 0.0111, perplexity 6.6762,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 113.7275, rec_loss 0.1811, p_loss 0.6754, quant_error 0.6471, utilization 0.0106, perplexity 7.0624,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 127.4850, rec_loss 0.1766, p_loss 0.6759, quant_error 0.6514, utilization 0.0097, perplexity 7.5483,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 141.8907, rec_loss 0.1698, p_loss 0.6770, quant_error 0.6402, utilization 0.0089, perplexity 8.4968,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 147.4479, rec_loss 0.1643, p_loss 0.6784, quant_error 0.6402, utilization 0.0084, perplexity 10.5789,
