dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 32
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 32768
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: vanilla_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
path: bc
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant3/checkpoint/Refinement/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant3/results/Refinement/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant3/saver/Refinement/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant3/reconstruction/Refinement/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant3/yaml/Refinement/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant3/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-vanilla_vq_transplant_False_ImageNet_model_32768_16_1_loss_1.0_1.0_0.0_0.3.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 16
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant3/checkpoint/
data_pre: ImageNet
model_pre: model_32768_16_1
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: vanilla_vq_refinement_False
saver_name_pre: vanilla_vq_refinement_False_ImageNet_model_32768_16_1_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant3/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/40036] gen_loss 2.0973, rec_loss 0.0419, lpips_loss 0.3063, g_loss 0.3340, disc_weight 0.4000, disc_adaptive_weight 5.2017, d_loss 2.5676, logits_real -0.2875, logits_fake -0.3326,
Train Epoch: [1/5] Iters:[20/40036] gen_loss 1.8965, rec_loss 0.0404, lpips_loss 0.3075, g_loss 0.3337, disc_weight 0.4000, disc_adaptive_weight 4.6191, d_loss 2.2602, logits_real -0.2882, logits_fake -0.3314,
Train Epoch: [1/5] Iters:[30/40036] gen_loss 1.8265, rec_loss 0.0421, lpips_loss 0.3093, g_loss 0.3246, disc_weight 0.4000, disc_adaptive_weight 4.5257, d_loss 2.0746, logits_real -0.2858, logits_fake -0.3215,
Train Epoch: [1/5] Iters:[40/40036] gen_loss 1.7348, rec_loss 0.0433, lpips_loss 0.3106, g_loss 0.3187, disc_weight 0.4000, disc_adaptive_weight 4.3010, d_loss 1.9199, logits_real -0.2839, logits_fake -0.3159,
Train Epoch: [1/5] Iters:[50/40036] gen_loss 1.7752, rec_loss 0.0437, lpips_loss 0.3131, g_loss 0.3145, disc_weight 0.4000, disc_adaptive_weight 4.4927, d_loss 1.7953, logits_real -0.2821, logits_fake -0.3125,
Train Epoch: [1/5] Iters:[60/40036] gen_loss 1.6491, rec_loss 0.0434, lpips_loss 0.3136, g_loss 0.3043, disc_weight 0.4000, disc_adaptive_weight 4.2430, d_loss 1.5138, logits_real -0.2793, logits_fake -0.3023,
Train Epoch: [1/5] Iters:[70/40036] gen_loss 1.5806, rec_loss 0.0450, lpips_loss 0.3140, g_loss 0.2927, disc_weight 0.4000, disc_adaptive_weight 4.1579, d_loss 1.3416, logits_real -0.2753, logits_fake -0.2911,
Train Epoch: [1/5] Iters:[80/40036] gen_loss 1.5475, rec_loss 0.0454, lpips_loss 0.3149, g_loss 0.2868, disc_weight 0.4000, disc_adaptive_weight 4.1227, d_loss 1.2041, logits_real -0.2723, logits_fake -0.2868,
Train Epoch: [1/5] Iters:[90/40036] gen_loss 1.6198, rec_loss 0.0449, lpips_loss 0.3152, g_loss 0.2820, disc_weight 0.4000, disc_adaptive_weight 4.4489, d_loss 1.1017, logits_real -0.2692, logits_fake -0.2819,
Train Epoch: [1/5] Iters:[100/40036] gen_loss 1.5105, rec_loss 0.0462, lpips_loss 0.3166, g_loss 0.2773, disc_weight 0.4000, disc_adaptive_weight 4.1339, d_loss 1.0227, logits_real -0.2664, logits_fake -0.2769,
Train Epoch: [1/5] Iters:[110/40036] gen_loss 1.5281, rec_loss 0.0472, lpips_loss 0.3171, g_loss 0.2742, disc_weight 0.4000, disc_adaptive_weight 4.2409, d_loss 0.9614, logits_real -0.2634, logits_fake -0.2740,
Train Epoch: [1/5] Iters:[120/40036] gen_loss 1.5197, rec_loss 0.0464, lpips_loss 0.3155, g_loss 0.2719, disc_weight 0.4000, disc_adaptive_weight 4.2507, d_loss 0.9053, logits_real -0.2610, logits_fake -0.2718,
Train Epoch: [1/5] Iters:[130/40036] gen_loss 1.5054, rec_loss 0.0460, lpips_loss 0.3137, g_loss 0.2689, disc_weight 0.4000, disc_adaptive_weight 4.2517, d_loss 0.8600, logits_real -0.2588, logits_fake -0.2683,
Train Epoch: [1/5] Iters:[140/40036] gen_loss 1.3924, rec_loss 0.0456, lpips_loss 0.3114, g_loss 0.2657, disc_weight 0.4000, disc_adaptive_weight 3.8966, d_loss 0.8226, logits_real -0.2571, logits_fake -0.2654,
Train Epoch: [1/5] Iters:[150/40036] gen_loss 1.3616, rec_loss 0.0450, lpips_loss 0.3088, g_loss 0.2624, disc_weight 0.4000, disc_adaptive_weight 3.8349, d_loss 0.7898, logits_real -0.2552, logits_fake -0.2625,
Train Epoch: [1/5] Iters:[160/40036] gen_loss 1.2924, rec_loss 0.0447, lpips_loss 0.3074, g_loss 0.2599, disc_weight 0.4000, disc_adaptive_weight 3.6122, d_loss 0.7617, logits_real -0.2531, logits_fake -0.2602,
Train Epoch: [1/5] Iters:[170/40036] gen_loss 1.2705, rec_loss 0.0457, lpips_loss 0.3085, g_loss 0.2579, disc_weight 0.4000, disc_adaptive_weight 3.5460, d_loss 0.7414, logits_real -0.2513, logits_fake -0.2580,
Train Epoch: [1/5] Iters:[180/40036] gen_loss 1.2728, rec_loss 0.0458, lpips_loss 0.3087, g_loss 0.2559, disc_weight 0.4000, disc_adaptive_weight 3.5893, d_loss 0.7207, logits_real -0.2498, logits_fake -0.2560,
Train Epoch: [1/5] Iters:[190/40036] gen_loss 1.2915, rec_loss 0.0463, lpips_loss 0.3103, g_loss 0.2538, disc_weight 0.4000, disc_adaptive_weight 3.6855, d_loss 0.7046, logits_real -0.2479, logits_fake -0.2538,
Train Epoch: [1/5] Iters:[200/40036] gen_loss 1.3248, rec_loss 0.0459, lpips_loss 0.3083, g_loss 0.2519, disc_weight 0.4000, disc_adaptive_weight 3.8553, d_loss 0.6888, logits_real -0.2469, logits_fake -0.2518,
Train Epoch: [1/5] Iters:[210/40036] gen_loss 1.3713, rec_loss 0.0470, lpips_loss 0.3107, g_loss 0.2504, disc_weight 0.4000, disc_adaptive_weight 4.0491, d_loss 0.6779, logits_real -0.2462, logits_fake -0.2497,
Train Epoch: [1/5] Iters:[220/40036] gen_loss 1.3788, rec_loss 0.0471, lpips_loss 0.3111, g_loss 0.2484, disc_weight 0.4000, disc_adaptive_weight 4.1046, d_loss 0.6644, logits_real -0.2450, logits_fake -0.2479,
Train Epoch: [1/5] Iters:[230/40036] gen_loss 1.2930, rec_loss 0.0472, lpips_loss 0.3107, g_loss 0.2469, disc_weight 0.4000, disc_adaptive_weight 3.7808, d_loss 0.6529, logits_real -0.2437, logits_fake -0.2464,
Train Epoch: [1/5] Iters:[240/40036] gen_loss 1.2983, rec_loss 0.0475, lpips_loss 0.3085, g_loss 0.2458, disc_weight 0.4000, disc_adaptive_weight 3.8298, d_loss 0.6427, logits_real -0.2429, logits_fake -0.2456,
Train Epoch: [1/5] Iters:[250/40036] gen_loss 1.2630, rec_loss 0.0481, lpips_loss 0.3088, g_loss 0.2447, disc_weight 0.4000, disc_adaptive_weight 3.7014, d_loss 0.6339, logits_real -0.2418, logits_fake -0.2444,
Train Epoch: [1/5] Iters:[260/40036] gen_loss 1.2035, rec_loss 0.0475, lpips_loss 0.3084, g_loss 0.2436, disc_weight 0.4000, disc_adaptive_weight 3.4812, d_loss 0.6245, logits_real -0.2412, logits_fake -0.2435,
Train Epoch: [1/5] Iters:[270/40036] gen_loss 1.2300, rec_loss 0.0457, lpips_loss 0.3056, g_loss 0.2435, disc_weight 0.4000, disc_adaptive_weight 3.6096, d_loss 0.6158, logits_real -0.2409, logits_fake -0.2434,
Train Epoch: [1/5] Iters:[280/40036] gen_loss 1.2539, rec_loss 0.0453, lpips_loss 0.3050, g_loss 0.2424, disc_weight 0.4000, disc_adaptive_weight 3.7247, d_loss 0.6095, logits_real -0.2401, logits_fake -0.2423,
Train Epoch: [1/5] Iters:[290/40036] gen_loss 1.2807, rec_loss 0.0451, lpips_loss 0.3064, g_loss 0.2412, disc_weight 0.4000, disc_adaptive_weight 3.8517, d_loss 0.6034, logits_real -0.2394, logits_fake -0.2409,
Train Epoch: [1/5] Iters:[300/40036] gen_loss 1.2694, rec_loss 0.0446, lpips_loss 0.3055, g_loss 0.2405, disc_weight 0.4000, disc_adaptive_weight 3.8222, d_loss 0.5986, logits_real -0.2388, logits_fake -0.2399,
Train Epoch: [1/5] Iters:[310/40036] gen_loss 1.2964, rec_loss 0.0446, lpips_loss 0.3040, g_loss 0.2394, disc_weight 0.4000, disc_adaptive_weight 3.9565, d_loss 0.5933, logits_real -0.2378, logits_fake -0.2393,
Train Epoch: [1/5] Iters:[320/40036] gen_loss 1.2593, rec_loss 0.0457, lpips_loss 0.3055, g_loss 0.2380, disc_weight 0.4000, disc_adaptive_weight 3.8144, d_loss 0.5898, logits_real -0.2370, logits_fake -0.2377,
Train Epoch: [1/5] Iters:[330/40036] gen_loss 1.2804, rec_loss 0.0460, lpips_loss 0.3046, g_loss 0.2371, disc_weight 0.4000, disc_adaptive_weight 3.9206, d_loss 0.5852, logits_real -0.2364, logits_fake -0.2369,
Train Epoch: [1/5] Iters:[340/40036] gen_loss 1.2398, rec_loss 0.0462, lpips_loss 0.3047, g_loss 0.2365, disc_weight 0.4000, disc_adaptive_weight 3.7604, d_loss 0.5805, logits_real -0.2359, logits_fake -0.2361,
Train Epoch: [1/5] Iters:[350/40036] gen_loss 1.2493, rec_loss 0.0469, lpips_loss 0.3041, g_loss 0.2357, disc_weight 0.4000, disc_adaptive_weight 3.8103, d_loss 0.5765, logits_real -0.2352, logits_fake -0.2353,
Train Epoch: [1/5] Iters:[360/40036] gen_loss 1.2748, rec_loss 0.0466, lpips_loss 0.3038, g_loss 0.2349, disc_weight 0.4000, disc_adaptive_weight 3.9366, d_loss 0.5720, logits_real -0.2343, logits_fake -0.2345,
Train Epoch: [1/5] Iters:[370/40036] gen_loss 1.2984, rec_loss 0.0463, lpips_loss 0.3037, g_loss 0.2341, disc_weight 0.4000, disc_adaptive_weight 4.0513, d_loss 0.5672, logits_real -0.2333, logits_fake -0.2341,
Train Epoch: [1/5] Iters:[380/40036] gen_loss 1.2765, rec_loss 0.0468, lpips_loss 0.3048, g_loss 0.2334, disc_weight 0.4000, disc_adaptive_weight 3.9630, d_loss 0.5636, logits_real -0.2327, logits_fake -0.2333,
Train Epoch: [1/5] Iters:[390/40036] gen_loss 1.2968, rec_loss 0.0464, lpips_loss 0.3036, g_loss 0.2326, disc_weight 0.4000, disc_adaptive_weight 4.0722, d_loss 0.5597, logits_real -0.2316, logits_fake -0.2329,
Train Epoch: [1/5] Iters:[400/40036] gen_loss 1.2936, rec_loss 0.0465, lpips_loss 0.3053, g_loss 0.2313, disc_weight 0.4000, disc_adaptive_weight 4.0719, d_loss 0.5562, logits_real -0.2307, logits_fake -0.2319,
Train Epoch: [1/5] Iters:[410/40036] gen_loss 1.2566, rec_loss 0.0464, lpips_loss 0.3034, g_loss 0.2305, disc_weight 0.4000, disc_adaptive_weight 3.9321, d_loss 0.5530, logits_real -0.2302, logits_fake -0.2310,
Train Epoch: [1/5] Iters:[420/40036] gen_loss 1.2895, rec_loss 0.0470, lpips_loss 0.3036, g_loss 0.2298, disc_weight 0.4000, disc_adaptive_weight 4.0876, d_loss 0.5508, logits_real -0.2295, logits_fake -0.2300,
Train Epoch: [1/5] Iters:[430/40036] gen_loss 1.2920, rec_loss 0.0471, lpips_loss 0.3044, g_loss 0.2290, disc_weight 0.4000, disc_adaptive_weight 4.1050, d_loss 0.5479, logits_real -0.2288, logits_fake -0.2289,
Train Epoch: [1/5] Iters:[440/40036] gen_loss 1.3006, rec_loss 0.0470, lpips_loss 0.3046, g_loss 0.2279, disc_weight 0.4000, disc_adaptive_weight 4.1632, d_loss 0.5446, logits_real -0.2282, logits_fake -0.2276,
Train Epoch: [1/5] Iters:[450/40036] gen_loss 1.3097, rec_loss 0.0463, lpips_loss 0.3039, g_loss 0.2275, disc_weight 0.4000, disc_adaptive_weight 4.2171, d_loss 0.5417, logits_real -0.2273, logits_fake -0.2271,
Train Epoch: [1/5] Iters:[460/40036] gen_loss 1.3044, rec_loss 0.0466, lpips_loss 0.3058, g_loss 0.2266, disc_weight 0.4000, disc_adaptive_weight 4.1986, d_loss 0.5383, logits_real -0.2263, logits_fake -0.2265,
Train Epoch: [1/5] Iters:[470/40036] gen_loss 1.2279, rec_loss 0.0473, lpips_loss 0.3065, g_loss 0.2261, disc_weight 0.4000, disc_adaptive_weight 3.8643, d_loss 0.5356, logits_real -0.2258, logits_fake -0.2259,
Train Epoch: [1/5] Iters:[480/40036] gen_loss 1.2400, rec_loss 0.0471, lpips_loss 0.3063, g_loss 0.2256, disc_weight 0.4000, disc_adaptive_weight 3.9274, d_loss 0.5328, logits_real -0.2254, logits_fake -0.2257,
Train Epoch: [1/5] Iters:[490/40036] gen_loss 1.1609, rec_loss 0.0477, lpips_loss 0.3059, g_loss 0.2254, disc_weight 0.4000, disc_adaptive_weight 3.5792, d_loss 0.5308, logits_real -0.2250, logits_fake -0.2255,
Train Epoch: [1/5] Iters:[500/40036] gen_loss 1.1497, rec_loss 0.0466, lpips_loss 0.3054, g_loss 0.2247, disc_weight 0.4000, disc_adaptive_weight 3.5506, d_loss 0.5275, logits_real -0.2246, logits_fake -0.2246,
Train Epoch: [1/5] Iters:[510/40036] gen_loss 1.1689, rec_loss 0.0460, lpips_loss 0.3039, g_loss 0.2240, disc_weight 0.4000, disc_adaptive_weight 3.6593, d_loss 0.5253, logits_real -0.2243, logits_fake -0.2240,
Train Epoch: [1/5] Iters:[520/40036] gen_loss 1.1739, rec_loss 0.0451, lpips_loss 0.3033, g_loss 0.2232, disc_weight 0.4000, disc_adaptive_weight 3.7013, d_loss 0.5227, logits_real -0.2236, logits_fake -0.2235,
Train Epoch: [1/5] Iters:[530/40036] gen_loss 1.1707, rec_loss 0.0444, lpips_loss 0.3013, g_loss 0.2221, disc_weight 0.4000, disc_adaptive_weight 3.7178, d_loss 0.5201, logits_real -0.2226, logits_fake -0.2225,
Train Epoch: [1/5] Iters:[540/40036] gen_loss 1.2075, rec_loss 0.0446, lpips_loss 0.3011, g_loss 0.2211, disc_weight 0.4000, disc_adaptive_weight 3.9008, d_loss 0.5182, logits_real -0.2216, logits_fake -0.2217,
Train Epoch: [1/5] Iters:[550/40036] gen_loss 1.2320, rec_loss 0.0455, lpips_loss 0.3014, g_loss 0.2204, disc_weight 0.4000, disc_adaptive_weight 4.0175, d_loss 0.5155, logits_real -0.2210, logits_fake -0.2213,
Train Epoch: [1/5] Iters:[560/40036] gen_loss 1.2253, rec_loss 0.0457, lpips_loss 0.3014, g_loss 0.2200, disc_weight 0.4000, disc_adaptive_weight 3.9915, d_loss 0.5137, logits_real -0.2203, logits_fake -0.2204,
Train Epoch: [1/5] Iters:[570/40036] gen_loss 1.2596, rec_loss 0.0463, lpips_loss 0.3009, g_loss 0.2195, disc_weight 0.4000, disc_adaptive_weight 4.1559, d_loss 0.5110, logits_real -0.2196, logits_fake -0.2198,
Train Epoch: [1/5] Iters:[580/40036] gen_loss 1.2593, rec_loss 0.0456, lpips_loss 0.3008, g_loss 0.2191, disc_weight 0.4000, disc_adaptive_weight 4.1629, d_loss 0.5087, logits_real -0.2192, logits_fake -0.2193,
Train Epoch: [1/5] Iters:[590/40036] gen_loss 1.2552, rec_loss 0.0453, lpips_loss 0.3005, g_loss 0.2188, disc_weight 0.4000, disc_adaptive_weight 4.1537, d_loss 0.5064, logits_real -0.2187, logits_fake -0.2187,
Train Epoch: [1/5] Iters:[600/40036] gen_loss 1.2312, rec_loss 0.0462, lpips_loss 0.3008, g_loss 0.2183, disc_weight 0.4000, disc_adaptive_weight 4.0463, d_loss 0.5056, logits_real -0.2183, logits_fake -0.2182,
Train Epoch: [1/5] Iters:[610/40036] gen_loss 1.2094, rec_loss 0.0460, lpips_loss 0.3014, g_loss 0.2175, disc_weight 0.4000, disc_adaptive_weight 3.9588, d_loss 0.5031, logits_real -0.2178, logits_fake -0.2178,
Train Epoch: [1/5] Iters:[620/40036] gen_loss 1.1781, rec_loss 0.0451, lpips_loss 0.3023, g_loss 0.2168, disc_weight 0.4000, disc_adaptive_weight 3.8281, d_loss 0.5007, logits_real -0.2172, logits_fake -0.2171,
Train Epoch: [1/5] Iters:[630/40036] gen_loss 1.2355, rec_loss 0.0474, lpips_loss 0.3047, g_loss 0.2159, disc_weight 0.4000, disc_adaptive_weight 4.0903, d_loss 0.4990, logits_real -0.2164, logits_fake -0.2165,
Train Epoch: [1/5] Iters:[640/40036] gen_loss 1.2803, rec_loss 0.0482, lpips_loss 0.3061, g_loss 0.2150, disc_weight 0.4000, disc_adaptive_weight 4.3068, d_loss 0.4971, logits_real -0.2156, logits_fake -0.2158,
Train Epoch: [1/5] Iters:[650/40036] gen_loss 1.3538, rec_loss 0.0472, lpips_loss 0.3065, g_loss 0.2145, disc_weight 0.4000, disc_adaptive_weight 4.6609, d_loss 0.4949, logits_real -0.2151, logits_fake -0.2150,
Train Epoch: [1/5] Iters:[660/40036] gen_loss 1.4082, rec_loss 0.0486, lpips_loss 0.3082, g_loss 0.2138, disc_weight 0.4000, disc_adaptive_weight 4.9157, d_loss 0.4936, logits_real -0.2144, logits_fake -0.2143,
Train Epoch: [1/5] Iters:[670/40036] gen_loss 1.4191, rec_loss 0.0483, lpips_loss 0.3050, g_loss 0.2129, disc_weight 0.4000, disc_adaptive_weight 5.0016, d_loss 0.4922, logits_real -0.2139, logits_fake -0.2133,
Train Epoch: [1/5] Iters:[680/40036] gen_loss 1.3227, rec_loss 0.0472, lpips_loss 0.3030, g_loss 0.2121, disc_weight 0.4000, disc_adaptive_weight 4.5774, d_loss 0.4908, logits_real -0.2131, logits_fake -0.2123,
Train Epoch: [1/5] Iters:[690/40036] gen_loss 1.2468, rec_loss 0.0462, lpips_loss 0.3031, g_loss 0.2113, disc_weight 0.4000, disc_adaptive_weight 4.2391, d_loss 0.4888, logits_real -0.2126, logits_fake -0.2115,
Train Epoch: [1/5] Iters:[700/40036] gen_loss 1.1718, rec_loss 0.0464, lpips_loss 0.3030, g_loss 0.2102, disc_weight 0.4000, disc_adaptive_weight 3.9101, d_loss 0.4869, logits_real -0.2118, logits_fake -0.2106,
Train Epoch: [1/5] Iters:[710/40036] gen_loss 1.1307, rec_loss 0.0457, lpips_loss 0.3029, g_loss 0.2097, disc_weight 0.4000, disc_adaptive_weight 3.7301, d_loss 0.4848, logits_real -0.2111, logits_fake -0.2100,
Train Epoch: [1/5] Iters:[720/40036] gen_loss 1.1378, rec_loss 0.0462, lpips_loss 0.3051, g_loss 0.2091, disc_weight 0.4000, disc_adaptive_weight 3.7622, d_loss 0.4835, logits_real -0.2104, logits_fake -0.2094,
Train Epoch: [1/5] Iters:[730/40036] gen_loss 1.1820, rec_loss 0.0457, lpips_loss 0.3052, g_loss 0.2085, disc_weight 0.4000, disc_adaptive_weight 3.9878, d_loss 0.4819, logits_real -0.2100, logits_fake -0.2086,
Train Epoch: [1/5] Iters:[740/40036] gen_loss 1.1924, rec_loss 0.0460, lpips_loss 0.3036, g_loss 0.2080, disc_weight 0.4000, disc_adaptive_weight 4.0518, d_loss 0.4804, logits_real -0.2094, logits_fake -0.2081,
Train Epoch: [1/5] Iters:[750/40036] gen_loss 1.2235, rec_loss 0.0471, lpips_loss 0.3036, g_loss 0.2074, disc_weight 0.4000, disc_adaptive_weight 4.2091, d_loss 0.4792, logits_real -0.2086, logits_fake -0.2076,
Train Epoch: [1/5] Iters:[760/40036] gen_loss 1.1912, rec_loss 0.0477, lpips_loss 0.3026, g_loss 0.2066, disc_weight 0.4000, disc_adaptive_weight 4.0705, d_loss 0.4777, logits_real -0.2081, logits_fake -0.2069,
Train Epoch: [1/5] Iters:[770/40036] gen_loss 1.2055, rec_loss 0.0480, lpips_loss 0.3026, g_loss 0.2063, disc_weight 0.4000, disc_adaptive_weight 4.1435, d_loss 0.4759, logits_real -0.2075, logits_fake -0.2066,
Train Epoch: [1/5] Iters:[780/40036] gen_loss 1.2453, rec_loss 0.0484, lpips_loss 0.3043, g_loss 0.2057, disc_weight 0.4000, disc_adaptive_weight 4.3400, d_loss 0.4747, logits_real -0.2067, logits_fake -0.2060,
Train Epoch: [1/5] Iters:[790/40036] gen_loss 1.2555, rec_loss 0.0484, lpips_loss 0.3026, g_loss 0.2050, disc_weight 0.4000, disc_adaptive_weight 4.4101, d_loss 0.4731, logits_real -0.2058, logits_fake -0.2053,
Train Epoch: [1/5] Iters:[800/40036] gen_loss 1.2466, rec_loss 0.0471, lpips_loss 0.3013, g_loss 0.2047, disc_weight 0.4000, disc_adaptive_weight 4.3876, d_loss 0.4716, logits_real -0.2054, logits_fake -0.2045,
Train Epoch: [1/5] Iters:[810/40036] gen_loss 1.2636, rec_loss 0.0459, lpips_loss 0.3006, g_loss 0.2044, disc_weight 0.4000, disc_adaptive_weight 4.4855, d_loss 0.4698, logits_real -0.2048, logits_fake -0.2041,
Train Epoch: [1/5] Iters:[820/40036] gen_loss 1.2568, rec_loss 0.0461, lpips_loss 0.3011, g_loss 0.2036, disc_weight 0.4000, disc_adaptive_weight 4.4656, d_loss 0.4689, logits_real -0.2044, logits_fake -0.2032,
Train Epoch: [1/5] Iters:[830/40036] gen_loss 1.1959, rec_loss 0.0458, lpips_loss 0.2996, g_loss 0.2032, disc_weight 0.4000, disc_adaptive_weight 4.1851, d_loss 0.4674, logits_real -0.2037, logits_fake -0.2030,
Train Epoch: [1/5] Iters:[840/40036] gen_loss 1.2407, rec_loss 0.0452, lpips_loss 0.3011, g_loss 0.2032, disc_weight 0.4000, disc_adaptive_weight 4.3999, d_loss 0.4666, logits_real -0.2038, logits_fake -0.2029,
Train Epoch: [1/5] Iters:[850/40036] gen_loss 1.2266, rec_loss 0.0448, lpips_loss 0.3015, g_loss 0.2026, disc_weight 0.4000, disc_adaptive_weight 4.3440, d_loss 0.4649, logits_real -0.2034, logits_fake -0.2025,
Train Epoch: [1/5] Iters:[860/40036] gen_loss 1.2670, rec_loss 0.0460, lpips_loss 0.3026, g_loss 0.2018, disc_weight 0.4000, disc_adaptive_weight 4.5493, d_loss 0.4645, logits_real -0.2031, logits_fake -0.2019,
Train Epoch: [1/5] Iters:[870/40036] gen_loss 1.2695, rec_loss 0.0462, lpips_loss 0.3031, g_loss 0.2010, disc_weight 0.4000, disc_adaptive_weight 4.5765, d_loss 0.4633, logits_real -0.2023, logits_fake -0.2014,
Train Epoch: [1/5] Iters:[880/40036] gen_loss 1.2438, rec_loss 0.0468, lpips_loss 0.3040, g_loss 0.2004, disc_weight 0.4000, disc_adaptive_weight 4.4513, d_loss 0.4622, logits_real -0.2019, logits_fake -0.2008,
Train Epoch: [1/5] Iters:[890/40036] gen_loss 1.2335, rec_loss 0.0471, lpips_loss 0.3054, g_loss 0.1996, disc_weight 0.4000, disc_adaptive_weight 4.4137, d_loss 0.4607, logits_real -0.2011, logits_fake -0.2001,
