dataset_dir: /projects/yuanai/data/
dataset_name: CelebAHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 16384
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.3
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
path: bc
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant3/checkpoint/Transplant/CelebAHQ
results_dir: /projects/yuanai/projects/VQ-Transplant3/results/Transplant/CelebAHQ
saver_dir: /projects/yuanai/projects/VQ-Transplant3/saver/Transplant/CelebAHQ
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant3/reconstruction/Transplant/CelebAHQ
yaml_dir: /projects/yuanai/projects/VQ-Transplant3/yaml/Transplant/CelebAHQ
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant3/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant3/checkpoint/
data_pre: CelebAHQ
model_pre: model_16384_16_1
loss_pre: loss_1.0_0.2_1.0_0.3
training_pre: wasserstein_vq_transplant_False
saver_name_pre: wasserstein_vq_transplant_False_CelebAHQ_model_16384_16_1_loss_1.0_0.2_1.0_0.3
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant3/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/468] transplant_loss 14.1097, rec_loss 0.7001, p_loss 0.8200, quant_error 1.1681, utilization 0.0478, perplexity 212.2041,
Train Epoch: [1/30] Iters:[20/468] transplant_loss 12.9067, rec_loss 0.4582, p_loss 0.7637, quant_error 0.8661, utilization 0.0436, perplexity 143.5435,
Train Epoch: [1/30] Iters:[30/468] transplant_loss 10.9814, rec_loss 0.3473, p_loss 0.7234, quant_error 0.7178, utilization 0.0533, perplexity 161.1720,
Train Epoch: [1/30] Iters:[40/468] transplant_loss 9.5047, rec_loss 0.2800, p_loss 0.6673, quant_error 0.6164, utilization 0.0750, perplexity 268.8144,
Train Epoch: [1/30] Iters:[50/468] transplant_loss 8.3544, rec_loss 0.2351, p_loss 0.6127, quant_error 0.5481, utilization 0.1147, perplexity 597.5560,
Train Epoch: [1/30] Iters:[60/468] transplant_loss 6.1663, rec_loss 0.1022, p_loss 0.5082, quant_error 0.3615, utilization 0.1784, perplexity 1240.7890,
Train Epoch: [1/30] Iters:[70/468] transplant_loss 4.4124, rec_loss 0.0642, p_loss 0.4172, quant_error 0.2928, utilization 0.2536, perplexity 2110.1095,
Train Epoch: [1/30] Iters:[80/468] transplant_loss 3.5365, rec_loss 0.0431, p_loss 0.3312, quant_error 0.2500, utilization 0.3311, perplexity 3144.4737,
Train Epoch: [1/30] Iters:[90/468] transplant_loss 3.0668, rec_loss 0.0311, p_loss 0.2703, quant_error 0.2301, utilization 0.4005, perplexity 4228.6062,
Train Epoch: [1/30] Iters:[100/468] transplant_loss 2.8943, rec_loss 0.0236, p_loss 0.2296, quant_error 0.2194, utilization 0.4477, perplexity 5147.7021,
Train Epoch: [1/30] Iters:[110/468] transplant_loss 2.8738, rec_loss 0.0200, p_loss 0.2080, quant_error 0.2195, utilization 0.4783, perplexity 5817.3008,
Train Epoch: [1/30] Iters:[120/468] transplant_loss 2.9060, rec_loss 0.0185, p_loss 0.1966, quant_error 0.2268, utilization 0.4985, perplexity 6281.6939,
Train Epoch: [1/30] Iters:[130/468] transplant_loss 2.9481, rec_loss 0.0185, p_loss 0.1935, quant_error 0.2395, utilization 0.5063, perplexity 6498.5208,
Train Epoch: [1/30] Iters:[140/468] transplant_loss 2.9606, rec_loss 0.0185, p_loss 0.1939, quant_error 0.2512, utilization 0.5008, perplexity 6435.2348,
Train Epoch: [1/30] Iters:[150/468] transplant_loss 2.9123, rec_loss 0.0184, p_loss 0.1935, quant_error 0.2574, utilization 0.4864, perplexity 6184.8804,
Train Epoch: [1/30] Iters:[160/468] transplant_loss 2.8110, rec_loss 0.0183, p_loss 0.1928, quant_error 0.2562, utilization 0.4719, perplexity 5916.5104,
Train Epoch: [1/30] Iters:[170/468] transplant_loss 2.6915, rec_loss 0.0179, p_loss 0.1906, quant_error 0.2481, utilization 0.4635, perplexity 5758.4516,
Train Epoch: [1/30] Iters:[180/468] transplant_loss 2.5930, rec_loss 0.0175, p_loss 0.1865, quant_error 0.2354, utilization 0.4639, perplexity 5755.6040,
Train Epoch: [1/30] Iters:[190/468] transplant_loss 2.5381, rec_loss 0.0173, p_loss 0.1833, quant_error 0.2234, utilization 0.4765, perplexity 5995.4714,
Train Epoch: [1/30] Iters:[200/468] transplant_loss 2.4896, rec_loss 0.0172, p_loss 0.1815, quant_error 0.2134, utilization 0.4953, perplexity 6346.0698,
Train Epoch: [1/30] Iters:[210/468] transplant_loss 2.4432, rec_loss 0.0172, p_loss 0.1802, quant_error 0.2081, utilization 0.5131, perplexity 6666.3226,
Train Epoch: [1/30] Iters:[220/468] transplant_loss 2.3867, rec_loss 0.0173, p_loss 0.1786, quant_error 0.2046, utilization 0.5253, perplexity 6865.7637,
Train Epoch: [1/30] Iters:[230/468] transplant_loss 2.3085, rec_loss 0.0172, p_loss 0.1783, quant_error 0.2022, utilization 0.5316, perplexity 6937.0355,
Train Epoch: [1/30] Iters:[240/468] transplant_loss 2.2138, rec_loss 0.0172, p_loss 0.1775, quant_error 0.2003, utilization 0.5331, perplexity 6906.5522,
Train Epoch: [1/30] Iters:[250/468] transplant_loss 2.1320, rec_loss 0.0173, p_loss 0.1775, quant_error 0.1997, utilization 0.5320, perplexity 6815.1567,
Train Epoch: [1/30] Iters:[260/468] transplant_loss 2.0544, rec_loss 0.0172, p_loss 0.1781, quant_error 0.1992, utilization 0.5288, perplexity 6699.0876,
Train Epoch: [1/30] Iters:[270/468] transplant_loss 1.9777, rec_loss 0.0170, p_loss 0.1783, quant_error 0.1987, utilization 0.5246, perplexity 6560.3558,
Train Epoch: [1/30] Iters:[280/468] transplant_loss 1.9182, rec_loss 0.0170, p_loss 0.1788, quant_error 0.1990, utilization 0.5198, perplexity 6432.8081,
Train Epoch: [1/30] Iters:[290/468] transplant_loss 1.8589, rec_loss 0.0169, p_loss 0.1788, quant_error 0.1976, utilization 0.5147, perplexity 6303.2031,
Train Epoch: [1/30] Iters:[300/468] transplant_loss 1.8032, rec_loss 0.0170, p_loss 0.1780, quant_error 0.1966, utilization 0.5108, perplexity 6219.1821,
Train Epoch: [1/30] Iters:[310/468] transplant_loss 1.7566, rec_loss 0.0171, p_loss 0.1762, quant_error 0.1949, utilization 0.5078, perplexity 6161.1514,
Train Epoch: [1/30] Iters:[320/468] transplant_loss 1.7278, rec_loss 0.0171, p_loss 0.1747, quant_error 0.1936, utilization 0.5049, perplexity 6120.4447,
Train Epoch: [1/30] Iters:[330/468] transplant_loss 1.7099, rec_loss 0.0170, p_loss 0.1740, quant_error 0.1919, utilization 0.5037, perplexity 6130.6874,
Train Epoch: [1/30] Iters:[340/468] transplant_loss 1.7037, rec_loss 0.0169, p_loss 0.1733, quant_error 0.1912, utilization 0.5040, perplexity 6174.5058,
Train Epoch: [1/30] Iters:[350/468] transplant_loss 1.7031, rec_loss 0.0167, p_loss 0.1732, quant_error 0.1908, utilization 0.5043, perplexity 6216.5827,
Train Epoch: [1/30] Iters:[360/468] transplant_loss 1.6998, rec_loss 0.0161, p_loss 0.1731, quant_error 0.1898, utilization 0.5049, perplexity 6274.1077,
Train Epoch: [1/30] Iters:[370/468] transplant_loss 1.7036, rec_loss 0.0160, p_loss 0.1736, quant_error 0.1892, utilization 0.5059, perplexity 6336.5509,
Train Epoch: [1/30] Iters:[380/468] transplant_loss 1.7078, rec_loss 0.0160, p_loss 0.1734, quant_error 0.1886, utilization 0.5067, perplexity 6389.3492,
Train Epoch: [1/30] Iters:[390/468] transplant_loss 1.7023, rec_loss 0.0158, p_loss 0.1726, quant_error 0.1868, utilization 0.5076, perplexity 6441.0741,
Train Epoch: [1/30] Iters:[400/468] transplant_loss 1.6993, rec_loss 0.0158, p_loss 0.1712, quant_error 0.1847, utilization 0.5088, perplexity 6500.3469,
Train Epoch: [1/30] Iters:[410/468] transplant_loss 1.6983, rec_loss 0.0161, p_loss 0.1702, quant_error 0.1833, utilization 0.5100, perplexity 6542.4592,
Train Epoch: [1/30] Iters:[420/468] transplant_loss 1.7010, rec_loss 0.0161, p_loss 0.1695, quant_error 0.1825, utilization 0.5120, perplexity 6611.8527,
Train Epoch: [1/30] Iters:[430/468] transplant_loss 1.6995, rec_loss 0.0159, p_loss 0.1685, quant_error 0.1812, utilization 0.5131, perplexity 6649.1003,
Train Epoch: [1/30] Iters:[440/468] transplant_loss 1.6940, rec_loss 0.0158, p_loss 0.1681, quant_error 0.1802, utilization 0.5140, perplexity 6685.6122,
Train Epoch: [1/30] Iters:[450/468] transplant_loss 1.6908, rec_loss 0.0155, p_loss 0.1677, quant_error 0.1794, utilization 0.5145, perplexity 6710.5252,
Train Epoch: [1/30] Iters:[460/468] transplant_loss 1.6964, rec_loss 0.0152, p_loss 0.1677, quant_error 0.1792, utilization 0.5157, perplexity 6751.9088,
epoch:2, cur_lr:0.000097
Train Epoch: [2/30] Iters:[10/468] transplant_loss 1.7079, rec_loss 0.0156, p_loss 0.1672, quant_error 0.1787, utilization 0.5191, perplexity 6883.1485,
Train Epoch: [2/30] Iters:[20/468] transplant_loss 1.6992, rec_loss 0.0159, p_loss 0.1666, quant_error 0.1788, utilization 0.5197, perplexity 6900.5018,
Train Epoch: [2/30] Iters:[30/468] transplant_loss 1.6966, rec_loss 0.0156, p_loss 0.1658, quant_error 0.1779, utilization 0.5194, perplexity 6890.6715,
Train Epoch: [2/30] Iters:[40/468] transplant_loss 1.6964, rec_loss 0.0156, p_loss 0.1649, quant_error 0.1771, utilization 0.5205, perplexity 6917.7655,
Train Epoch: [2/30] Iters:[50/468] transplant_loss 1.6938, rec_loss 0.0154, p_loss 0.1646, quant_error 0.1767, utilization 0.5204, perplexity 6914.4216,
Train Epoch: [2/30] Iters:[60/468] transplant_loss 1.6869, rec_loss 0.0152, p_loss 0.1639, quant_error 0.1755, utilization 0.5213, perplexity 6942.1532,
Train Epoch: [2/30] Iters:[70/468] transplant_loss 1.6852, rec_loss 0.0148, p_loss 0.1642, quant_error 0.1746, utilization 0.5221, perplexity 6962.8596,
Train Epoch: [2/30] Iters:[80/468] transplant_loss 1.6880, rec_loss 0.0148, p_loss 0.1644, quant_error 0.1741, utilization 0.5235, perplexity 7001.0476,
Train Epoch: [2/30] Iters:[90/468] transplant_loss 1.6852, rec_loss 0.0146, p_loss 0.1645, quant_error 0.1736, utilization 0.5244, perplexity 7027.9394,
Train Epoch: [2/30] Iters:[100/468] transplant_loss 1.6799, rec_loss 0.0145, p_loss 0.1643, quant_error 0.1722, utilization 0.5255, perplexity 7060.6707,
Train Epoch: [2/30] Iters:[110/468] transplant_loss 1.6819, rec_loss 0.0144, p_loss 0.1645, quant_error 0.1719, utilization 0.5261, perplexity 7075.9420,
