dataset_dir: /projects/yuanai/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 16384
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.3
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
path: bc
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant3/checkpoint/Transplant/FFHQ
results_dir: /projects/yuanai/projects/VQ-Transplant3/results/Transplant/FFHQ
saver_dir: /projects/yuanai/projects/VQ-Transplant3/saver/Transplant/FFHQ
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant3/reconstruction/Transplant/FFHQ
yaml_dir: /projects/yuanai/projects/VQ-Transplant3/yaml/Transplant/FFHQ
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant3/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant3/checkpoint/
data_pre: FFHQ
model_pre: model_16384_16_1
loss_pre: loss_1.0_0.2_1.0_0.3
training_pre: wasserstein_vq_transplant_False
saver_name_pre: wasserstein_vq_transplant_False_FFHQ_model_16384_16_1_loss_1.0_0.2_1.0_0.3
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant3/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/1093] transplant_loss 13.4920, rec_loss 0.6091, p_loss 0.8259, quant_error 1.1266, utilization 0.0484, perplexity 225.8556,
Train Epoch: [1/30] Iters:[20/1093] transplant_loss 12.5841, rec_loss 0.4087, p_loss 0.7688, quant_error 0.8492, utilization 0.0463, perplexity 156.6993,
Train Epoch: [1/30] Iters:[30/1093] transplant_loss 10.6057, rec_loss 0.3148, p_loss 0.7339, quant_error 0.7127, utilization 0.0583, perplexity 204.5442,
Train Epoch: [1/30] Iters:[40/1093] transplant_loss 9.1459, rec_loss 0.2574, p_loss 0.6844, quant_error 0.6227, utilization 0.0828, perplexity 364.3083,
Train Epoch: [1/30] Iters:[50/1093] transplant_loss 8.0638, rec_loss 0.2172, p_loss 0.6273, quant_error 0.5590, utilization 0.1264, perplexity 794.1690,
Train Epoch: [1/30] Iters:[60/1093] transplant_loss 6.0129, rec_loss 0.1025, p_loss 0.5219, quant_error 0.3857, utilization 0.1946, perplexity 1550.6370,
Train Epoch: [1/30] Iters:[70/1093] transplant_loss 4.2850, rec_loss 0.0660, p_loss 0.4276, quant_error 0.3200, utilization 0.2710, perplexity 2484.0507,
Train Epoch: [1/30] Iters:[80/1093] transplant_loss 3.5786, rec_loss 0.0452, p_loss 0.3376, quant_error 0.2804, utilization 0.3444, perplexity 3469.0123,
Train Epoch: [1/30] Iters:[90/1093] transplant_loss 3.3075, rec_loss 0.0325, p_loss 0.2711, quant_error 0.2600, utilization 0.4083, perplexity 4452.6327,
Train Epoch: [1/30] Iters:[100/1093] transplant_loss 3.2839, rec_loss 0.0256, p_loss 0.2316, quant_error 0.2504, utilization 0.4469, perplexity 5189.4183,
Train Epoch: [1/30] Iters:[110/1093] transplant_loss 3.3791, rec_loss 0.0227, p_loss 0.2119, quant_error 0.2526, utilization 0.4699, perplexity 5673.1327,
Train Epoch: [1/30] Iters:[120/1093] transplant_loss 3.4934, rec_loss 0.0218, p_loss 0.2047, quant_error 0.2614, utilization 0.4841, perplexity 5985.6749,
Train Epoch: [1/30] Iters:[130/1093] transplant_loss 3.5640, rec_loss 0.0215, p_loss 0.2035, quant_error 0.2744, utilization 0.4917, perplexity 6168.7422,
Train Epoch: [1/30] Iters:[140/1093] transplant_loss 3.5357, rec_loss 0.0213, p_loss 0.2039, quant_error 0.2862, utilization 0.4846, perplexity 6073.0854,
Train Epoch: [1/30] Iters:[150/1093] transplant_loss 3.4384, rec_loss 0.0214, p_loss 0.2037, quant_error 0.2922, utilization 0.4682, perplexity 5784.2579,
Train Epoch: [1/30] Iters:[160/1093] transplant_loss 3.2985, rec_loss 0.0213, p_loss 0.2021, quant_error 0.2906, utilization 0.4517, perplexity 5483.5853,
Train Epoch: [1/30] Iters:[170/1093] transplant_loss 3.1570, rec_loss 0.0208, p_loss 0.1981, quant_error 0.2814, utilization 0.4421, perplexity 5309.4552,
Train Epoch: [1/30] Iters:[180/1093] transplant_loss 3.0283, rec_loss 0.0203, p_loss 0.1930, quant_error 0.2661, utilization 0.4400, perplexity 5272.0228,
Train Epoch: [1/30] Iters:[190/1093] transplant_loss 2.9390, rec_loss 0.0202, p_loss 0.1896, quant_error 0.2502, utilization 0.4530, perplexity 5527.2727,
