dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.3
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
path: vector
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_256_8_2
loss_pre: loss_1.0_0.2_1.0_0.3
training_pre: wasserstein_vq_transplant_False
saver_name_pre: wasserstein_vq_transplant_False_ImageNet_model_256_8_2_loss_1.0_0.2_1.0_0.3
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant2/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 8.6440, rec_loss 0.3001, p_loss 0.8243, quant_error 1.1122, utilization 0.0680, perplexity 1764.6094,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 8.1270, rec_loss 0.2309, p_loss 0.7777, quant_error 0.9177, utilization 0.0661, perplexity 1463.8441,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 7.2406, rec_loss 0.1928, p_loss 0.7319, quant_error 0.7890, utilization 0.0768, perplexity 1953.2641,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 6.5754, rec_loss 0.1680, p_loss 0.6894, quant_error 0.7080, utilization 0.0880, perplexity 2704.6811,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 6.0220, rec_loss 0.1467, p_loss 0.6340, quant_error 0.6466, utilization 0.1004, perplexity 3655.4929,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 4.9237, rec_loss 0.0948, p_loss 0.5281, quant_error 0.4899, utilization 0.1207, perplexity 5134.0366,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 4.0177, rec_loss 0.0702, p_loss 0.4355, quant_error 0.4092, utilization 0.1432, perplexity 6887.8612,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 3.5923, rec_loss 0.0549, p_loss 0.3617, quant_error 0.3711, utilization 0.1598, perplexity 8362.2724,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 3.3834, rec_loss 0.0440, p_loss 0.3048, quant_error 0.3507, utilization 0.1733, perplexity 9564.2970,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 3.3128, rec_loss 0.0396, p_loss 0.2785, quant_error 0.3471, utilization 0.1823, perplexity 10381.4262,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 3.3805, rec_loss 0.0398, p_loss 0.2781, quant_error 0.3666, utilization 0.1878, perplexity 10870.0365,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 3.4162, rec_loss 0.0403, p_loss 0.2833, quant_error 0.3920, utilization 0.1915, perplexity 11162.7603,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 3.3668, rec_loss 0.0411, p_loss 0.2898, quant_error 0.4153, utilization 0.1932, perplexity 11222.5924,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 3.2217, rec_loss 0.0408, p_loss 0.2925, quant_error 0.4263, utilization 0.1914, perplexity 10983.0464,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 3.0742, rec_loss 0.0414, p_loss 0.2922, quant_error 0.4269, utilization 0.1888, perplexity 10619.5844,
