dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.5
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: ema_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 3
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: refinement
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Refinement/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Refinement/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Refinement/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Refinement/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Refinement/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/model.ckpt
checkpoint_name: checkpoint-ema_vq_transplant_False_ImageNet_model_65536_16_1_loss_1.0_1.0_0.0_0.2.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_65536_16_1
loss_pre: loss_1.0_1.0_0.0_0.5
training_pre: ema_vq_refinement_False
saver_name_pre: ema_vq_refinement_False_ImageNet_model_65536_16_1_loss_1.0_1.0_0.0_0.5
| distributed init (rank 1): env://
| distributed init (rank 0): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
VQ Model Parameters: 69609635
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss 0.3806, rec_loss 0.0416, lpips_loss 0.3390, g_loss 0.2029, disc_weight 0.0000, disc_adaptive_weight 4.8966, d_loss 0.0000, logits_real -0.1993, logits_fake -0.2070,
Train Epoch: [1/5] Iters:[20/20018] gen_loss 0.3755, rec_loss 0.0420, lpips_loss 0.3336, g_loss 0.2068, disc_weight 0.0000, disc_adaptive_weight 4.6527, d_loss 0.0000, logits_real -0.2059, logits_fake -0.2112,
Train Epoch: [1/5] Iters:[30/20018] gen_loss 0.3708, rec_loss 0.0406, lpips_loss 0.3303, g_loss 0.2073, disc_weight 0.0000, disc_adaptive_weight 4.4799, d_loss 0.0000, logits_real -0.2047, logits_fake -0.2099,
Train Epoch: [1/5] Iters:[40/20018] gen_loss 0.3699, rec_loss 0.0406, lpips_loss 0.3294, g_loss 0.2084, disc_weight 0.0000, disc_adaptive_weight 3.9586, d_loss 0.0000, logits_real -0.2065, logits_fake -0.2104,
Train Epoch: [1/5] Iters:[50/20018] gen_loss 0.3708, rec_loss 0.0406, lpips_loss 0.3302, g_loss 0.2083, disc_weight 0.0000, disc_adaptive_weight 3.7759, d_loss 0.0000, logits_real -0.2071, logits_fake -0.2098,
Train Epoch: [1/5] Iters:[60/20018] gen_loss 0.3651, rec_loss 0.0395, lpips_loss 0.3256, g_loss 0.2105, disc_weight 0.0000, disc_adaptive_weight 3.3395, d_loss 0.0000, logits_real -0.2086, logits_fake -0.2105,
Train Epoch: [1/5] Iters:[70/20018] gen_loss 0.3616, rec_loss 0.0382, lpips_loss 0.3234, g_loss 0.2105, disc_weight 0.0000, disc_adaptive_weight 3.0359, d_loss 0.0000, logits_real -0.2079, logits_fake -0.2098,
Train Epoch: [1/5] Iters:[80/20018] gen_loss 0.3617, rec_loss 0.0383, lpips_loss 0.3234, g_loss 0.2105, disc_weight 0.0000, disc_adaptive_weight 2.8297, d_loss 0.0000, logits_real -0.2092, logits_fake -0.2097,
Train Epoch: [1/5] Iters:[90/20018] gen_loss 0.3605, rec_loss 0.0380, lpips_loss 0.3226, g_loss 0.2111, disc_weight 0.0000, disc_adaptive_weight 2.9208, d_loss 0.0000, logits_real -0.2088, logits_fake -0.2104,
Train Epoch: [1/5] Iters:[100/20018] gen_loss 0.3584, rec_loss 0.0373, lpips_loss 0.3211, g_loss 0.2123, disc_weight 0.0000, disc_adaptive_weight 2.9077, d_loss 0.0000, logits_real -0.2092, logits_fake -0.2117,
Train Epoch: [1/5] Iters:[110/20018] gen_loss 0.3618, rec_loss 0.0379, lpips_loss 0.3239, g_loss 0.2113, disc_weight 0.0000, disc_adaptive_weight 3.0686, d_loss 0.0000, logits_real -0.2103, logits_fake -0.2116,
Train Epoch: [1/5] Iters:[120/20018] gen_loss 0.3622, rec_loss 0.0382, lpips_loss 0.3240, g_loss 0.2122, disc_weight 0.0000, disc_adaptive_weight 2.9800, d_loss 0.0000, logits_real -0.2116, logits_fake -0.2126,
