dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 32
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 16384
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: vanilla_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 2
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Refinement/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Refinement/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Refinement/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Refinement/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Refinement/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/model.ckpt
checkpoint_name: checkpoint-vanilla_vq_transplant_False_ImageNet_model_16384_16_1_loss_1.0_1.0_0.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 16
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_16384_16_1
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: vanilla_vq_refinement_False
saver_name_pre: vanilla_vq_refinement_False_ImageNet_model_16384_16_1_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
VQ Model Parameters: 69609635
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/40036] gen_loss 0.4892, rec_loss 0.0535, lpips_loss 0.4357, g_loss -0.1331, disc_weight 0.0000, disc_adaptive_weight 4.1771, codebook_loss 3.6947, utilization 0.0034, perplexity 47.9820, d_loss 0.0000, logits_real 0.1345, logits_fake 0.1296,
Train Epoch: [1/5] Iters:[20/40036] gen_loss 0.4878, rec_loss 0.0523, lpips_loss 0.4355, g_loss -0.1278, disc_weight 0.0000, disc_adaptive_weight 4.5137, codebook_loss 3.0944, utilization 0.0034, perplexity 48.8192, d_loss 0.0000, logits_real 0.1256, logits_fake 0.1251,
Train Epoch: [1/5] Iters:[30/40036] gen_loss 0.4961, rec_loss 0.0554, lpips_loss 0.4407, g_loss -0.1272, disc_weight 0.0000, disc_adaptive_weight 4.3327, codebook_loss 2.7002, utilization 0.0035, perplexity 48.7120, d_loss 0.0000, logits_real 0.1280, logits_fake 0.1261,
Train Epoch: [1/5] Iters:[40/40036] gen_loss 0.5027, rec_loss 0.0577, lpips_loss 0.4450, g_loss -0.1303, disc_weight 0.0000, disc_adaptive_weight 4.7816, codebook_loss 2.4065, utilization 0.0036, perplexity 47.7985, d_loss 0.0000, logits_real 0.1329, logits_fake 0.1297,
Train Epoch: [1/5] Iters:[50/40036] gen_loss 0.5105, rec_loss 0.0591, lpips_loss 0.4514, g_loss -0.1304, disc_weight 0.0000, disc_adaptive_weight 4.9723, codebook_loss 2.1769, utilization 0.0036, perplexity 46.2087, d_loss 0.0000, logits_real 0.1316, logits_fake 0.1302,
Train Epoch: [1/5] Iters:[60/40036] gen_loss 0.5203, rec_loss 0.0611, lpips_loss 0.4592, g_loss -0.1300, disc_weight 0.0000, disc_adaptive_weight 5.3997, codebook_loss 1.6510, utilization 0.0038, perplexity 43.5410, d_loss 0.0000, logits_real 0.1307, logits_fake 0.1307,
Train Epoch: [1/5] Iters:[70/40036] gen_loss 0.5360, rec_loss 0.0650, lpips_loss 0.4710, g_loss -0.1338, disc_weight 0.0000, disc_adaptive_weight 5.4645, codebook_loss 1.3467, utilization 0.0039, perplexity 40.0635, d_loss 0.0000, logits_real 0.1355, logits_fake 0.1348,
Train Epoch: [1/5] Iters:[80/40036] gen_loss 0.5474, rec_loss 0.0672, lpips_loss 0.4802, g_loss -0.1351, disc_weight 0.0000, disc_adaptive_weight 5.7582, codebook_loss 1.1406, utilization 0.0041, perplexity 36.3285, d_loss 0.0000, logits_real 0.1337, logits_fake 0.1346,
Train Epoch: [1/5] Iters:[90/40036] gen_loss 0.5568, rec_loss 0.0682, lpips_loss 0.4886, g_loss -0.1326, disc_weight 0.0000, disc_adaptive_weight 5.5630, codebook_loss 0.9919, utilization 0.0042, perplexity 32.7869, d_loss 0.0000, logits_real 0.1331, logits_fake 0.1329,
Train Epoch: [1/5] Iters:[100/40036] gen_loss 0.5666, rec_loss 0.0706, lpips_loss 0.4960, g_loss -0.1335, disc_weight 0.0000, disc_adaptive_weight 5.2370, codebook_loss 0.8926, utilization 0.0043, perplexity 30.1147, d_loss 0.0000, logits_real 0.1377, logits_fake 0.1338,
Train Epoch: [1/5] Iters:[110/40036] gen_loss 0.5748, rec_loss 0.0723, lpips_loss 0.5025, g_loss -0.1353, disc_weight 0.0000, disc_adaptive_weight 5.0387, codebook_loss 0.8248, utilization 0.0044, perplexity 28.3008, d_loss 0.0000, logits_real 0.1397, logits_fake 0.1356,
Train Epoch: [1/5] Iters:[120/40036] gen_loss 0.5743, rec_loss 0.0716, lpips_loss 0.5027, g_loss -0.1322, disc_weight 0.0000, disc_adaptive_weight 5.2863, codebook_loss 0.7714, utilization 0.0045, perplexity 26.7614, d_loss 0.0000, logits_real 0.1388, logits_fake 0.1336,
Train Epoch: [1/5] Iters:[130/40036] gen_loss 0.5753, rec_loss 0.0713, lpips_loss 0.5040, g_loss -0.1337, disc_weight 0.0000, disc_adaptive_weight 5.2039, codebook_loss 0.7289, utilization 0.0045, perplexity 25.5756, d_loss 0.0000, logits_real 0.1409, logits_fake 0.1358,
Train Epoch: [1/5] Iters:[140/40036] gen_loss 0.5748, rec_loss 0.0708, lpips_loss 0.5040, g_loss -0.1350, disc_weight 0.0000, disc_adaptive_weight 5.3193, codebook_loss 0.7068, utilization 0.0046, perplexity 24.8788, d_loss 0.0000, logits_real 0.1371, logits_fake 0.1359,
