dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 2
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Refinement/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Refinement/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Refinement/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Refinement/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Refinement/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/model.ckpt
checkpoint_name: checkpoint-wasserstein_vq_transplant_False_ImageNet_model_65536_16_1_loss_1.0_1.0_1.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_65536_16_1
loss_pre: loss_1.0_0.2_1.0_0.4
training_pre: wasserstein_vq_refinement_False
saver_name_pre: wasserstein_vq_refinement_False_ImageNet_model_65536_16_1_loss_1.0_0.2_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
VQ Model Parameters: 69609635
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss 0.3003, rec_loss 0.0291, lpips_loss 0.2712, g_loss 0.1995, disc_weight 0.0000, disc_adaptive_weight 3.7076, codebook_loss 0.8037, utilization 0.2071, perplexity 12410.0204, d_loss 0.0000, logits_real -0.1991, logits_fake -0.2000,
Train Epoch: [1/5] Iters:[20/20018] gen_loss 0.3050, rec_loss 0.0312, lpips_loss 0.2738, g_loss 0.2010, disc_weight 0.0000, disc_adaptive_weight 3.3537, codebook_loss 0.8218, utilization 0.2064, perplexity 12318.8380, d_loss 0.0000, logits_real -0.2009, logits_fake -0.2017,
Train Epoch: [1/5] Iters:[30/20018] gen_loss 0.3057, rec_loss 0.0310, lpips_loss 0.2747, g_loss 0.1998, disc_weight 0.0000, disc_adaptive_weight 3.2529, codebook_loss 0.8188, utilization 0.2063, perplexity 12337.3318, d_loss 0.0000, logits_real -0.1999, logits_fake -0.2005,
Train Epoch: [1/5] Iters:[40/20018] gen_loss 0.3069, rec_loss 0.0317, lpips_loss 0.2752, g_loss 0.2011, disc_weight 0.0000, disc_adaptive_weight 3.1570, codebook_loss 0.8158, utilization 0.2059, perplexity 12278.0921, d_loss 0.0000, logits_real -0.2018, logits_fake -0.2016,
Train Epoch: [1/5] Iters:[50/20018] gen_loss 0.3089, rec_loss 0.0322, lpips_loss 0.2767, g_loss 0.2037, disc_weight 0.0000, disc_adaptive_weight 3.0753, codebook_loss 0.8082, utilization 0.2061, perplexity 12319.2656, d_loss 0.0000, logits_real -0.2044, logits_fake -0.2040,
Train Epoch: [1/5] Iters:[60/20018] gen_loss 0.3077, rec_loss 0.0325, lpips_loss 0.2753, g_loss 0.2046, disc_weight 0.0000, disc_adaptive_weight 3.0891, codebook_loss 0.8023, utilization 0.2057, perplexity 12273.7086, d_loss 0.0000, logits_real -0.2044, logits_fake -0.2044,
Train Epoch: [1/5] Iters:[70/20018] gen_loss 0.3052, rec_loss 0.0318, lpips_loss 0.2733, g_loss 0.2032, disc_weight 0.0000, disc_adaptive_weight 3.0054, codebook_loss 0.7869, utilization 0.2056, perplexity 12266.0083, d_loss 0.0000, logits_real -0.2036, logits_fake -0.2032,
Train Epoch: [1/5] Iters:[80/20018] gen_loss 0.3045, rec_loss 0.0323, lpips_loss 0.2722, g_loss 0.2029, disc_weight 0.0000, disc_adaptive_weight 3.0340, codebook_loss 0.7737, utilization 0.2053, perplexity 12229.2610, d_loss 0.0000, logits_real -0.2031, logits_fake -0.2027,
Train Epoch: [1/5] Iters:[90/20018] gen_loss 0.3033, rec_loss 0.0321, lpips_loss 0.2711, g_loss 0.2020, disc_weight 0.0000, disc_adaptive_weight 3.2108, codebook_loss 0.7647, utilization 0.2054, perplexity 12254.8911, d_loss 0.0000, logits_real -0.2017, logits_fake -0.2025,
Train Epoch: [1/5] Iters:[100/20018] gen_loss 0.3004, rec_loss 0.0316, lpips_loss 0.2688, g_loss 0.1996, disc_weight 0.0000, disc_adaptive_weight 3.1992, codebook_loss 0.7614, utilization 0.2051, perplexity 12200.8581, d_loss 0.0000, logits_real -0.1988, logits_fake -0.2003,
Train Epoch: [1/5] Iters:[110/20018] gen_loss 0.3031, rec_loss 0.0323, lpips_loss 0.2708, g_loss 0.1996, disc_weight 0.0000, disc_adaptive_weight 3.0207, codebook_loss 0.7621, utilization 0.2052, perplexity 12206.1054, d_loss 0.0000, logits_real -0.2000, logits_fake -0.2008,
