dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 128
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: ema_vq
use_multiscale: True
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/model.ckpt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_4096_16_1
loss_pre: loss_1.0_1.0_0.0_0.2
training_pre: ema_vq_transplant_True
saver_name_pre: ema_vq_transplant_True_ImageNet_model_4096_16_1_loss_1.0_1.0_0.0_0.2
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
VQ Model Parameters: 69609635
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/10009] transplant_loss 8.2987, rec_loss 0.1506, quant_error 7.9699, utilization 0.3217, perplexity 757.1346,
Train Epoch: [1/2] Iters:[20/10009] transplant_loss 6.7443, rec_loss 0.1183, quant_error 6.2757, utilization 0.4277, perplexity 1062.3984,
Train Epoch: [1/2] Iters:[30/10009] transplant_loss 5.9198, rec_loss 0.1025, quant_error 5.2386, utilization 0.6162, perplexity 1800.2308,
Train Epoch: [1/2] Iters:[40/10009] transplant_loss 5.4132, rec_loss 0.0924, quant_error 4.5272, utilization 0.7121, perplexity 2274.8378,
Train Epoch: [1/2] Iters:[50/10009] transplant_loss 5.0769, rec_loss 0.0862, quant_error 4.0371, utilization 0.7697, perplexity 2546.4965,
Train Epoch: [1/2] Iters:[60/10009] transplant_loss 4.1500, rec_loss 0.0678, quant_error 2.8137, utilization 0.9053, perplexity 3102.1150,
Train Epoch: [1/2] Iters:[70/10009] transplant_loss 3.8327, rec_loss 0.0613, quant_error 2.2344, utilization 0.9986, perplexity 3518.4938,
Train Epoch: [1/2] Iters:[80/10009] transplant_loss 3.7201, rec_loss 0.0582, quant_error 1.9315, utilization 0.9999, perplexity 3531.8159,
Train Epoch: [1/2] Iters:[90/10009] transplant_loss 3.6921, rec_loss 0.0564, quant_error 1.7755, utilization 0.9999, perplexity 3440.0385,
Train Epoch: [1/2] Iters:[100/10009] transplant_loss 3.6995, rec_loss 0.0541, quant_error 1.6708, utilization 0.9999, perplexity 3350.2028,
Train Epoch: [1/2] Iters:[110/10009] transplant_loss 3.7355, rec_loss 0.0526, quant_error 1.6113, utilization 0.9999, perplexity 3264.2420,
Train Epoch: [1/2] Iters:[120/10009] transplant_loss 3.7856, rec_loss 0.0524, quant_error 1.5799, utilization 0.9999, perplexity 3183.4048,
Train Epoch: [1/2] Iters:[130/10009] transplant_loss 3.8105, rec_loss 0.0512, quant_error 1.5483, utilization 0.9998, perplexity 3110.0905,
Train Epoch: [1/2] Iters:[140/10009] transplant_loss 3.8381, rec_loss 0.0507, quant_error 1.5232, utilization 0.9998, perplexity 3048.0868,
Train Epoch: [1/2] Iters:[150/10009] transplant_loss 3.8608, rec_loss 0.0508, quant_error 1.5054, utilization 0.9998, perplexity 2992.4078,
Train Epoch: [1/2] Iters:[160/10009] transplant_loss 3.8655, rec_loss 0.0507, quant_error 1.4837, utilization 0.9997, perplexity 2943.1071,
Train Epoch: [1/2] Iters:[170/10009] transplant_loss 3.8747, rec_loss 0.0502, quant_error 1.4704, utilization 0.9997, perplexity 2904.1797,
