| distributed init (rank 1): env://
dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 16384
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.5
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: ema_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 3
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Transplant/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Transplant/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Transplant/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Transplant/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Transplant/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/model.ckpt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_16384_16_1
loss_pre: loss_1.0_1.0_0.0_0.5
training_pre: ema_vq_transplant_False
saver_name_pre: ema_vq_transplant_False_ImageNet_model_16384_16_1_loss_1.0_1.0_0.0_0.5
| distributed init (rank 0): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
VQ Model Parameters: 69609635
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 3.4871, rec_loss 0.0867, p_loss 0.4863, quant_error 1.4875, utilization 0.2350, perplexity 1933.0006,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 2.9337, rec_loss 0.0705, p_loss 0.4567, quant_error 1.2003, utilization 0.3150, perplexity 2914.2051,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 2.7142, rec_loss 0.0631, p_loss 0.4436, quant_error 1.0882, utilization 0.3477, perplexity 3411.7149,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 2.5947, rec_loss 0.0608, p_loss 0.4366, quant_error 1.0240, utilization 0.3656, perplexity 3698.7381,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 2.5198, rec_loss 0.0590, p_loss 0.4330, quant_error 0.9821, utilization 0.3780, perplexity 3931.6035,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 2.2621, rec_loss 0.0512, p_loss 0.4170, quant_error 0.8461, utilization 0.4164, perplexity 4512.9051,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 2.2195, rec_loss 0.0497, p_loss 0.4126, quant_error 0.8217, utilization 0.4230, perplexity 4707.9751,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 2.1958, rec_loss 0.0500, p_loss 0.4103, quant_error 0.8050, utilization 0.4270, perplexity 4823.5182,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 2.1828, rec_loss 0.0496, p_loss 0.4087, quant_error 0.7953, utilization 0.4297, perplexity 4917.2837,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 2.1684, rec_loss 0.0489, p_loss 0.4067, quant_error 0.7870, utilization 0.4312, perplexity 4967.0929,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 2.1614, rec_loss 0.0498, p_loss 0.4071, quant_error 0.7808, utilization 0.4330, perplexity 5029.3668,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 2.1571, rec_loss 0.0505, p_loss 0.4056, quant_error 0.7769, utilization 0.4342, perplexity 5064.1796,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 2.1540, rec_loss 0.0508, p_loss 0.4048, quant_error 0.7738, utilization 0.4351, perplexity 5083.6338,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 2.1390, rec_loss 0.0494, p_loss 0.4024, quant_error 0.7679, utilization 0.4345, perplexity 5067.7601,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 2.1372, rec_loss 0.0496, p_loss 0.4015, quant_error 0.7660, utilization 0.4347, perplexity 5076.6183,
Train Epoch: [1/2] Iters:[160/20018] transplant_loss 2.1285, rec_loss 0.0490, p_loss 0.3995, quant_error 0.7621, utilization 0.4343, perplexity 5061.6022,
Train Epoch: [1/2] Iters:[170/20018] transplant_loss 2.1228, rec_loss 0.0486, p_loss 0.4001, quant_error 0.7588, utilization 0.4344, perplexity 5075.6629,
