dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 65536
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: mmd_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 3
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Transplant/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Transplant/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Transplant/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Transplant/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Transplant/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/vq_ds16_c2i.pt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_65536_8_1
loss_pre: loss_1.0_1.0_1.0_0.4
training_pre: mmd_vq_transplant_False
saver_name_pre: mmd_vq_transplant_False_ImageNet_model_65536_8_1_loss_1.0_1.0_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
VQ Model Parameters: 71747971
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 3.3189, rec_loss 0.2871, p_loss 0.7477, quant_error 0.0523, utilization 0.0748, perplexity 2637.7094,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 3.0505, rec_loss 0.2739, p_loss 0.7338, quant_error 0.0458, utilization 0.0760, perplexity 2403.6489,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 2.7794, rec_loss 0.2477, p_loss 0.7124, quant_error 0.0412, utilization 0.0774, perplexity 2386.2487,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 2.5590, rec_loss 0.2255, p_loss 0.6859, quant_error 0.0379, utilization 0.0784, perplexity 2395.8310,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 2.3765, rec_loss 0.2064, p_loss 0.6610, quant_error 0.0353, utilization 0.0793, perplexity 2419.1664,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 2.0078, rec_loss 0.1716, p_loss 0.6151, quant_error 0.0295, utilization 0.0817, perplexity 2432.4379,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 1.7245, rec_loss 0.1403, p_loss 0.5692, quant_error 0.0260, utilization 0.0843, perplexity 2580.2474,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 1.5392, rec_loss 0.1216, p_loss 0.5304, quant_error 0.0237, utilization 0.0871, perplexity 2744.1157,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 1.4133, rec_loss 0.1098, p_loss 0.5017, quant_error 0.0221, utilization 0.0908, perplexity 2964.9257,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 1.3251, rec_loss 0.1023, p_loss 0.4794, quant_error 0.0209, utilization 0.0953, perplexity 3260.5917,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 1.2666, rec_loss 0.0981, p_loss 0.4638, quant_error 0.0198, utilization 0.1005, perplexity 3612.6274,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 1.2172, rec_loss 0.0947, p_loss 0.4493, quant_error 0.0188, utilization 0.1063, perplexity 4021.2676,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 1.1704, rec_loss 0.0911, p_loss 0.4354, quant_error 0.0179, utilization 0.1128, perplexity 4512.8125,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 1.1151, rec_loss 0.0858, p_loss 0.4196, quant_error 0.0170, utilization 0.1199, perplexity 5079.2771,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 1.0726, rec_loss 0.0826, p_loss 0.4057, quant_error 0.0161, utilization 0.1278, perplexity 5728.1371,
Train Epoch: [1/2] Iters:[160/20018] transplant_loss 1.0260, rec_loss 0.0786, p_loss 0.3909, quant_error 0.0152, utilization 0.1363, perplexity 6451.6042,
Train Epoch: [1/2] Iters:[170/20018] transplant_loss 0.9870, rec_loss 0.0752, p_loss 0.3795, quant_error 0.0145, utilization 0.1454, perplexity 7249.6385,
Train Epoch: [1/2] Iters:[180/20018] transplant_loss 0.9488, rec_loss 0.0722, p_loss 0.3664, quant_error 0.0137, utilization 0.1549, perplexity 8081.4355,
Train Epoch: [1/2] Iters:[190/20018] transplant_loss 0.9217, rec_loss 0.0706, p_loss 0.3572, quant_error 0.0130, utilization 0.1642, perplexity 8916.1471,
Train Epoch: [1/2] Iters:[200/20018] transplant_loss 0.8920, rec_loss 0.0684, p_loss 0.3475, quant_error 0.0123, utilization 0.1731, perplexity 9708.1971,
Train Epoch: [1/2] Iters:[210/20018] transplant_loss 0.8606, rec_loss 0.0661, p_loss 0.3370, quant_error 0.0116, utilization 0.1811, perplexity 10424.1382,
Train Epoch: [1/2] Iters:[220/20018] transplant_loss 0.8282, rec_loss 0.0635, p_loss 0.3270, quant_error 0.0109, utilization 0.1881, perplexity 11043.5353,
