dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 128
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: vanilla_vq
use_multiscale: True
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/model.ckpt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_4096_16_1
loss_pre: loss_1.0_1.0_0.0_0.2
training_pre: vanilla_vq_transplant_True
saver_name_pre: vanilla_vq_transplant_True_ImageNet_model_4096_16_1_loss_1.0_1.0_0.0_0.2
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
VQ Model Parameters: 69609635
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/10009] transplant_loss 16.6721, rec_loss 0.2174, quant_error 9.8286, utilization 0.1095, perplexity 100.4357,
Train Epoch: [1/2] Iters:[20/10009] transplant_loss 29.2541, rec_loss 0.1939, quant_error 9.0875, utilization 0.0673, perplexity 66.9677,
Train Epoch: [1/2] Iters:[30/10009] transplant_loss 43.1270, rec_loss 0.1824, quant_error 8.7594, utilization 0.0520, perplexity 54.9679,
Train Epoch: [1/2] Iters:[40/10009] transplant_loss 59.2136, rec_loss 0.1737, quant_error 8.5189, utilization 0.0439, perplexity 48.5314,
Train Epoch: [1/2] Iters:[50/10009] transplant_loss 81.2640, rec_loss 0.1671, quant_error 8.3422, utilization 0.0389, perplexity 44.4826,
Train Epoch: [1/2] Iters:[60/10009] transplant_loss 123.1488, rec_loss 0.1517, quant_error 7.8770, utilization 0.0208, perplexity 30.2052,
Train Epoch: [1/2] Iters:[70/10009] transplant_loss 161.4405, rec_loss 0.1445, quant_error 7.6593, utilization 0.0193, perplexity 29.3950,
Train Epoch: [1/2] Iters:[80/10009] transplant_loss 193.9613, rec_loss 0.1399, quant_error 7.4818, utilization 0.0185, perplexity 29.5553,
Train Epoch: [1/2] Iters:[90/10009] transplant_loss 231.7436, rec_loss 0.1378, quant_error 7.3641, utilization 0.0179, perplexity 30.2983,
Train Epoch: [1/2] Iters:[100/10009] transplant_loss 247.4217, rec_loss 0.1370, quant_error 7.2490, utilization 0.0173, perplexity 31.2672,
Train Epoch: [1/2] Iters:[110/10009] transplant_loss 260.7386, rec_loss 0.1365, quant_error 7.1661, utilization 0.0167, perplexity 32.4041,
Train Epoch: [1/2] Iters:[120/10009] transplant_loss 267.0861, rec_loss 0.1357, quant_error 7.0630, utilization 0.0162, perplexity 33.8563,
Train Epoch: [1/2] Iters:[130/10009] transplant_loss 270.9068, rec_loss 0.1343, quant_error 6.9535, utilization 0.0158, perplexity 35.1802,
Train Epoch: [1/2] Iters:[140/10009] transplant_loss 271.9132, rec_loss 0.1319, quant_error 6.8421, utilization 0.0155, perplexity 36.1460,
Train Epoch: [1/2] Iters:[150/10009] transplant_loss 277.5859, rec_loss 0.1300, quant_error 6.7431, utilization 0.0153, perplexity 37.1461,
Train Epoch: [1/2] Iters:[160/10009] transplant_loss 267.5648, rec_loss 0.1276, quant_error 6.6165, utilization 0.0152, perplexity 38.0106,
Train Epoch: [1/2] Iters:[170/10009] transplant_loss 288.0032, rec_loss 0.1262, quant_error 6.5741, utilization 0.0151, perplexity 38.1850,
Train Epoch: [1/2] Iters:[180/10009] transplant_loss 283.3232, rec_loss 0.1259, quant_error 6.5291, utilization 0.0151, perplexity 38.1947,
Train Epoch: [1/2] Iters:[190/10009] transplant_loss 281.9886, rec_loss 0.1263, quant_error 6.4788, utilization 0.0151, perplexity 38.5242,
Train Epoch: [1/2] Iters:[200/10009] transplant_loss 292.5791, rec_loss 0.1252, quant_error 6.4253, utilization 0.0151, perplexity 38.8843,
Train Epoch: [1/2] Iters:[210/10009] transplant_loss 289.1238, rec_loss 0.1253, quant_error 6.3974, utilization 0.0151, perplexity 38.6220,
Train Epoch: [1/2] Iters:[220/10009] transplant_loss 266.1813, rec_loss 0.1247, quant_error 6.3275, utilization 0.0151, perplexity 38.9304,
Train Epoch: [1/2] Iters:[230/10009] transplant_loss 285.3286, rec_loss 0.1219, quant_error 6.2463, utilization 0.0151, perplexity 39.2748,
Train Epoch: [1/2] Iters:[240/10009] transplant_loss 268.0140, rec_loss 0.1198, quant_error 6.1731, utilization 0.0151, perplexity 39.2837,
Train Epoch: [1/2] Iters:[250/10009] transplant_loss 251.5636, rec_loss 0.1185, quant_error 6.1129, utilization 0.0151, perplexity 38.9775,
Train Epoch: [1/2] Iters:[260/10009] transplant_loss 264.7635, rec_loss 0.1153, quant_error 6.0275, utilization 0.0151, perplexity 39.6700,
Train Epoch: [1/2] Iters:[270/10009] transplant_loss 259.3900, rec_loss 0.1142, quant_error 5.9677, utilization 0.0151, perplexity 39.9285,
Train Epoch: [1/2] Iters:[280/10009] transplant_loss 238.8139, rec_loss 0.1137, quant_error 5.9000, utilization 0.0151, perplexity 39.8531,
Train Epoch: [1/2] Iters:[290/10009] transplant_loss 245.0984, rec_loss 0.1129, quant_error 5.8418, utilization 0.0151, perplexity 40.0837,
Train Epoch: [1/2] Iters:[300/10009] transplant_loss 246.0934, rec_loss 0.1113, quant_error 5.7665, utilization 0.0150, perplexity 40.5724,
Train Epoch: [1/2] Iters:[310/10009] transplant_loss 227.1311, rec_loss 0.1129, quant_error 5.7366, utilization 0.0150, perplexity 40.3111,
Train Epoch: [1/2] Iters:[320/10009] transplant_loss 229.1410, rec_loss 0.1111, quant_error 5.6733, utilization 0.0150, perplexity 40.4489,
Train Epoch: [1/2] Iters:[330/10009] transplant_loss 227.4786, rec_loss 0.1097, quant_error 5.6230, utilization 0.0149, perplexity 40.9438,
Train Epoch: [1/2] Iters:[340/10009] transplant_loss 221.1760, rec_loss 0.1091, quant_error 5.5721, utilization 0.0149, perplexity 41.0127,
Train Epoch: [1/2] Iters:[350/10009] transplant_loss 217.5588, rec_loss 0.1089, quant_error 5.5226, utilization 0.0149, perplexity 41.0359,
Train Epoch: [1/2] Iters:[360/10009] transplant_loss 220.0201, rec_loss 0.1068, quant_error 5.4622, utilization 0.0149, perplexity 41.4304,
Train Epoch: [1/2] Iters:[370/10009] transplant_loss 215.8043, rec_loss 0.1071, quant_error 5.4236, utilization 0.0149, perplexity 41.4033,
Train Epoch: [1/2] Iters:[380/10009] transplant_loss 214.9110, rec_loss 0.1081, quant_error 5.4045, utilization 0.0149, perplexity 41.3438,
Train Epoch: [1/2] Iters:[390/10009] transplant_loss 214.0535, rec_loss 0.1067, quant_error 5.3674, utilization 0.0149, perplexity 41.3606,
Train Epoch: [1/2] Iters:[400/10009] transplant_loss 211.7452, rec_loss 0.1072, quant_error 5.3640, utilization 0.0149, perplexity 41.3242,
Train Epoch: [1/2] Iters:[410/10009] transplant_loss 213.5396, rec_loss 0.1071, quant_error 5.3418, utilization 0.0149, perplexity 41.3111,
Train Epoch: [1/2] Iters:[420/10009] transplant_loss 213.5537, rec_loss 0.1070, quant_error 5.3119, utilization 0.0149, perplexity 41.5803,
Train Epoch: [1/2] Iters:[430/10009] transplant_loss 212.1927, rec_loss 0.1057, quant_error 5.2665, utilization 0.0149, perplexity 41.4722,
Train Epoch: [1/2] Iters:[440/10009] transplant_loss 211.5233, rec_loss 0.1067, quant_error 5.2422, utilization 0.0149, perplexity 41.6913,
Train Epoch: [1/2] Iters:[450/10009] transplant_loss 204.4060, rec_loss 0.1055, quant_error 5.1911, utilization 0.0149, perplexity 41.9328,
Train Epoch: [1/2] Iters:[460/10009] transplant_loss 203.1728, rec_loss 0.1052, quant_error 5.1710, utilization 0.0149, perplexity 41.7942,
Train Epoch: [1/2] Iters:[470/10009] transplant_loss 201.8485, rec_loss 0.1044, quant_error 5.1433, utilization 0.0149, perplexity 41.7954,
Train Epoch: [1/2] Iters:[480/10009] transplant_loss 201.7069, rec_loss 0.1054, quant_error 5.1418, utilization 0.0149, perplexity 42.1101,
Train Epoch: [1/2] Iters:[490/10009] transplant_loss 201.3119, rec_loss 0.1040, quant_error 5.0975, utilization 0.0149, perplexity 42.2187,
Train Epoch: [1/2] Iters:[500/10009] transplant_loss 203.5942, rec_loss 0.1043, quant_error 5.0825, utilization 0.0149, perplexity 42.4348,
Train Epoch: [1/2] Iters:[510/10009] transplant_loss 199.5872, rec_loss 0.1036, quant_error 5.0446, utilization 0.0149, perplexity 42.8782,
Train Epoch: [1/2] Iters:[520/10009] transplant_loss 198.3581, rec_loss 0.1034, quant_error 5.0274, utilization 0.0149, perplexity 43.0306,
Train Epoch: [1/2] Iters:[530/10009] transplant_loss 196.8884, rec_loss 0.1028, quant_error 5.0065, utilization 0.0149, perplexity 43.2336,
Train Epoch: [1/2] Iters:[540/10009] transplant_loss 192.8258, rec_loss 0.1019, quant_error 4.9864, utilization 0.0149, perplexity 43.5338,
Train Epoch: [1/2] Iters:[550/10009] transplant_loss 190.8267, rec_loss 0.1009, quant_error 4.9465, utilization 0.0149, perplexity 43.5955,
Train Epoch: [1/2] Iters:[560/10009] transplant_loss 190.1314, rec_loss 0.1013, quant_error 4.9266, utilization 0.0149, perplexity 43.8781,
Train Epoch: [1/2] Iters:[570/10009] transplant_loss 185.1647, rec_loss 0.1018, quant_error 4.9180, utilization 0.0149, perplexity 44.1068,
Train Epoch: [1/2] Iters:[580/10009] transplant_loss 184.3029, rec_loss 0.1014, quant_error 4.8828, utilization 0.0149, perplexity 44.1688,
Train Epoch: [1/2] Iters:[590/10009] transplant_loss 185.6572, rec_loss 0.1020, quant_error 4.8788, utilization 0.0148, perplexity 44.2413,
Train Epoch: [1/2] Iters:[600/10009] transplant_loss 183.9965, rec_loss 0.1030, quant_error 4.8625, utilization 0.0148, perplexity 44.7039,
Train Epoch: [1/2] Iters:[610/10009] transplant_loss 182.7670, rec_loss 0.1017, quant_error 4.8296, utilization 0.0148, perplexity 44.7353,
