dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 32768
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: vanilla_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 3
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Transplant/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Transplant/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Transplant/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Transplant/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Transplant/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/vq_ds16_c2i.pt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_32768_8_1
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: vanilla_vq_transplant_False
saver_name_pre: vanilla_vq_transplant_False_ImageNet_model_32768_8_1_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
VQ Model Parameters: 71747971
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 5.4204, rec_loss 0.6491, p_loss 0.8335, quant_error 0.1217, utilization 0.3684, perplexity 10910.7682,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 4.3835, rec_loss 0.4471, p_loss 0.8218, quant_error 0.1201, utilization 0.3650, perplexity 10759.5468,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 3.9134, rec_loss 0.3627, p_loss 0.8047, quant_error 0.1171, utilization 0.3613, perplexity 10603.2479,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 3.5359, rec_loss 0.3107, p_loss 0.7761, quant_error 0.1081, utilization 0.3591, perplexity 10518.4021,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 3.1854, rec_loss 0.2696, p_loss 0.7456, quant_error 0.0967, utilization 0.3581, perplexity 10486.4745,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 2.3507, rec_loss 0.1561, p_loss 0.6675, quant_error 0.0778, utilization 0.3555, perplexity 10385.2361,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 1.8763, rec_loss 0.1192, p_loss 0.5753, quant_error 0.0581, utilization 0.3542, perplexity 10340.7963,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 1.4683, rec_loss 0.0919, p_loss 0.4880, quant_error 0.0397, utilization 0.3540, perplexity 10346.4007,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 1.1718, rec_loss 0.0723, p_loss 0.4162, quant_error 0.0271, utilization 0.3536, perplexity 10338.4169,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 0.9961, rec_loss 0.0620, p_loss 0.3575, quant_error 0.0206, utilization 0.3527, perplexity 10298.0465,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 0.9323, rec_loss 0.0571, p_loss 0.3358, quant_error 0.0188, utilization 0.3510, perplexity 10221.8129,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 0.9186, rec_loss 0.0559, p_loss 0.3314, quant_error 0.0185, utilization 0.3487, perplexity 10126.5190,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 0.9162, rec_loss 0.0557, p_loss 0.3309, quant_error 0.0185, utilization 0.3466, perplexity 10030.8265,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 0.9057, rec_loss 0.0541, p_loss 0.3289, quant_error 0.0185, utilization 0.3445, perplexity 9935.8909,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 0.9056, rec_loss 0.0541, p_loss 0.3285, quant_error 0.0185, utilization 0.3428, perplexity 9862.9473,
Train Epoch: [1/2] Iters:[160/20018] transplant_loss 0.9017, rec_loss 0.0536, p_loss 0.3271, quant_error 0.0186, utilization 0.3412, perplexity 9796.7613,
Train Epoch: [1/2] Iters:[170/20018] transplant_loss 0.9052, rec_loss 0.0540, p_loss 0.3284, quant_error 0.0187, utilization 0.3398, perplexity 9743.0312,
Train Epoch: [1/2] Iters:[180/20018] transplant_loss 0.9004, rec_loss 0.0533, p_loss 0.3266, quant_error 0.0188, utilization 0.3384, perplexity 9687.8402,
Train Epoch: [1/2] Iters:[190/20018] transplant_loss 0.9064, rec_loss 0.0541, p_loss 0.3280, quant_error 0.0188, utilization 0.3371, perplexity 9638.6279,
Train Epoch: [1/2] Iters:[200/20018] transplant_loss 0.9123, rec_loss 0.0551, p_loss 0.3286, quant_error 0.0189, utilization 0.3355, perplexity 9573.7598,
Train Epoch: [1/2] Iters:[210/20018] transplant_loss 0.9076, rec_loss 0.0544, p_loss 0.3273, quant_error 0.0190, utilization 0.3341, perplexity 9511.8884,
Train Epoch: [1/2] Iters:[220/20018] transplant_loss 0.9051, rec_loss 0.0540, p_loss 0.3268, quant_error 0.0190, utilization 0.3329, perplexity 9460.4052,
Train Epoch: [1/2] Iters:[230/20018] transplant_loss 0.9101, rec_loss 0.0547, p_loss 0.3284, quant_error 0.0191, utilization 0.3317, perplexity 9406.4072,
Train Epoch: [1/2] Iters:[240/20018] transplant_loss 0.9147, rec_loss 0.0553, p_loss 0.3296, quant_error 0.0191, utilization 0.3310, perplexity 9375.6192,
Train Epoch: [1/2] Iters:[250/20018] transplant_loss 0.9058, rec_loss 0.0536, p_loss 0.3287, quant_error 0.0192, utilization 0.3300, perplexity 9324.4161,
Train Epoch: [1/2] Iters:[260/20018] transplant_loss 0.9089, rec_loss 0.0538, p_loss 0.3302, quant_error 0.0193, utilization 0.3290, perplexity 9280.7533,
Train Epoch: [1/2] Iters:[270/20018] transplant_loss 0.9068, rec_loss 0.0535, p_loss 0.3298, quant_error 0.0193, utilization 0.3280, perplexity 9233.1280,
Train Epoch: [1/2] Iters:[280/20018] transplant_loss 0.9035, rec_loss 0.0529, p_loss 0.3294, quant_error 0.0194, utilization 0.3269, perplexity 9184.7001,
Train Epoch: [1/2] Iters:[290/20018] transplant_loss 0.9007, rec_loss 0.0526, p_loss 0.3281, quant_error 0.0194, utilization 0.3254, perplexity 9111.9706,
Train Epoch: [1/2] Iters:[300/20018] transplant_loss 0.9082, rec_loss 0.0537, p_loss 0.3296, quant_error 0.0195, utilization 0.3246, perplexity 9070.1656,
Train Epoch: [1/2] Iters:[310/20018] transplant_loss 0.9066, rec_loss 0.0533, p_loss 0.3303, quant_error 0.0195, utilization 0.3239, perplexity 9039.5955,
Train Epoch: [1/2] Iters:[320/20018] transplant_loss 0.9133, rec_loss 0.0543, p_loss 0.3319, quant_error 0.0195, utilization 0.3231, perplexity 9000.5477,
Train Epoch: [1/2] Iters:[330/20018] transplant_loss 0.9154, rec_loss 0.0545, p_loss 0.3335, quant_error 0.0196, utilization 0.3227, perplexity 8978.4038,
Train Epoch: [1/2] Iters:[340/20018] transplant_loss 0.9113, rec_loss 0.0538, p_loss 0.3327, quant_error 0.0196, utilization 0.3222, perplexity 8955.6281,
Train Epoch: [1/2] Iters:[350/20018] transplant_loss 0.9078, rec_loss 0.0530, p_loss 0.3335, quant_error 0.0196, utilization 0.3214, perplexity 8921.0318,
Train Epoch: [1/2] Iters:[360/20018] transplant_loss 0.9108, rec_loss 0.0536, p_loss 0.3337, quant_error 0.0197, utilization 0.3207, perplexity 8885.2588,
Train Epoch: [1/2] Iters:[370/20018] transplant_loss 0.9061, rec_loss 0.0527, p_loss 0.3334, quant_error 0.0197, utilization 0.3201, perplexity 8849.6080,
Train Epoch: [1/2] Iters:[380/20018] transplant_loss 0.9106, rec_loss 0.0537, p_loss 0.3330, quant_error 0.0197, utilization 0.3192, perplexity 8811.6017,
Train Epoch: [1/2] Iters:[390/20018] transplant_loss 0.9160, rec_loss 0.0541, p_loss 0.3360, quant_error 0.0198, utilization 0.3188, perplexity 8786.3576,
Train Epoch: [1/2] Iters:[400/20018] transplant_loss 0.9145, rec_loss 0.0544, p_loss 0.3333, quant_error 0.0198, utilization 0.3182, perplexity 8753.2572,
Train Epoch: [1/2] Iters:[410/20018] transplant_loss 0.9114, rec_loss 0.0540, p_loss 0.3325, quant_error 0.0198, utilization 0.3175, perplexity 8722.2657,
Train Epoch: [1/2] Iters:[420/20018] transplant_loss 0.9103, rec_loss 0.0538, p_loss 0.3326, quant_error 0.0198, utilization 0.3169, perplexity 8693.4406,
Train Epoch: [1/2] Iters:[430/20018] transplant_loss 0.9017, rec_loss 0.0523, p_loss 0.3320, quant_error 0.0198, utilization 0.3164, perplexity 8670.4966,
Train Epoch: [1/2] Iters:[440/20018] transplant_loss 0.9026, rec_loss 0.0527, p_loss 0.3310, quant_error 0.0199, utilization 0.3156, perplexity 8639.4943,
Train Epoch: [1/2] Iters:[450/20018] transplant_loss 0.9013, rec_loss 0.0522, p_loss 0.3324, quant_error 0.0199, utilization 0.3153, perplexity 8623.2658,
Train Epoch: [1/2] Iters:[460/20018] transplant_loss 0.9025, rec_loss 0.0525, p_loss 0.3326, quant_error 0.0199, utilization 0.3145, perplexity 8588.5804,
Train Epoch: [1/2] Iters:[470/20018] transplant_loss 0.9029, rec_loss 0.0524, p_loss 0.3337, quant_error 0.0199, utilization 0.3140, perplexity 8563.4502,
Train Epoch: [1/2] Iters:[480/20018] transplant_loss 0.9038, rec_loss 0.0526, p_loss 0.3341, quant_error 0.0199, utilization 0.3131, perplexity 8523.2963,
Train Epoch: [1/2] Iters:[490/20018] transplant_loss 0.8962, rec_loss 0.0512, p_loss 0.3338, quant_error 0.0199, utilization 0.3123, perplexity 8480.5886,
Train Epoch: [1/2] Iters:[500/20018] transplant_loss 0.8973, rec_loss 0.0516, p_loss 0.3335, quant_error 0.0199, utilization 0.3114, perplexity 8438.6235,
