| distributed init (rank 1): env://
dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 16384
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 3
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Transplant/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Transplant/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Transplant/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Transplant/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Transplant/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/vq_ds16_c2i.pt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_16384_8_1
loss_pre: loss_1.0_1.0_1.0_0.4
training_pre: wasserstein_vq_transplant_False
saver_name_pre: wasserstein_vq_transplant_False_ImageNet_model_16384_8_1_loss_1.0_1.0_1.0_0.4
| distributed init (rank 0): env://
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
VQ Model Parameters: 71747971
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 3.8880, rec_loss 0.3224, p_loss 0.8484, quant_error 0.0934, utilization 0.3606, perplexity 4240.1410,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 3.2079, rec_loss 0.2369, p_loss 0.7597, quant_error 0.0829, utilization 0.3721, perplexity 4458.8539,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 2.7425, rec_loss 0.1906, p_loss 0.6962, quant_error 0.0685, utilization 0.3825, perplexity 4678.1700,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 2.3917, rec_loss 0.1621, p_loss 0.6205, quant_error 0.0570, utilization 0.3914, perplexity 4860.9021,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 2.1489, rec_loss 0.1422, p_loss 0.5662, quant_error 0.0492, utilization 0.3994, perplexity 5024.3920,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 1.5812, rec_loss 0.0882, p_loss 0.4579, quant_error 0.0337, utilization 0.4152, perplexity 5339.1321,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 1.2776, rec_loss 0.0677, p_loss 0.3843, quant_error 0.0221, utilization 0.4285, perplexity 5606.6649,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 1.1122, rec_loss 0.0579, p_loss 0.3292, quant_error 0.0166, utilization 0.4405, perplexity 5831.6181,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 1.0360, rec_loss 0.0520, p_loss 0.3085, quant_error 0.0145, utilization 0.4518, perplexity 6042.3402,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 0.9904, rec_loss 0.0486, p_loss 0.2970, quant_error 0.0131, utilization 0.4623, perplexity 6231.1935,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 0.9763, rec_loss 0.0485, p_loss 0.2956, quant_error 0.0121, utilization 0.4727, perplexity 6416.0690,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 0.9597, rec_loss 0.0479, p_loss 0.2915, quant_error 0.0114, utilization 0.4823, perplexity 6586.5604,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 0.9512, rec_loss 0.0476, p_loss 0.2909, quant_error 0.0108, utilization 0.4908, perplexity 6733.0466,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 0.9383, rec_loss 0.0465, p_loss 0.2887, quant_error 0.0104, utilization 0.4979, perplexity 6852.5505,
