dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 32
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: ema_vq
use_multiscale: True
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/model.ckpt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 16
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_4096_16_1
loss_pre: loss_1.0_1.0_0.0_0.2
training_pre: ema_vq_transplant_True
saver_name_pre: ema_vq_transplant_True_ImageNet_model_4096_16_1_loss_1.0_1.0_0.0_0.2
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
VQ Model Parameters: 69609635
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/40036] transplant_loss 3.2355, rec_loss 0.1360, quant_error 2.5577, utilization 0.2485, perplexity 597.6898,
Train Epoch: [1/2] Iters:[20/40036] transplant_loss 2.6789, rec_loss 0.1022, quant_error 1.9869, utilization 0.3263, perplexity 844.1218,
Train Epoch: [1/2] Iters:[30/40036] transplant_loss 2.4267, rec_loss 0.0877, quant_error 1.6475, utilization 0.5291, perplexity 1492.1419,
Train Epoch: [1/2] Iters:[40/40036] transplant_loss 2.3038, rec_loss 0.0802, quant_error 1.4311, utilization 0.6351, perplexity 1864.9601,
Train Epoch: [1/2] Iters:[50/40036] transplant_loss 2.2124, rec_loss 0.0745, quant_error 1.2848, utilization 0.6959, perplexity 2056.3801,
Train Epoch: [1/2] Iters:[60/40036] transplant_loss 1.9062, rec_loss 0.0570, quant_error 0.9055, utilization 0.8282, perplexity 2446.5222,
Train Epoch: [1/2] Iters:[70/40036] transplant_loss 1.8127, rec_loss 0.0539, quant_error 0.7477, utilization 0.9267, perplexity 2716.9094,
Train Epoch: [1/2] Iters:[80/40036] transplant_loss 1.7730, rec_loss 0.0534, quant_error 0.6834, utilization 0.9190, perplexity 2648.2592,
Train Epoch: [1/2] Iters:[90/40036] transplant_loss 1.7173, rec_loss 0.0523, quant_error 0.6506, utilization 0.9049, perplexity 2523.8087,
Train Epoch: [1/2] Iters:[100/40036] transplant_loss 1.6895, rec_loss 0.0530, quant_error 0.6350, utilization 0.8929, perplexity 2431.4274,
Train Epoch: [1/2] Iters:[110/40036] transplant_loss 1.6844, rec_loss 0.0533, quant_error 0.6262, utilization 0.8848, perplexity 2378.6031,
Train Epoch: [1/2] Iters:[120/40036] transplant_loss 1.6911, rec_loss 0.0530, quant_error 0.6260, utilization 0.8807, perplexity 2354.9133,
Train Epoch: [1/2] Iters:[130/40036] transplant_loss 1.6744, rec_loss 0.0521, quant_error 0.6200, utilization 0.8729, perplexity 2304.3555,
Train Epoch: [1/2] Iters:[140/40036] transplant_loss 1.6593, rec_loss 0.0503, quant_error 0.6099, utilization 0.8694, perplexity 2280.3974,
Train Epoch: [1/2] Iters:[150/40036] transplant_loss 1.6485, rec_loss 0.0497, quant_error 0.6024, utilization 0.8660, perplexity 2253.8785,
Train Epoch: [1/2] Iters:[160/40036] transplant_loss 1.6303, rec_loss 0.0499, quant_error 0.5948, utilization 0.8620, perplexity 2224.0385,
Train Epoch: [1/2] Iters:[170/40036] transplant_loss 1.6248, rec_loss 0.0508, quant_error 0.5903, utilization 0.8583, perplexity 2197.9176,
Train Epoch: [1/2] Iters:[180/40036] transplant_loss 1.6218, rec_loss 0.0498, quant_error 0.5794, utilization 0.8591, perplexity 2203.0680,
Train Epoch: [1/2] Iters:[190/40036] transplant_loss 1.6219, rec_loss 0.0512, quant_error 0.5828, utilization 0.8552, perplexity 2176.9463,
Train Epoch: [1/2] Iters:[200/40036] transplant_loss 1.6113, rec_loss 0.0502, quant_error 0.5776, utilization 0.8539, perplexity 2166.5750,
Train Epoch: [1/2] Iters:[210/40036] transplant_loss 1.6178, rec_loss 0.0509, quant_error 0.5745, utilization 0.8549, perplexity 2174.6928,
Train Epoch: [1/2] Iters:[220/40036] transplant_loss 1.6230, rec_loss 0.0501, quant_error 0.5728, utilization 0.8533, perplexity 2168.3385,
Train Epoch: [1/2] Iters:[230/40036] transplant_loss 1.6108, rec_loss 0.0503, quant_error 0.5711, utilization 0.8503, perplexity 2146.0128,
Train Epoch: [1/2] Iters:[240/40036] transplant_loss 1.6139, rec_loss 0.0500, quant_error 0.5655, utilization 0.8504, perplexity 2152.6272,
Train Epoch: [1/2] Iters:[250/40036] transplant_loss 1.6135, rec_loss 0.0512, quant_error 0.5651, utilization 0.8484, perplexity 2139.4595,
Train Epoch: [1/2] Iters:[260/40036] transplant_loss 1.6126, rec_loss 0.0505, quant_error 0.5625, utilization 0.8480, perplexity 2137.7070,
Train Epoch: [1/2] Iters:[270/40036] transplant_loss 1.5757, rec_loss 0.0490, quant_error 0.5496, utilization 0.8451, perplexity 2119.0403,
Train Epoch: [1/2] Iters:[280/40036] transplant_loss 1.5683, rec_loss 0.0486, quant_error 0.5450, utilization 0.8441, perplexity 2115.8383,
Train Epoch: [1/2] Iters:[290/40036] transplant_loss 1.5661, rec_loss 0.0483, quant_error 0.5408, utilization 0.8442, perplexity 2111.6494,
Train Epoch: [1/2] Iters:[300/40036] transplant_loss 1.5498, rec_loss 0.0471, quant_error 0.5315, utilization 0.8442, perplexity 2110.8795,
Train Epoch: [1/2] Iters:[310/40036] transplant_loss 1.5313, rec_loss 0.0466, quant_error 0.5282, utilization 0.8415, perplexity 2092.3956,
Train Epoch: [1/2] Iters:[320/40036] transplant_loss 1.5528, rec_loss 0.0480, quant_error 0.5297, utilization 0.8446, perplexity 2108.8124,
Train Epoch: [1/2] Iters:[330/40036] transplant_loss 1.5486, rec_loss 0.0492, quant_error 0.5344, utilization 0.8425, perplexity 2096.6308,
Train Epoch: [1/2] Iters:[340/40036] transplant_loss 1.5470, rec_loss 0.0491, quant_error 0.5346, utilization 0.8431, perplexity 2103.2355,
Train Epoch: [1/2] Iters:[350/40036] transplant_loss 1.5641, rec_loss 0.0497, quant_error 0.5418, utilization 0.8429, perplexity 2105.9348,
Train Epoch: [1/2] Iters:[360/40036] transplant_loss 1.5726, rec_loss 0.0496, quant_error 0.5434, utilization 0.8454, perplexity 2121.8435,
Train Epoch: [1/2] Iters:[370/40036] transplant_loss 1.5580, rec_loss 0.0489, quant_error 0.5445, utilization 0.8439, perplexity 2108.6478,
Train Epoch: [1/2] Iters:[380/40036] transplant_loss 1.5637, rec_loss 0.0476, quant_error 0.5397, utilization 0.8466, perplexity 2125.5595,
Train Epoch: [1/2] Iters:[390/40036] transplant_loss 1.5483, rec_loss 0.0473, quant_error 0.5319, utilization 0.8464, perplexity 2122.9734,
Train Epoch: [1/2] Iters:[400/40036] transplant_loss 1.5422, rec_loss 0.0482, quant_error 0.5305, utilization 0.8465, perplexity 2123.4246,
Train Epoch: [1/2] Iters:[410/40036] transplant_loss 1.5270, rec_loss 0.0476, quant_error 0.5235, utilization 0.8442, perplexity 2108.6621,
Train Epoch: [1/2] Iters:[420/40036] transplant_loss 1.5325, rec_loss 0.0478, quant_error 0.5204, utilization 0.8458, perplexity 2123.2375,
Train Epoch: [1/2] Iters:[430/40036] transplant_loss 1.5388, rec_loss 0.0483, quant_error 0.5196, utilization 0.8456, perplexity 2124.2030,
Train Epoch: [1/2] Iters:[440/40036] transplant_loss 1.5421, rec_loss 0.0489, quant_error 0.5270, utilization 0.8440, perplexity 2116.2374,
Train Epoch: [1/2] Iters:[450/40036] transplant_loss 1.5346, rec_loss 0.0473, quant_error 0.5218, utilization 0.8443, perplexity 2114.7981,
Train Epoch: [1/2] Iters:[460/40036] transplant_loss 1.5460, rec_loss 0.0479, quant_error 0.5238, utilization 0.8460, perplexity 2124.8321,
Train Epoch: [1/2] Iters:[470/40036] transplant_loss 1.5410, rec_loss 0.0480, quant_error 0.5192, utilization 0.8447, perplexity 2117.1898,
Train Epoch: [1/2] Iters:[480/40036] transplant_loss 1.5316, rec_loss 0.0481, quant_error 0.5185, utilization 0.8436, perplexity 2108.9843,
Train Epoch: [1/2] Iters:[490/40036] transplant_loss 1.5311, rec_loss 0.0478, quant_error 0.5130, utilization 0.8439, perplexity 2106.4788,
Train Epoch: [1/2] Iters:[500/40036] transplant_loss 1.5243, rec_loss 0.0469, quant_error 0.5121, utilization 0.8443, perplexity 2108.7894,
Train Epoch: [1/2] Iters:[510/40036] transplant_loss 1.5046, rec_loss 0.0454, quant_error 0.5056, utilization 0.8427, perplexity 2101.2723,
Train Epoch: [1/2] Iters:[520/40036] transplant_loss 1.5054, rec_loss 0.0456, quant_error 0.5092, utilization 0.8430, perplexity 2101.1681,
Train Epoch: [1/2] Iters:[530/40036] transplant_loss 1.5047, rec_loss 0.0445, quant_error 0.5060, utilization 0.8433, perplexity 2105.8658,
Train Epoch: [1/2] Iters:[540/40036] transplant_loss 1.5064, rec_loss 0.0447, quant_error 0.5074, utilization 0.8431, perplexity 2106.3507,
Train Epoch: [1/2] Iters:[550/40036] transplant_loss 1.5075, rec_loss 0.0455, quant_error 0.5047, utilization 0.8427, perplexity 2103.9367,
Train Epoch: [1/2] Iters:[560/40036] transplant_loss 1.5134, rec_loss 0.0460, quant_error 0.5054, utilization 0.8426, perplexity 2104.0684,
Train Epoch: [1/2] Iters:[570/40036] transplant_loss 1.5164, rec_loss 0.0467, quant_error 0.5054, utilization 0.8417, perplexity 2101.8206,
Train Epoch: [1/2] Iters:[580/40036] transplant_loss 1.5036, rec_loss 0.0460, quant_error 0.5015, utilization 0.8425, perplexity 2103.9249,
Train Epoch: [1/2] Iters:[590/40036] transplant_loss 1.5075, rec_loss 0.0463, quant_error 0.5037, utilization 0.8430, perplexity 2107.2121,
Train Epoch: [1/2] Iters:[600/40036] transplant_loss 1.5124, rec_loss 0.0468, quant_error 0.5046, utilization 0.8431, perplexity 2109.6377,
Train Epoch: [1/2] Iters:[610/40036] transplant_loss 1.5076, rec_loss 0.0462, quant_error 0.5033, utilization 0.8425, perplexity 2108.3556,
Train Epoch: [1/2] Iters:[620/40036] transplant_loss 1.4892, rec_loss 0.0449, quant_error 0.4975, utilization 0.8423, perplexity 2107.7951,
Train Epoch: [1/2] Iters:[630/40036] transplant_loss 1.5095, rec_loss 0.0468, quant_error 0.5018, utilization 0.8422, perplexity 2110.0677,
Train Epoch: [1/2] Iters:[640/40036] transplant_loss 1.4998, rec_loss 0.0466, quant_error 0.4946, utilization 0.8420, perplexity 2109.9961,
Train Epoch: [1/2] Iters:[650/40036] transplant_loss 1.4938, rec_loss 0.0458, quant_error 0.4913, utilization 0.8428, perplexity 2115.5491,
Train Epoch: [1/2] Iters:[660/40036] transplant_loss 1.5027, rec_loss 0.0476, quant_error 0.4957, utilization 0.8434, perplexity 2120.0986,
