dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 128
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8
max_patch_size: 8
codebook_size: 16384
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: ema_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/model.ckpt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_16384_16_1
loss_pre: loss_1.0_1.0_0.0_0.2
training_pre: ema_vq_transplant_False
saver_name_pre: ema_vq_transplant_False_ImageNet_model_16384_16_1_loss_1.0_1.0_0.0_0.2
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
VQ Model Parameters: 69609635
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/10009] transplant_loss 12.1498, rec_loss 0.0928, quant_error 4.0374, utilization 0.4668, perplexity 4206.0886,
Train Epoch: [1/2] Iters:[20/10009] transplant_loss 9.8542, rec_loss 0.0757, quant_error 3.2186, utilization 0.5614, perplexity 5763.0169,
Train Epoch: [1/2] Iters:[30/10009] transplant_loss 8.9847, rec_loss 0.0695, quant_error 2.8897, utilization 0.6031, perplexity 6594.2707,
Train Epoch: [1/2] Iters:[40/10009] transplant_loss 8.5342, rec_loss 0.0660, quant_error 2.7000, utilization 0.6278, perplexity 7082.4610,
Train Epoch: [1/2] Iters:[50/10009] transplant_loss 8.3040, rec_loss 0.0643, quant_error 2.5815, utilization 0.6450, perplexity 7445.9631,
Train Epoch: [1/2] Iters:[60/10009] transplant_loss 7.3797, rec_loss 0.0574, quant_error 2.1903, utilization 0.6947, perplexity 8386.8826,
Train Epoch: [1/2] Iters:[70/10009] transplant_loss 7.3706, rec_loss 0.0568, quant_error 2.1182, utilization 0.7070, perplexity 8725.0659,
Train Epoch: [1/2] Iters:[80/10009] transplant_loss 7.4433, rec_loss 0.0567, quant_error 2.0790, utilization 0.7132, perplexity 8887.2858,
Train Epoch: [1/2] Iters:[90/10009] transplant_loss 7.5365, rec_loss 0.0567, quant_error 2.0589, utilization 0.7163, perplexity 8989.8710,
Train Epoch: [1/2] Iters:[100/10009] transplant_loss 7.5823, rec_loss 0.0561, quant_error 2.0397, utilization 0.7171, perplexity 9041.5003,
Train Epoch: [1/2] Iters:[110/10009] transplant_loss 7.6111, rec_loss 0.0552, quant_error 2.0278, utilization 0.7177, perplexity 9077.3903,
Train Epoch: [1/2] Iters:[120/10009] transplant_loss 7.6291, rec_loss 0.0555, quant_error 2.0191, utilization 0.7175, perplexity 9100.9574,
Train Epoch: [1/2] Iters:[130/10009] transplant_loss 7.6240, rec_loss 0.0547, quant_error 2.0082, utilization 0.7172, perplexity 9088.2717,
Train Epoch: [1/2] Iters:[140/10009] transplant_loss 7.6218, rec_loss 0.0546, quant_error 2.0001, utilization 0.7164, perplexity 9072.8760,
Train Epoch: [1/2] Iters:[150/10009] transplant_loss 7.6200, rec_loss 0.0546, quant_error 1.9954, utilization 0.7159, perplexity 9044.2469,
Train Epoch: [1/2] Iters:[160/10009] transplant_loss 7.6059, rec_loss 0.0550, quant_error 1.9863, utilization 0.7152, perplexity 9054.9463,
Train Epoch: [1/2] Iters:[170/10009] transplant_loss 7.6066, rec_loss 0.0544, quant_error 1.9815, utilization 0.7149, perplexity 9049.1804,
Train Epoch: [1/2] Iters:[180/10009] transplant_loss 7.6096, rec_loss 0.0546, quant_error 1.9797, utilization 0.7148, perplexity 9071.8327,
Train Epoch: [1/2] Iters:[190/10009] transplant_loss 7.6081, rec_loss 0.0552, quant_error 1.9771, utilization 0.7151, perplexity 9111.7993,
Train Epoch: [1/2] Iters:[200/10009] transplant_loss 7.5996, rec_loss 0.0547, quant_error 1.9709, utilization 0.7149, perplexity 9113.9889,
Train Epoch: [1/2] Iters:[210/10009] transplant_loss 7.5871, rec_loss 0.0540, quant_error 1.9655, utilization 0.7144, perplexity 9113.7813,
Train Epoch: [1/2] Iters:[220/10009] transplant_loss 7.5836, rec_loss 0.0543, quant_error 1.9632, utilization 0.7142, perplexity 9128.5892,
Train Epoch: [1/2] Iters:[230/10009] transplant_loss 7.5700, rec_loss 0.0542, quant_error 1.9575, utilization 0.7146, perplexity 9131.4722,
Train Epoch: [1/2] Iters:[240/10009] transplant_loss 7.5606, rec_loss 0.0534, quant_error 1.9532, utilization 0.7153, perplexity 9145.0367,
Train Epoch: [1/2] Iters:[250/10009] transplant_loss 7.5504, rec_loss 0.0534, quant_error 1.9494, utilization 0.7157, perplexity 9146.6488,
Train Epoch: [1/2] Iters:[260/10009] transplant_loss 7.5480, rec_loss 0.0537, quant_error 1.9480, utilization 0.7161, perplexity 9143.0632,
Train Epoch: [1/2] Iters:[270/10009] transplant_loss 7.5313, rec_loss 0.0538, quant_error 1.9428, utilization 0.7163, perplexity 9141.2097,
Train Epoch: [1/2] Iters:[280/10009] transplant_loss 7.5127, rec_loss 0.0538, quant_error 1.9387, utilization 0.7162, perplexity 9155.8971,
Train Epoch: [1/2] Iters:[290/10009] transplant_loss 7.5016, rec_loss 0.0538, quant_error 1.9361, utilization 0.7160, perplexity 9135.6838,
Train Epoch: [1/2] Iters:[300/10009] transplant_loss 7.4956, rec_loss 0.0541, quant_error 1.9327, utilization 0.7159, perplexity 9165.6715,
Train Epoch: [1/2] Iters:[310/10009] transplant_loss 7.4804, rec_loss 0.0541, quant_error 1.9278, utilization 0.7162, perplexity 9177.6689,
Train Epoch: [1/2] Iters:[320/10009] transplant_loss 7.4682, rec_loss 0.0535, quant_error 1.9244, utilization 0.7163, perplexity 9178.7088,
Train Epoch: [1/2] Iters:[330/10009] transplant_loss 7.4650, rec_loss 0.0533, quant_error 1.9205, utilization 0.7159, perplexity 9186.1655,
Train Epoch: [1/2] Iters:[340/10009] transplant_loss 7.4534, rec_loss 0.0531, quant_error 1.9165, utilization 0.7160, perplexity 9211.3588,
