dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 128
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8
max_patch_size: 8
codebook_size: 16384
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: ema_vq
use_multiscale: False
transplant_epochs: 5
refinement_epochs: 5
eval_epochs: 1
lr_transplant: 1e-05
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/dc-ae-f32c32-sana-1.0.safetensors
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_16384_8_1
loss_pre: loss_1.0_1.0_0.0_0.2
training_pre: ema_vq_transplant_False
saver_name_pre: ema_vq_transplant_False_ImageNet_model_16384_8_1_loss_1.0_1.0_0.0_0.2
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 312250275
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/10009] transplant_loss 4.7208, rec_loss 0.0499, quant_error 0.5873,
Train Epoch: [1/5] Iters:[20/10009] transplant_loss 3.8774, rec_loss 0.0477, quant_error 0.4841,
Train Epoch: [1/5] Iters:[30/10009] transplant_loss 3.5446, rec_loss 0.0467, quant_error 0.4412,
Train Epoch: [1/5] Iters:[40/10009] transplant_loss 3.3555, rec_loss 0.0459, quant_error 0.4159,
Train Epoch: [1/5] Iters:[50/10009] transplant_loss 3.2270, rec_loss 0.0455, quant_error 0.3984,
Train Epoch: [1/5] Iters:[60/10009] transplant_loss 2.8186, rec_loss 0.0444, quant_error 0.3455,
Train Epoch: [1/5] Iters:[70/10009] transplant_loss 2.7307, rec_loss 0.0437, quant_error 0.3314,
Train Epoch: [1/5] Iters:[80/10009] transplant_loss 2.6668, rec_loss 0.0434, quant_error 0.3215,
Train Epoch: [1/5] Iters:[90/10009] transplant_loss 2.6185, rec_loss 0.0432, quant_error 0.3141,
Train Epoch: [1/5] Iters:[100/10009] transplant_loss 2.5791, rec_loss 0.0427, quant_error 0.3080,
Train Epoch: [1/5] Iters:[110/10009] transplant_loss 2.5453, rec_loss 0.0420, quant_error 0.3026,
Train Epoch: [1/5] Iters:[120/10009] transplant_loss 2.5207, rec_loss 0.0422, quant_error 0.2987,
Train Epoch: [1/5] Iters:[130/10009] transplant_loss 2.4963, rec_loss 0.0415, quant_error 0.2947,
Train Epoch: [1/5] Iters:[140/10009] transplant_loss 2.4690, rec_loss 0.0412, quant_error 0.2904,
Train Epoch: [1/5] Iters:[150/10009] transplant_loss 2.4437, rec_loss 0.0411, quant_error 0.2863,
Train Epoch: [1/5] Iters:[160/10009] transplant_loss 2.4151, rec_loss 0.0414, quant_error 0.2821,
Train Epoch: [1/5] Iters:[170/10009] transplant_loss 2.3916, rec_loss 0.0407, quant_error 0.2784,
Train Epoch: [1/5] Iters:[180/10009] transplant_loss 2.3725, rec_loss 0.0407, quant_error 0.2753,
Train Epoch: [1/5] Iters:[190/10009] transplant_loss 2.3582, rec_loss 0.0411, quant_error 0.2729,
Train Epoch: [1/5] Iters:[200/10009] transplant_loss 2.3439, rec_loss 0.0409, quant_error 0.2705,
Train Epoch: [1/5] Iters:[210/10009] transplant_loss 2.3344, rec_loss 0.0402, quant_error 0.2687,
Train Epoch: [1/5] Iters:[220/10009] transplant_loss 2.3235, rec_loss 0.0402, quant_error 0.2668,
Train Epoch: [1/5] Iters:[230/10009] transplant_loss 2.3123, rec_loss 0.0401, quant_error 0.2649,
Train Epoch: [1/5] Iters:[240/10009] transplant_loss 2.3018, rec_loss 0.0396, quant_error 0.2632,
Train Epoch: [1/5] Iters:[250/10009] transplant_loss 2.2921, rec_loss 0.0393, quant_error 0.2616,
Train Epoch: [1/5] Iters:[260/10009] transplant_loss 2.2831, rec_loss 0.0396, quant_error 0.2602,
Train Epoch: [1/5] Iters:[270/10009] transplant_loss 2.2686, rec_loss 0.0397, quant_error 0.2582,
