dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 32
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 1.0
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: mmd_vq
use_multiscale: True
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/model.ckpt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 16
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_4096_16_1
loss_pre: loss_1.0_1.0_1.0_0.2
training_pre: mmd_vq_transplant_True
saver_name_pre: mmd_vq_transplant_True_ImageNet_model_4096_16_1_loss_1.0_1.0_1.0_0.2
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
VQ Model Parameters: 69609635
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/40036] transplant_loss 7.3098, rec_loss 0.1977, quant_error 2.9733, utilization 0.0831, perplexity 116.1227,
Train Epoch: [1/2] Iters:[20/40036] transplant_loss 6.4778, rec_loss 0.1582, quant_error 2.6086, utilization 0.0638, perplexity 106.9705,
Train Epoch: [1/2] Iters:[30/40036] transplant_loss 5.4199, rec_loss 0.1402, quant_error 2.3874, utilization 0.0646, perplexity 124.2739,
Train Epoch: [1/2] Iters:[40/40036] transplant_loss 4.7108, rec_loss 0.1264, quant_error 2.1975, utilization 0.0717, perplexity 147.8618,
Train Epoch: [1/2] Iters:[50/40036] transplant_loss 4.2568, rec_loss 0.1162, quant_error 2.0382, utilization 0.0853, perplexity 179.3286,
Train Epoch: [1/2] Iters:[60/40036] transplant_loss 3.3116, rec_loss 0.0895, quant_error 1.6764, utilization 0.1064, perplexity 236.7590,
Train Epoch: [1/2] Iters:[70/40036] transplant_loss 2.7611, rec_loss 0.0790, quant_error 1.4314, utilization 0.1454, perplexity 322.1780,
Train Epoch: [1/2] Iters:[80/40036] transplant_loss 2.7107, rec_loss 0.0711, quant_error 1.2295, utilization 0.1921, perplexity 427.9723,
Train Epoch: [1/2] Iters:[90/40036] transplant_loss 2.7742, rec_loss 0.0662, quant_error 1.0727, utilization 0.2502, perplexity 565.4151,
Train Epoch: [1/2] Iters:[100/40036] transplant_loss 2.8337, rec_loss 0.0632, quant_error 0.9525, utilization 0.3263, perplexity 747.5952,
Train Epoch: [1/2] Iters:[110/40036] transplant_loss 2.8127, rec_loss 0.0614, quant_error 0.8736, utilization 0.4267, perplexity 999.5636,
Train Epoch: [1/2] Iters:[120/40036] transplant_loss 2.6980, rec_loss 0.0587, quant_error 0.8181, utilization 0.5370, perplexity 1289.1038,
Train Epoch: [1/2] Iters:[130/40036] transplant_loss 2.5358, rec_loss 0.0573, quant_error 0.7750, utilization 0.6451, perplexity 1573.2672,
Train Epoch: [1/2] Iters:[140/40036] transplant_loss 2.3515, rec_loss 0.0546, quant_error 0.7343, utilization 0.7405, perplexity 1803.2721,
Train Epoch: [1/2] Iters:[150/40036] transplant_loss 2.2009, rec_loss 0.0536, quant_error 0.7060, utilization 0.8095, perplexity 1938.4115,
Train Epoch: [1/2] Iters:[160/40036] transplant_loss 2.0785, rec_loss 0.0532, quant_error 0.6786, utilization 0.8431, perplexity 1950.4693,
Train Epoch: [1/2] Iters:[170/40036] transplant_loss 1.9949, rec_loss 0.0545, quant_error 0.6606, utilization 0.8590, perplexity 1901.1988,
Train Epoch: [1/2] Iters:[180/40036] transplant_loss 1.9029, rec_loss 0.0522, quant_error 0.6341, utilization 0.8688, perplexity 1843.6751,
Train Epoch: [1/2] Iters:[190/40036] transplant_loss 1.8555, rec_loss 0.0531, quant_error 0.6257, utilization 0.8761, perplexity 1791.2376,
Train Epoch: [1/2] Iters:[200/40036] transplant_loss 1.8053, rec_loss 0.0517, quant_error 0.6083, utilization 0.8871, perplexity 1793.3312,
Train Epoch: [1/2] Iters:[210/40036] transplant_loss 1.7819, rec_loss 0.0520, quant_error 0.5964, utilization 0.9010, perplexity 1837.6052,
Train Epoch: [1/2] Iters:[220/40036] transplant_loss 1.7616, rec_loss 0.0503, quant_error 0.5848, utilization 0.9143, perplexity 1893.4337,
Train Epoch: [1/2] Iters:[230/40036] transplant_loss 1.7347, rec_loss 0.0506, quant_error 0.5786, utilization 0.9232, perplexity 1913.3735,
Train Epoch: [1/2] Iters:[240/40036] transplant_loss 1.7207, rec_loss 0.0505, quant_error 0.5721, utilization 0.9313, perplexity 1954.9661,
Train Epoch: [1/2] Iters:[250/40036] transplant_loss 1.7079, rec_loss 0.0512, quant_error 0.5673, utilization 0.9354, perplexity 1968.0055,
Train Epoch: [1/2] Iters:[260/40036] transplant_loss 1.6922, rec_loss 0.0500, quant_error 0.5613, utilization 0.9387, perplexity 1991.0941,
Train Epoch: [1/2] Iters:[270/40036] transplant_loss 1.6432, rec_loss 0.0485, quant_error 0.5487, utilization 0.9400, perplexity 1987.4244,
Train Epoch: [1/2] Iters:[280/40036] transplant_loss 1.6287, rec_loss 0.0475, quant_error 0.5419, utilization 0.9416, perplexity 2002.1280,
Train Epoch: [1/2] Iters:[290/40036] transplant_loss 1.6261, rec_loss 0.0471, quant_error 0.5347, utilization 0.9431, perplexity 2015.8039,
Train Epoch: [1/2] Iters:[300/40036] transplant_loss 1.6152, rec_loss 0.0465, quant_error 0.5292, utilization 0.9450, perplexity 2037.3925,
Train Epoch: [1/2] Iters:[310/40036] transplant_loss 1.5950, rec_loss 0.0461, quant_error 0.5260, utilization 0.9447, perplexity 2029.6026,
Train Epoch: [1/2] Iters:[320/40036] transplant_loss 1.6166, rec_loss 0.0474, quant_error 0.5257, utilization 0.9462, perplexity 2055.9303,
Train Epoch: [1/2] Iters:[330/40036] transplant_loss 1.6191, rec_loss 0.0493, quant_error 0.5329, utilization 0.9470, perplexity 2056.9221,
Train Epoch: [1/2] Iters:[340/40036] transplant_loss 1.6117, rec_loss 0.0489, quant_error 0.5310, utilization 0.9478, perplexity 2071.6627,
Train Epoch: [1/2] Iters:[350/40036] transplant_loss 1.6171, rec_loss 0.0491, quant_error 0.5332, utilization 0.9477, perplexity 2065.2199,
Train Epoch: [1/2] Iters:[360/40036] transplant_loss 1.6215, rec_loss 0.0491, quant_error 0.5350, utilization 0.9493, perplexity 2081.9055,
Train Epoch: [1/2] Iters:[370/40036] transplant_loss 1.6041, rec_loss 0.0487, quant_error 0.5350, utilization 0.9486, perplexity 2066.3042,
Train Epoch: [1/2] Iters:[380/40036] transplant_loss 1.6064, rec_loss 0.0474, quant_error 0.5264, utilization 0.9494, perplexity 2085.1110,
Train Epoch: [1/2] Iters:[390/40036] transplant_loss 1.5856, rec_loss 0.0470, quant_error 0.5184, utilization 0.9494, perplexity 2073.9127,
Train Epoch: [1/2] Iters:[400/40036] transplant_loss 1.5703, rec_loss 0.0471, quant_error 0.5142, utilization 0.9499, perplexity 2082.9640,
Train Epoch: [1/2] Iters:[410/40036] transplant_loss 1.5539, rec_loss 0.0465, quant_error 0.5047, utilization 0.9494, perplexity 2066.2035,
Train Epoch: [1/2] Iters:[420/40036] transplant_loss 1.5576, rec_loss 0.0462, quant_error 0.5000, utilization 0.9511, perplexity 2091.9553,
Train Epoch: [1/2] Iters:[430/40036] transplant_loss 1.5579, rec_loss 0.0461, quant_error 0.4986, utilization 0.9518, perplexity 2096.2731,
Train Epoch: [1/2] Iters:[440/40036] transplant_loss 1.5699, rec_loss 0.0470, quant_error 0.5089, utilization 0.9525, perplexity 2099.8696,
Train Epoch: [1/2] Iters:[450/40036] transplant_loss 1.5616, rec_loss 0.0460, quant_error 0.5045, utilization 0.9521, perplexity 2099.6832,
Train Epoch: [1/2] Iters:[460/40036] transplant_loss 1.5774, rec_loss 0.0471, quant_error 0.5073, utilization 0.9528, perplexity 2113.0279,
Train Epoch: [1/2] Iters:[470/40036] transplant_loss 1.5723, rec_loss 0.0472, quant_error 0.5030, utilization 0.9521, perplexity 2099.0602,
Train Epoch: [1/2] Iters:[480/40036] transplant_loss 1.5566, rec_loss 0.0473, quant_error 0.4998, utilization 0.9518, perplexity 2086.6900,
Train Epoch: [1/2] Iters:[490/40036] transplant_loss 1.5493, rec_loss 0.0466, quant_error 0.4913, utilization 0.9512, perplexity 2076.2145,
Train Epoch: [1/2] Iters:[500/40036] transplant_loss 1.5511, rec_loss 0.0458, quant_error 0.4901, utilization 0.9517, perplexity 2079.1089,
Train Epoch: [1/2] Iters:[510/40036] transplant_loss 1.5265, rec_loss 0.0443, quant_error 0.4822, utilization 0.9515, perplexity 2071.0134,
Train Epoch: [1/2] Iters:[520/40036] transplant_loss 1.5226, rec_loss 0.0444, quant_error 0.4842, utilization 0.9517, perplexity 2064.8131,
Train Epoch: [1/2] Iters:[530/40036] transplant_loss 1.5287, rec_loss 0.0437, quant_error 0.4839, utilization 0.9518, perplexity 2059.8743,
