dataset_dir: /project/6105494/shared/data/
dataset_name: Churches
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 16384
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 1.0
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: mmd_vq
use_multiscale: False
transplant_epochs: 20
refinement_epochs: 20
eval_epochs: 4
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/Churches
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/Churches
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/Churches
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/Churches
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/Churches
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/model.ckpt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: Churches
model_pre: model_16384_16_1
loss_pre: loss_1.0_1.0_1.0_0.2
training_pre: mmd_vq_transplant_False
saver_name_pre: mmd_vq_transplant_False_Churches_model_16384_16_1_loss_1.0_1.0_1.0_0.2
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
VQ Model Parameters: 69609635
dataset name: Churches
len train_set: 126227
len val_set: 126227
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/20] Iters:[10/1972] transplant_loss 14.3516, rec_loss 0.2020, quant_error 2.7972, utilization 0.0211, perplexity 144.4829,
Train Epoch: [1/20] Iters:[20/1972] transplant_loss 20.2986, rec_loss 0.1669, quant_error 2.4945, utilization 0.0112, perplexity 79.0722,
Train Epoch: [1/20] Iters:[30/1972] transplant_loss 21.0001, rec_loss 0.1490, quant_error 2.3407, utilization 0.0079, perplexity 58.1515,
Train Epoch: [1/20] Iters:[40/1972] transplant_loss 21.0726, rec_loss 0.1388, quant_error 2.2453, utilization 0.0063, perplexity 47.8999,
Train Epoch: [1/20] Iters:[50/1972] transplant_loss 20.6276, rec_loss 0.1332, quant_error 2.1718, utilization 0.0054, perplexity 41.9029,
Train Epoch: [1/20] Iters:[60/1972] transplant_loss 20.4456, rec_loss 0.1142, quant_error 1.9738, utilization 0.0015, perplexity 16.6738,
Train Epoch: [1/20] Iters:[70/1972] transplant_loss 17.2452, rec_loss 0.1081, quant_error 1.8829, utilization 0.0018, perplexity 17.8553,
Train Epoch: [1/20] Iters:[80/1972] transplant_loss 14.5840, rec_loss 0.1059, quant_error 1.8167, utilization 0.0022, perplexity 19.0407,
Train Epoch: [1/20] Iters:[90/1972] transplant_loss 12.0442, rec_loss 0.1045, quant_error 1.7608, utilization 0.0026, perplexity 20.6529,
Train Epoch: [1/20] Iters:[100/1972] transplant_loss 9.9500, rec_loss 0.1011, quant_error 1.7071, utilization 0.0030, perplexity 22.6122,
Train Epoch: [1/20] Iters:[110/1972] transplant_loss 8.8552, rec_loss 0.0981, quant_error 1.6535, utilization 0.0036, perplexity 25.3859,
Train Epoch: [1/20] Iters:[120/1972] transplant_loss 8.4703, rec_loss 0.0964, quant_error 1.6069, utilization 0.0042, perplexity 28.7387,
Train Epoch: [1/20] Iters:[130/1972] transplant_loss 8.4120, rec_loss 0.0934, quant_error 1.5573, utilization 0.0052, perplexity 33.0355,
Train Epoch: [1/20] Iters:[140/1972] transplant_loss 8.4778, rec_loss 0.0906, quant_error 1.5066, utilization 0.0065, perplexity 38.0319,
Train Epoch: [1/20] Iters:[150/1972] transplant_loss 8.6415, rec_loss 0.0879, quant_error 1.4578, utilization 0.0082, perplexity 43.8044,
Train Epoch: [1/20] Iters:[160/1972] transplant_loss 8.8960, rec_loss 0.0872, quant_error 1.4221, utilization 0.0107, perplexity 50.4460,
Train Epoch: [1/20] Iters:[170/1972] transplant_loss 9.0595, rec_loss 0.0854, quant_error 1.3849, utilization 0.0142, perplexity 58.3844,
Train Epoch: [1/20] Iters:[180/1972] transplant_loss 9.0735, rec_loss 0.0842, quant_error 1.3514, utilization 0.0194, perplexity 67.7615,
