dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 128
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8
max_patch_size: 8
codebook_size: 16384
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 2.0
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: mmd_vq
use_multiscale: False
transplant_epochs: 5
refinement_epochs: 5
eval_epochs: 1
lr_transplant: 1e-05
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/dc-ae-f32c32-sana-1.0.safetensors
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_16384_8_1
loss_pre: loss_1.0_1.0_2.0_0.2
training_pre: mmd_vq_transplant_False
saver_name_pre: mmd_vq_transplant_False_ImageNet_model_16384_8_1_loss_1.0_1.0_2.0_0.2
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 312250275
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/10009] transplant_loss 71.3784, rec_loss 0.2794, quant_error 4.8229,
Train Epoch: [1/5] Iters:[20/10009] transplant_loss 70.0578, rec_loss 0.2475, quant_error 4.4405,
Train Epoch: [1/5] Iters:[30/10009] transplant_loss 69.5798, rec_loss 0.2239, quant_error 4.1230,
Train Epoch: [1/5] Iters:[40/10009] transplant_loss 69.4616, rec_loss 0.2063, quant_error 3.8587,
Train Epoch: [1/5] Iters:[50/10009] transplant_loss 68.3959, rec_loss 0.1932, quant_error 3.6273,
Train Epoch: [1/5] Iters:[60/10009] transplant_loss 66.0529, rec_loss 0.1645, quant_error 3.1590,
Train Epoch: [1/5] Iters:[70/10009] transplant_loss 62.6523, rec_loss 0.1454, quant_error 2.7819,
Train Epoch: [1/5] Iters:[80/10009] transplant_loss 58.0563, rec_loss 0.1331, quant_error 2.4884,
Train Epoch: [1/5] Iters:[90/10009] transplant_loss 52.5027, rec_loss 0.1247, quant_error 2.2606,
Train Epoch: [1/5] Iters:[100/10009] transplant_loss 47.1481, rec_loss 0.1182, quant_error 2.0857,
Train Epoch: [1/5] Iters:[110/10009] transplant_loss 42.1805, rec_loss 0.1119, quant_error 1.9449,
Train Epoch: [1/5] Iters:[120/10009] transplant_loss 38.0916, rec_loss 0.1091, quant_error 1.8440,
Train Epoch: [1/5] Iters:[130/10009] transplant_loss 34.7536, rec_loss 0.1057, quant_error 1.7610,
Train Epoch: [1/5] Iters:[140/10009] transplant_loss 32.0137, rec_loss 0.1032, quant_error 1.6924,
Train Epoch: [1/5] Iters:[150/10009] transplant_loss 29.6857, rec_loss 0.1010, quant_error 1.6313,
Train Epoch: [1/5] Iters:[160/10009] transplant_loss 27.3945, rec_loss 0.0993, quant_error 1.5628,
Train Epoch: [1/5] Iters:[170/10009] transplant_loss 25.5927, rec_loss 0.0967, quant_error 1.5091,
Train Epoch: [1/5] Iters:[180/10009] transplant_loss 24.0254, rec_loss 0.0952, quant_error 1.4596,
Train Epoch: [1/5] Iters:[190/10009] transplant_loss 22.5968, rec_loss 0.0939, quant_error 1.4102,
Train Epoch: [1/5] Iters:[200/10009] transplant_loss 21.2962, rec_loss 0.0921, quant_error 1.3610,
Train Epoch: [1/5] Iters:[210/10009] transplant_loss 20.2485, rec_loss 0.0898, quant_error 1.3198,
Train Epoch: [1/5] Iters:[220/10009] transplant_loss 19.2608, rec_loss 0.0883, quant_error 1.2780,
Train Epoch: [1/5] Iters:[230/10009] transplant_loss 18.3627, rec_loss 0.0865, quant_error 1.2366,
Train Epoch: [1/5] Iters:[240/10009] transplant_loss 17.3919, rec_loss 0.0842, quant_error 1.1899,
