dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: online_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/model.ckpt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_256_8_2
loss_pre: loss_1.0_1.0_0.0_0.2
training_pre: online_vq_transplant_False
saver_name_pre: online_vq_transplant_False_ImageNet_model_256_8_2_loss_1.0_1.0_0.0_0.2
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
VQ Model Parameters: 69609635
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 9.0520, rec_loss 0.2015, quant_error 3.4441, utilization 0.0444, perplexity 957.5234,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 9.0664, rec_loss 0.1675, quant_error 3.0544, utilization 0.0464, perplexity 1019.6126,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 8.7431, rec_loss 0.1484, quant_error 2.7854, utilization 0.0505, perplexity 1151.2421,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 8.4577, rec_loss 0.1367, quant_error 2.5795, utilization 0.0538, perplexity 1248.9374,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 8.2113, rec_loss 0.1272, quant_error 2.4035, utilization 0.0561, perplexity 1321.8018,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 7.9052, rec_loss 0.1033, quant_error 2.0337, utilization 0.0613, perplexity 1528.9036,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 7.5447, rec_loss 0.0915, quant_error 1.7888, utilization 0.0664, perplexity 1777.0224,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 7.3721, rec_loss 0.0847, quant_error 1.6107, utilization 0.0704, perplexity 2029.1077,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 7.1935, rec_loss 0.0788, quant_error 1.4720, utilization 0.0747, perplexity 2353.1484,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 7.0719, rec_loss 0.0746, quant_error 1.3734, utilization 0.0793, perplexity 2729.4113,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 6.8543, rec_loss 0.0727, quant_error 1.2936, utilization 0.0830, perplexity 3040.2529,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 6.6608, rec_loss 0.0709, quant_error 1.2329, utilization 0.0859, perplexity 3284.7758,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 6.4645, rec_loss 0.0693, quant_error 1.1885, utilization 0.0880, perplexity 3477.6384,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 6.3432, rec_loss 0.0667, quant_error 1.1513, utilization 0.0887, perplexity 3548.9836,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 6.2435, rec_loss 0.0658, quant_error 1.1293, utilization 0.0886, perplexity 3569.4514,
Train Epoch: [1/2] Iters:[160/20018] transplant_loss 6.1671, rec_loss 0.0643, quant_error 1.1101, utilization 0.0887, perplexity 3591.0359,
Train Epoch: [1/2] Iters:[170/20018] transplant_loss 6.1029, rec_loss 0.0638, quant_error 1.0981, utilization 0.0885, perplexity 3592.7092,
