dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 32
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: online_vq
use_multiscale: True
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/model.ckpt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 16
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_4096_16_1
loss_pre: loss_1.0_1.0_0.0_0.2
training_pre: online_vq_transplant_True
saver_name_pre: online_vq_transplant_True_ImageNet_model_4096_16_1_loss_1.0_1.0_0.0_0.2
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
VQ Model Parameters: 69609635
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/40036] transplant_loss 5.4549, rec_loss 0.1952, quant_error 3.4839, utilization 0.1776, perplexity 185.5851,
Train Epoch: [1/2] Iters:[20/40036] transplant_loss 5.0364, rec_loss 0.1510, quant_error 2.9735, utilization 0.1646, perplexity 164.7041,
Train Epoch: [1/2] Iters:[30/40036] transplant_loss 4.6800, rec_loss 0.1328, quant_error 2.7159, utilization 0.1591, perplexity 173.5289,
Train Epoch: [1/2] Iters:[40/40036] transplant_loss 4.4846, rec_loss 0.1226, quant_error 2.5476, utilization 0.1554, perplexity 181.6255,
Train Epoch: [1/2] Iters:[50/40036] transplant_loss 4.4047, rec_loss 0.1157, quant_error 2.4211, utilization 0.1531, perplexity 192.6982,
Train Epoch: [1/2] Iters:[60/40036] transplant_loss 4.1638, rec_loss 0.0922, quant_error 2.0773, utilization 0.1462, perplexity 204.1466,
Train Epoch: [1/2] Iters:[70/40036] transplant_loss 4.1291, rec_loss 0.0888, quant_error 1.9443, utilization 0.1431, perplexity 219.4435,
Train Epoch: [1/2] Iters:[80/40036] transplant_loss 4.1829, rec_loss 0.0883, quant_error 1.8629, utilization 0.1401, perplexity 224.7170,
Train Epoch: [1/2] Iters:[90/40036] transplant_loss 4.2440, rec_loss 0.0878, quant_error 1.8154, utilization 0.1375, perplexity 226.2960,
Train Epoch: [1/2] Iters:[100/40036] transplant_loss 4.2761, rec_loss 0.0872, quant_error 1.7916, utilization 0.1349, perplexity 220.1693,
Train Epoch: [1/2] Iters:[110/40036] transplant_loss 4.2896, rec_loss 0.0885, quant_error 1.7948, utilization 0.1330, perplexity 216.6438,
Train Epoch: [1/2] Iters:[120/40036] transplant_loss 4.2220, rec_loss 0.0875, quant_error 1.7794, utilization 0.1321, perplexity 214.4832,
Train Epoch: [1/2] Iters:[130/40036] transplant_loss 4.1801, rec_loss 0.0860, quant_error 1.7676, utilization 0.1328, perplexity 213.4359,
Train Epoch: [1/2] Iters:[140/40036] transplant_loss 4.1331, rec_loss 0.0826, quant_error 1.7304, utilization 0.1330, perplexity 214.8175,
Train Epoch: [1/2] Iters:[150/40036] transplant_loss 4.0962, rec_loss 0.0822, quant_error 1.7007, utilization 0.1341, perplexity 216.7785,
Train Epoch: [1/2] Iters:[160/40036] transplant_loss 4.0305, rec_loss 0.0830, quant_error 1.6744, utilization 0.1341, perplexity 215.2736,
Train Epoch: [1/2] Iters:[170/40036] transplant_loss 4.0120, rec_loss 0.0846, quant_error 1.6662, utilization 0.1348, perplexity 216.3393,
Train Epoch: [1/2] Iters:[180/40036] transplant_loss 3.9911, rec_loss 0.0813, quant_error 1.6339, utilization 0.1342, perplexity 216.7577,
Train Epoch: [1/2] Iters:[190/40036] transplant_loss 3.9888, rec_loss 0.0832, quant_error 1.6317, utilization 0.1347, perplexity 215.3700,
Train Epoch: [1/2] Iters:[200/40036] transplant_loss 3.9645, rec_loss 0.0820, quant_error 1.6169, utilization 0.1352, perplexity 216.7626,
Train Epoch: [1/2] Iters:[210/40036] transplant_loss 3.9517, rec_loss 0.0813, quant_error 1.6051, utilization 0.1359, perplexity 215.3080,
Train Epoch: [1/2] Iters:[220/40036] transplant_loss 3.9734, rec_loss 0.0802, quant_error 1.5973, utilization 0.1369, perplexity 216.9634,
Train Epoch: [1/2] Iters:[230/40036] transplant_loss 3.9744, rec_loss 0.0820, quant_error 1.5919, utilization 0.1388, perplexity 218.6051,
Train Epoch: [1/2] Iters:[240/40036] transplant_loss 3.9701, rec_loss 0.0812, quant_error 1.5835, utilization 0.1397, perplexity 219.9497,
Train Epoch: [1/2] Iters:[250/40036] transplant_loss 3.9805, rec_loss 0.0845, quant_error 1.5867, utilization 0.1398, perplexity 219.3145,
Train Epoch: [1/2] Iters:[260/40036] transplant_loss 3.9802, rec_loss 0.0832, quant_error 1.5781, utilization 0.1408, perplexity 222.4676,
Train Epoch: [1/2] Iters:[270/40036] transplant_loss 3.8880, rec_loss 0.0804, quant_error 1.5476, utilization 0.1410, perplexity 221.9705,
Train Epoch: [1/2] Iters:[280/40036] transplant_loss 3.8343, rec_loss 0.0786, quant_error 1.5348, utilization 0.1401, perplexity 220.9498,
Train Epoch: [1/2] Iters:[290/40036] transplant_loss 3.7824, rec_loss 0.0782, quant_error 1.5163, utilization 0.1402, perplexity 220.5584,
Train Epoch: [1/2] Iters:[300/40036] transplant_loss 3.7192, rec_loss 0.0747, quant_error 1.4875, utilization 0.1406, perplexity 220.9269,
Train Epoch: [1/2] Iters:[310/40036] transplant_loss 3.6720, rec_loss 0.0742, quant_error 1.4767, utilization 0.1394, perplexity 219.0768,
Train Epoch: [1/2] Iters:[320/40036] transplant_loss 3.6620, rec_loss 0.0743, quant_error 1.4639, utilization 0.1394, perplexity 218.8112,
Train Epoch: [1/2] Iters:[330/40036] transplant_loss 3.6421, rec_loss 0.0746, quant_error 1.4509, utilization 0.1399, perplexity 219.3529,
Train Epoch: [1/2] Iters:[340/40036] transplant_loss 3.6406, rec_loss 0.0748, quant_error 1.4412, utilization 0.1406, perplexity 220.6928,
Train Epoch: [1/2] Iters:[350/40036] transplant_loss 3.6322, rec_loss 0.0754, quant_error 1.4385, utilization 0.1412, perplexity 221.6779,
Train Epoch: [1/2] Iters:[360/40036] transplant_loss 3.6215, rec_loss 0.0763, quant_error 1.4274, utilization 0.1439, perplexity 225.4147,
Train Epoch: [1/2] Iters:[370/40036] transplant_loss 3.6078, rec_loss 0.0764, quant_error 1.4330, utilization 0.1456, perplexity 228.2487,
Train Epoch: [1/2] Iters:[380/40036] transplant_loss 3.5957, rec_loss 0.0764, quant_error 1.4235, utilization 0.1474, perplexity 231.1787,
Train Epoch: [1/2] Iters:[390/40036] transplant_loss 3.5541, rec_loss 0.0753, quant_error 1.4100, utilization 0.1483, perplexity 232.8135,
Train Epoch: [1/2] Iters:[400/40036] transplant_loss 3.5168, rec_loss 0.0750, quant_error 1.3967, utilization 0.1502, perplexity 235.2594,
Train Epoch: [1/2] Iters:[410/40036] transplant_loss 3.4756, rec_loss 0.0729, quant_error 1.3829, utilization 0.1515, perplexity 237.9750,
