dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 16384
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: online_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 3
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Transplant/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Transplant/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Transplant/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Transplant/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Transplant/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/vq_ds16_c2i.pt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_16384_8_1
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: online_vq_transplant_False
saver_name_pre: online_vq_transplant_False_ImageNet_model_16384_8_1_loss_1.0_1.0_0.0_0.4
| distributed init (rank 1): env://
| distributed init (rank 0): env://
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
VQ Model Parameters: 71747971
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 4.4697, rec_loss 0.4733, p_loss 0.8407, quant_error 0.1149, utilization 0.4357, perplexity 5672.4024,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 3.6079, rec_loss 0.3338, p_loss 0.7797, quant_error 0.1052, utilization 0.3991, perplexity 4866.4546,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 3.1749, rec_loss 0.2715, p_loss 0.7443, quant_error 0.0971, utilization 0.3805, perplexity 4460.3449,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 2.9142, rec_loss 0.2380, p_loss 0.7195, quant_error 0.0904, utilization 0.3706, perplexity 4237.1083,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 2.7140, rec_loss 0.2142, p_loss 0.7003, quant_error 0.0844, utilization 0.3647, perplexity 4100.4390,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 2.1702, rec_loss 0.1418, p_loss 0.6475, quant_error 0.0720, utilization 0.3460, perplexity 3679.4371,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 1.9415, rec_loss 0.1223, p_loss 0.6110, quant_error 0.0628, utilization 0.3421, perplexity 3583.0375,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 1.7924, rec_loss 0.1119, p_loss 0.5799, quant_error 0.0563, utilization 0.3428, perplexity 3582.9196,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 1.6839, rec_loss 0.1046, p_loss 0.5548, quant_error 0.0517, utilization 0.3447, perplexity 3605.9494,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 1.6094, rec_loss 0.0995, p_loss 0.5329, quant_error 0.0490, utilization 0.3467, perplexity 3631.8552,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 1.5795, rec_loss 0.0981, p_loss 0.5225, quant_error 0.0478, utilization 0.3485, perplexity 3652.3265,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 1.5597, rec_loss 0.0972, p_loss 0.5151, quant_error 0.0470, utilization 0.3502, perplexity 3672.5229,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 1.5560, rec_loss 0.0980, p_loss 0.5132, quant_error 0.0465, utilization 0.3509, perplexity 3676.2475,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 1.5289, rec_loss 0.0945, p_loss 0.5081, quant_error 0.0461, utilization 0.3518, perplexity 3683.1924,
