dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: vanilla_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/model.ckpt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_256_8_2
loss_pre: loss_1.0_1.0_0.0_0.2
training_pre: vanilla_vq_transplant_False
saver_name_pre: vanilla_vq_transplant_False_ImageNet_model_256_8_2_loss_1.0_1.0_0.0_0.2
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
VQ Model Parameters: 69609635
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 11.0413, rec_loss 0.1762, quant_error 2.7494, utilization 0.0359, perplexity 641.8704,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 16.0128, rec_loss 0.1489, quant_error 2.5056, utilization 0.0301, perplexity 503.2372,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 19.0416, rec_loss 0.1346, quant_error 2.3547, utilization 0.0274, perplexity 461.3436,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 25.7506, rec_loss 0.1284, quant_error 2.2789, utilization 0.0256, perplexity 422.4109,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 39.4717, rec_loss 0.1237, quant_error 2.2236, utilization 0.0242, perplexity 401.8247,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 59.0760, rec_loss 0.1086, quant_error 2.0700, utilization 0.0208, perplexity 338.3999,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 81.0285, rec_loss 0.1034, quant_error 2.0038, utilization 0.0195, perplexity 327.9154,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 115.2931, rec_loss 0.1020, quant_error 1.9787, utilization 0.0187, perplexity 317.9072,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 159.5919, rec_loss 0.0999, quant_error 1.9545, utilization 0.0181, perplexity 324.5212,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 192.0797, rec_loss 0.0984, quant_error 1.9362, utilization 0.0179, perplexity 333.3661,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 217.6001, rec_loss 0.0986, quant_error 1.9187, utilization 0.0177, perplexity 346.4265,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 246.3545, rec_loss 0.0990, quant_error 1.9045, utilization 0.0175, perplexity 357.1071,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 259.4293, rec_loss 0.0995, quant_error 1.8862, utilization 0.0175, perplexity 374.3893,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 270.9584, rec_loss 0.0967, quant_error 1.8524, utilization 0.0176, perplexity 388.6317,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 283.6609, rec_loss 0.0958, quant_error 1.8281, utilization 0.0176, perplexity 397.0239,
Train Epoch: [1/2] Iters:[160/20018] transplant_loss 290.6844, rec_loss 0.0944, quant_error 1.7995, utilization 0.0176, perplexity 402.8649,
Train Epoch: [1/2] Iters:[170/20018] transplant_loss 300.4689, rec_loss 0.0927, quant_error 1.7740, utilization 0.0179, perplexity 417.6204,
Train Epoch: [1/2] Iters:[180/20018] transplant_loss 331.7398, rec_loss 0.0919, quant_error 1.7664, utilization 0.0179, perplexity 423.3553,
