dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 32
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: vanilla_vq
use_multiscale: True
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/model.ckpt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 16
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_4096_16_1
loss_pre: loss_1.0_1.0_0.0_0.2
training_pre: vanilla_vq_transplant_True
saver_name_pre: vanilla_vq_transplant_True_ImageNet_model_4096_16_1_loss_1.0_1.0_0.0_0.2
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
VQ Model Parameters: 69609635
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/40036] transplant_loss 7.4485, rec_loss 0.2145, quant_error 3.0896, utilization 0.0811, perplexity 99.2714,
Train Epoch: [1/2] Iters:[20/40036] transplant_loss 12.8010, rec_loss 0.1792, quant_error 2.8487, utilization 0.0506, perplexity 67.9078,
Train Epoch: [1/2] Iters:[30/40036] transplant_loss 18.2989, rec_loss 0.1653, quant_error 2.7296, utilization 0.0399, perplexity 57.3476,
Train Epoch: [1/2] Iters:[40/40036] transplant_loss 25.7537, rec_loss 0.1565, quant_error 2.6513, utilization 0.0344, perplexity 51.7728,
Train Epoch: [1/2] Iters:[50/40036] transplant_loss 30.0055, rec_loss 0.1493, quant_error 2.5853, utilization 0.0310, perplexity 48.4111,
Train Epoch: [1/2] Iters:[60/40036] transplant_loss 41.8261, rec_loss 0.1304, quant_error 2.4267, utilization 0.0181, perplexity 35.3562,
Train Epoch: [1/2] Iters:[70/40036] transplant_loss 59.0231, rec_loss 0.1258, quant_error 2.3623, utilization 0.0172, perplexity 34.8970,
Train Epoch: [1/2] Iters:[80/40036] transplant_loss 76.1350, rec_loss 0.1228, quant_error 2.3128, utilization 0.0166, perplexity 34.7108,
Train Epoch: [1/2] Iters:[90/40036] transplant_loss 83.8178, rec_loss 0.1203, quant_error 2.2609, utilization 0.0161, perplexity 34.7635,
Train Epoch: [1/2] Iters:[100/40036] transplant_loss 91.6372, rec_loss 0.1205, quant_error 2.2327, utilization 0.0158, perplexity 35.2673,
Train Epoch: [1/2] Iters:[110/40036] transplant_loss 98.3321, rec_loss 0.1181, quant_error 2.2137, utilization 0.0154, perplexity 35.3877,
Train Epoch: [1/2] Iters:[120/40036] transplant_loss 99.1747, rec_loss 0.1165, quant_error 2.1903, utilization 0.0152, perplexity 35.5385,
Train Epoch: [1/2] Iters:[130/40036] transplant_loss 97.8865, rec_loss 0.1140, quant_error 2.1693, utilization 0.0150, perplexity 35.5084,
Train Epoch: [1/2] Iters:[140/40036] transplant_loss 100.2579, rec_loss 0.1113, quant_error 2.1488, utilization 0.0148, perplexity 35.5618,
Train Epoch: [1/2] Iters:[150/40036] transplant_loss 103.0066, rec_loss 0.1093, quant_error 2.1278, utilization 0.0146, perplexity 35.2636,
Train Epoch: [1/2] Iters:[160/40036] transplant_loss 101.1268, rec_loss 0.1079, quant_error 2.0836, utilization 0.0144, perplexity 35.5035,
Train Epoch: [1/2] Iters:[170/40036] transplant_loss 96.2654, rec_loss 0.1084, quant_error 2.0618, utilization 0.0143, perplexity 35.7911,
Train Epoch: [1/2] Iters:[180/40036] transplant_loss 89.9127, rec_loss 0.1060, quant_error 2.0230, utilization 0.0142, perplexity 36.0173,
Train Epoch: [1/2] Iters:[190/40036] transplant_loss 84.9282, rec_loss 0.1053, quant_error 2.0014, utilization 0.0141, perplexity 36.1624,
Train Epoch: [1/2] Iters:[200/40036] transplant_loss 79.7961, rec_loss 0.1032, quant_error 1.9790, utilization 0.0140, perplexity 36.2900,
Train Epoch: [1/2] Iters:[210/40036] transplant_loss 75.1997, rec_loss 0.1041, quant_error 1.9617, utilization 0.0140, perplexity 36.6910,
Train Epoch: [1/2] Iters:[220/40036] transplant_loss 72.1945, rec_loss 0.1016, quant_error 1.9431, utilization 0.0139, perplexity 36.7403,
Train Epoch: [1/2] Iters:[230/40036] transplant_loss 69.8162, rec_loss 0.1013, quant_error 1.9234, utilization 0.0139, perplexity 36.9338,
Train Epoch: [1/2] Iters:[240/40036] transplant_loss 68.6963, rec_loss 0.1016, quant_error 1.9143, utilization 0.0138, perplexity 37.2123,
Train Epoch: [1/2] Iters:[250/40036] transplant_loss 66.9623, rec_loss 0.1015, quant_error 1.8957, utilization 0.0138, perplexity 37.2096,
Train Epoch: [1/2] Iters:[260/40036] transplant_loss 64.6894, rec_loss 0.0998, quant_error 1.8831, utilization 0.0138, perplexity 37.1906,
Train Epoch: [1/2] Iters:[270/40036] transplant_loss 62.6895, rec_loss 0.0973, quant_error 1.8498, utilization 0.0137, perplexity 37.7407,
Train Epoch: [1/2] Iters:[280/40036] transplant_loss 60.9253, rec_loss 0.0963, quant_error 1.8435, utilization 0.0137, perplexity 37.9100,
Train Epoch: [1/2] Iters:[290/40036] transplant_loss 58.8823, rec_loss 0.0950, quant_error 1.8246, utilization 0.0137, perplexity 38.0655,
Train Epoch: [1/2] Iters:[300/40036] transplant_loss 55.4846, rec_loss 0.0943, quant_error 1.8070, utilization 0.0137, perplexity 38.5308,
Train Epoch: [1/2] Iters:[310/40036] transplant_loss 54.1274, rec_loss 0.0942, quant_error 1.8069, utilization 0.0137, perplexity 38.7077,
Train Epoch: [1/2] Iters:[320/40036] transplant_loss 53.0216, rec_loss 0.0961, quant_error 1.8056, utilization 0.0136, perplexity 38.4044,
Train Epoch: [1/2] Iters:[330/40036] transplant_loss 51.1368, rec_loss 0.0962, quant_error 1.7912, utilization 0.0136, perplexity 38.4843,
Train Epoch: [1/2] Iters:[340/40036] transplant_loss 49.2099, rec_loss 0.0958, quant_error 1.7787, utilization 0.0136, perplexity 38.7330,
Train Epoch: [1/2] Iters:[350/40036] transplant_loss 49.0460, rec_loss 0.0956, quant_error 1.7769, utilization 0.0136, perplexity 38.9296,
Train Epoch: [1/2] Iters:[360/40036] transplant_loss 48.3308, rec_loss 0.0948, quant_error 1.7577, utilization 0.0136, perplexity 39.1675,
