dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 16384
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: vanilla_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 3
lr_transplant: 0.0001
lr_refinement: 5e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Transplant/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Transplant/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Transplant/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Transplant/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Transplant/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/model.ckpt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_16384_16_1
loss_pre: loss_1.0_1.0_0.0_0.2
training_pre: vanilla_vq_transplant_False
saver_name_pre: vanilla_vq_transplant_False_ImageNet_model_16384_16_1_loss_1.0_1.0_0.0_0.2
| distributed init (rank 1): env://
| distributed init (rank 0): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
VQ Model Parameters: 69609635
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 22.4302, rec_loss 0.1911, p_loss 0.6900, quant_error 3.0598, utilization 0.0250, perplexity 138.5325,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 32.1802, rec_loss 0.1562, p_loss 0.6694, quant_error 2.7389, utilization 0.0136, perplexity 79.7471,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 40.2610, rec_loss 0.1405, p_loss 0.6581, quant_error 2.5683, utilization 0.0098, perplexity 60.1730,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 59.2388, rec_loss 0.1331, p_loss 0.6535, quant_error 2.4809, utilization 0.0079, perplexity 50.3266,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 76.6651, rec_loss 0.1290, p_loss 0.6494, quant_error 2.4211, utilization 0.0067, perplexity 44.5815,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 103.1464, rec_loss 0.1117, p_loss 0.6375, quant_error 2.2448, utilization 0.0021, perplexity 21.2451,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 157.9592, rec_loss 0.1084, p_loss 0.6336, quant_error 2.1966, utilization 0.0021, perplexity 21.4413,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 199.4764, rec_loss 0.1086, p_loss 0.6307, quant_error 2.1776, utilization 0.0021, perplexity 21.7844,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 225.9183, rec_loss 0.1082, p_loss 0.6281, quant_error 2.1627, utilization 0.0021, perplexity 22.1081,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 297.9409, rec_loss 0.1075, p_loss 0.6279, quant_error 2.1646, utilization 0.0021, perplexity 22.2589,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 363.6136, rec_loss 0.1095, p_loss 0.6280, quant_error 2.1652, utilization 0.0021, perplexity 22.5944,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 386.4319, rec_loss 0.1104, p_loss 0.6266, quant_error 2.1591, utilization 0.0021, perplexity 22.9112,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 434.7459, rec_loss 0.1104, p_loss 0.6267, quant_error 2.1559, utilization 0.0021, perplexity 23.1474,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 530.7396, rec_loss 0.1085, p_loss 0.6256, quant_error 2.1444, utilization 0.0021, perplexity 23.4442,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 549.7869, rec_loss 0.1077, p_loss 0.6235, quant_error 2.1251, utilization 0.0021, perplexity 23.7705,
Train Epoch: [1/2] Iters:[160/20018] transplant_loss 550.1428, rec_loss 0.1056, p_loss 0.6204, quant_error 2.1035, utilization 0.0021, perplexity 23.9647,
Train Epoch: [1/2] Iters:[170/20018] transplant_loss 621.9138, rec_loss 0.1036, p_loss 0.6209, quant_error 2.0919, utilization 0.0021, perplexity 23.9815,
Train Epoch: [1/2] Iters:[180/20018] transplant_loss 697.4079, rec_loss 0.1041, p_loss 0.6210, quant_error 2.0985, utilization 0.0021, perplexity 23.9418,
Train Epoch: [1/2] Iters:[190/20018] transplant_loss 675.2924, rec_loss 0.1054, p_loss 0.6207, quant_error 2.1034, utilization 0.0021, perplexity 24.1318,
Train Epoch: [1/2] Iters:[200/20018] transplant_loss 802.7422, rec_loss 0.1052, p_loss 0.6216, quant_error 2.1105, utilization 0.0021, perplexity 24.0879,
Train Epoch: [1/2] Iters:[210/20018] transplant_loss 949.1411, rec_loss 0.1075, p_loss 0.6236, quant_error 2.1336, utilization 0.0021, perplexity 23.8562,
Train Epoch: [1/2] Iters:[220/20018] transplant_loss 881.8216, rec_loss 0.1101, p_loss 0.6231, quant_error 2.1433, utilization 0.0021, perplexity 23.9463,
Train Epoch: [1/2] Iters:[230/20018] transplant_loss 868.2992, rec_loss 0.1088, p_loss 0.6223, quant_error 2.1356, utilization 0.0021, perplexity 23.8288,
Train Epoch: [1/2] Iters:[240/20018] transplant_loss 953.9130, rec_loss 0.1101, p_loss 0.6239, quant_error 2.1378, utilization 0.0021, perplexity 23.4773,
Train Epoch: [1/2] Iters:[250/20018] transplant_loss 870.9421, rec_loss 0.1096, p_loss 0.6223, quant_error 2.1235, utilization 0.0021, perplexity 23.6630,
Train Epoch: [1/2] Iters:[260/20018] transplant_loss 771.2991, rec_loss 0.1067, p_loss 0.6198, quant_error 2.0938, utilization 0.0021, perplexity 23.8370,
Train Epoch: [1/2] Iters:[270/20018] transplant_loss 911.9755, rec_loss 0.1055, p_loss 0.6177, quant_error 2.0863, utilization 0.0021, perplexity 23.5811,
Train Epoch: [1/2] Iters:[280/20018] transplant_loss 983.9093, rec_loss 0.1047, p_loss 0.6170, quant_error 2.0689, utilization 0.0021, perplexity 23.7894,
Train Epoch: [1/2] Iters:[290/20018] transplant_loss 916.3304, rec_loss 0.1027, p_loss 0.6126, quant_error 2.0507, utilization 0.0021, perplexity 24.0359,
Train Epoch: [1/2] Iters:[300/20018] transplant_loss 894.8787, rec_loss 0.1024, p_loss 0.6111, quant_error 2.0425, utilization 0.0021, perplexity 23.8098,
Train Epoch: [1/2] Iters:[310/20018] transplant_loss 928.5218, rec_loss 0.1005, p_loss 0.6111, quant_error 2.0289, utilization 0.0021, perplexity 23.7340,
Train Epoch: [1/2] Iters:[320/20018] transplant_loss 858.1058, rec_loss 0.0994, p_loss 0.6123, quant_error 2.0082, utilization 0.0021, perplexity 23.9838,
Train Epoch: [1/2] Iters:[330/20018] transplant_loss 770.5650, rec_loss 0.0986, p_loss 0.6120, quant_error 2.0004, utilization 0.0021, perplexity 23.9192,
Train Epoch: [1/2] Iters:[340/20018] transplant_loss 774.1393, rec_loss 0.0967, p_loss 0.6123, quant_error 1.9889, utilization 0.0021, perplexity 24.0137,
Train Epoch: [1/2] Iters:[350/20018] transplant_loss 771.1571, rec_loss 0.0951, p_loss 0.6120, quant_error 1.9729, utilization 0.0021, perplexity 24.1901,
Train Epoch: [1/2] Iters:[360/20018] transplant_loss 721.3018, rec_loss 0.0952, p_loss 0.6118, quant_error 1.9677, utilization 0.0021, perplexity 24.3674,
Train Epoch: [1/2] Iters:[370/20018] transplant_loss 696.3990, rec_loss 0.0940, p_loss 0.6092, quant_error 1.9575, utilization 0.0021, perplexity 24.5252,
Train Epoch: [1/2] Iters:[380/20018] transplant_loss 668.7473, rec_loss 0.0950, p_loss 0.6083, quant_error 1.9541, utilization 0.0021, perplexity 24.7580,
Train Epoch: [1/2] Iters:[390/20018] transplant_loss 659.4940, rec_loss 0.0951, p_loss 0.6078, quant_error 1.9471, utilization 0.0021, perplexity 24.7750,
Train Epoch: [1/2] Iters:[400/20018] transplant_loss 651.7093, rec_loss 0.0953, p_loss 0.6064, quant_error 1.9465, utilization 0.0021, perplexity 24.7163,
