dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 16384
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: vanilla_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 3
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Transplant/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Transplant/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Transplant/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Transplant/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Transplant/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/model.ckpt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_16384_16_1
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: vanilla_vq_transplant_False
saver_name_pre: vanilla_vq_transplant_False_ImageNet_model_16384_16_1_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
VQ Model Parameters: 69609635
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 17.9388, rec_loss 0.3251, p_loss 0.7375, quant_error 3.9717, utilization 0.0596, perplexity 349.9704,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 21.0169, rec_loss 0.3211, p_loss 0.7270, quant_error 3.8703, utilization 0.0447, perplexity 231.2314,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 21.1115, rec_loss 0.3120, p_loss 0.7182, quant_error 3.7837, utilization 0.0377, perplexity 188.7533,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 20.9835, rec_loss 0.3109, p_loss 0.7126, quant_error 3.7423, utilization 0.0333, perplexity 162.2212,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 22.1444, rec_loss 0.3083, p_loss 0.7091, quant_error 3.7019, utilization 0.0302, perplexity 139.5191,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 27.7276, rec_loss 0.3042, p_loss 0.7013, quant_error 3.6387, utilization 0.0215, perplexity 74.4128,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 46.6809, rec_loss 0.2996, p_loss 0.6983, quant_error 3.6160, utilization 0.0184, perplexity 54.2572,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 96.2278, rec_loss 0.2882, p_loss 0.6974, quant_error 3.5718, utilization 0.0163, perplexity 35.1087,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 169.9204, rec_loss 0.2692, p_loss 0.6991, quant_error 3.4926, utilization 0.0150, perplexity 20.4820,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 190.7142, rec_loss 0.2467, p_loss 0.6985, quant_error 3.3992, utilization 0.0144, perplexity 14.3473,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 243.7647, rec_loss 0.2224, p_loss 0.6973, quant_error 3.2791, utilization 0.0139, perplexity 11.5861,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 284.7831, rec_loss 0.2001, p_loss 0.6963, quant_error 3.1697, utilization 0.0136, perplexity 11.0669,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 300.9868, rec_loss 0.1875, p_loss 0.6953, quant_error 3.0879, utilization 0.0135, perplexity 11.6946,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 288.9689, rec_loss 0.1760, p_loss 0.6923, quant_error 3.0316, utilization 0.0133, perplexity 12.4940,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 355.8935, rec_loss 0.1709, p_loss 0.6928, quant_error 3.0048, utilization 0.0126, perplexity 11.0531,
Train Epoch: [1/2] Iters:[160/20018] transplant_loss 415.5759, rec_loss 0.1659, p_loss 0.6918, quant_error 2.9744, utilization 0.0118, perplexity 10.7874,
Train Epoch: [1/2] Iters:[170/20018] transplant_loss 430.5866, rec_loss 0.1601, p_loss 0.6904, quant_error 2.9219, utilization 0.0110, perplexity 11.1831,
Train Epoch: [1/2] Iters:[180/20018] transplant_loss 472.7314, rec_loss 0.1605, p_loss 0.6901, quant_error 2.9388, utilization 0.0099, perplexity 10.5441,
Train Epoch: [1/2] Iters:[190/20018] transplant_loss 641.9636, rec_loss 0.1646, p_loss 0.6912, quant_error 2.9553, utilization 0.0088, perplexity 9.3667,
Train Epoch: [1/2] Iters:[200/20018] transplant_loss 721.9420, rec_loss 0.1703, p_loss 0.6904, quant_error 2.9733, utilization 0.0078, perplexity 8.2411,
