dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 65536
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: vanilla_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 3
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Transplant/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Transplant/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Transplant/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Transplant/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Transplant/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/vq_ds16_c2i.pt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_65536_8_1
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: vanilla_vq_transplant_False
saver_name_pre: vanilla_vq_transplant_False_ImageNet_model_65536_8_1_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
VQ Model Parameters: 71747971
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 5.1176, rec_loss 0.5892, p_loss 0.7993, quant_error 0.1247, utilization 0.2099, perplexity 12889.0016,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 4.3155, rec_loss 0.4362, p_loss 0.7760, quant_error 0.1234, utilization 0.2049, perplexity 12463.2717,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 3.8803, rec_loss 0.3577, p_loss 0.7632, quant_error 0.1204, utilization 0.2016, perplexity 12193.8140,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 3.6217, rec_loss 0.3188, p_loss 0.7514, quant_error 0.1152, utilization 0.2002, perplexity 12072.9659,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 3.3385, rec_loss 0.2828, p_loss 0.7329, quant_error 0.1067, utilization 0.1999, perplexity 12052.9426,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 2.6634, rec_loss 0.1854, p_loss 0.6929, quant_error 0.0919, utilization 0.1979, perplexity 11897.7880,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 2.2220, rec_loss 0.1453, p_loss 0.6353, quant_error 0.0736, utilization 0.1981, perplexity 11917.5715,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 1.8282, rec_loss 0.1183, p_loss 0.5600, quant_error 0.0553, utilization 0.1992, perplexity 12007.0432,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 1.4552, rec_loss 0.0902, p_loss 0.4850, quant_error 0.0395, utilization 0.2004, perplexity 12105.6262,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 1.2071, rec_loss 0.0744, p_loss 0.4219, quant_error 0.0289, utilization 0.2010, perplexity 12155.2388,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 1.0515, rec_loss 0.0659, p_loss 0.3707, quant_error 0.0228, utilization 0.2013, perplexity 12172.6779,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 0.9748, rec_loss 0.0604, p_loss 0.3437, quant_error 0.0206, utilization 0.2012, perplexity 12167.0579,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 0.9597, rec_loss 0.0595, p_loss 0.3394, quant_error 0.0199, utilization 0.2012, perplexity 12169.2003,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 0.9394, rec_loss 0.0569, p_loss 0.3357, quant_error 0.0196, utilization 0.2011, perplexity 12147.4690,
