dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 128
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8
max_patch_size: 8
codebook_size: 16384
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: vanilla_vq
use_multiscale: False
transplant_epochs: 5
refinement_epochs: 5
eval_epochs: 1
lr_transplant: 1e-05
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/dc-ae-f32c32-sana-1.0.safetensors
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_16384_8_1
loss_pre: loss_1.0_1.0_0.0_0.2
training_pre: vanilla_vq_transplant_False
saver_name_pre: vanilla_vq_transplant_False_ImageNet_model_16384_8_1_loss_1.0_1.0_0.0_0.2
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 312250275
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/10009] transplant_loss 67.2280, rec_loss 0.2872, quant_error 4.9441,
Train Epoch: [1/5] Iters:[20/10009] transplant_loss 67.6528, rec_loss 0.2584, quant_error 4.6838,
Train Epoch: [1/5] Iters:[30/10009] transplant_loss 69.1528, rec_loss 0.2367, quant_error 4.4790,
Train Epoch: [1/5] Iters:[40/10009] transplant_loss 71.5447, rec_loss 0.2209, quant_error 4.3132,
Train Epoch: [1/5] Iters:[50/10009] transplant_loss 73.4385, rec_loss 0.2090, quant_error 4.1636,
Train Epoch: [1/5] Iters:[60/10009] transplant_loss 77.0121, rec_loss 0.1834, quant_error 3.8601,
Train Epoch: [1/5] Iters:[70/10009] transplant_loss 80.3601, rec_loss 0.1662, quant_error 3.6051,
Train Epoch: [1/5] Iters:[80/10009] transplant_loss 83.0872, rec_loss 0.1557, quant_error 3.3976,
Train Epoch: [1/5] Iters:[90/10009] transplant_loss 84.9911, rec_loss 0.1487, quant_error 3.2279,
Train Epoch: [1/5] Iters:[100/10009] transplant_loss 86.6124, rec_loss 0.1434, quant_error 3.0882,
Train Epoch: [1/5] Iters:[110/10009] transplant_loss 88.5379, rec_loss 0.1375, quant_error 2.9685,
Train Epoch: [1/5] Iters:[120/10009] transplant_loss 90.0124, rec_loss 0.1348, quant_error 2.8786,
Train Epoch: [1/5] Iters:[130/10009] transplant_loss 91.4830, rec_loss 0.1314, quant_error 2.7970,
Train Epoch: [1/5] Iters:[140/10009] transplant_loss 93.2392, rec_loss 0.1288, quant_error 2.7289,
Train Epoch: [1/5] Iters:[150/10009] transplant_loss 95.7859, rec_loss 0.1264, quant_error 2.6717,
Train Epoch: [1/5] Iters:[160/10009] transplant_loss 96.1391, rec_loss 0.1243, quant_error 2.6014,
Train Epoch: [1/5] Iters:[170/10009] transplant_loss 97.8441, rec_loss 0.1218, quant_error 2.5556,
Train Epoch: [1/5] Iters:[180/10009] transplant_loss 99.2108, rec_loss 0.1204, quant_error 2.5202,
Train Epoch: [1/5] Iters:[190/10009] transplant_loss 101.2291, rec_loss 0.1193, quant_error 2.4889,
Train Epoch: [1/5] Iters:[200/10009] transplant_loss 102.4667, rec_loss 0.1181, quant_error 2.4555,
